chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds122	177.5	323.19	38.5	109	855.06	1007.43	67.18	32.58	27.24	56.56	24.04	43.33	27.5	28.38	102.65	48.54	27.84	21.22	6159.94	54.86	6	8	5028.76	1	0	3851.5	2	4	22.06	7.05	15	14.16
cds123	76.28	542.42	147.47	434.59	1860.93	1930.13	112.41	62.15	46.22	73.08	47.58	65.38	99.81	66.44	145.32	106.99	64.41	34.62	17842.78	84.06	7	7	8324.73	2.5	4	9550.43	4	3.38	38.42	29.99	34.5	36.51
cds124	81.75	482.52	114.48	407.37	1542.9	1549.96	48.14	35.19	10.04	36.09	29.81	27.64	26.4	36.38	84.27	66.23	59.11	35.59	24298.14	100.6	13.77	28.48	8759.03	7.54	10.54	17703.32	14.23	7.31	36.88	35.59	30.89	27.47
cds125	138.14	971.12	320.39	781.66	2717.04	2375.18	54.38	32.71	35.23	49.78	76.96	69.41	57.55	54.43	164.64	100.2	120.67	49.97	28689.85	117.45	5.32	20.23	10450.67	6.07	8.76	14992.15	5.55	12.04	53.4	45.65	47.37	30.43
cds128	1.43	2.01	0	0	89.01	24.35	2.18	0	0	4.9	3.67	2.04	1.2	1.21	3.63	11.06	1.62	1.61	264.66	3.56	0	0	171.83	0.2	0.54	216.68	0	0	1.48	2.16	1.55	0.88
cds129	15.37	0.33	3.98	0	8.53	0.63	5.49	1.63	0	5.48	2.11	0.69	2	1.97	6.67	6.51	4.82	0.73	371.84	2.23	0	0.02	373.02	0	0	225.48	0.83	0	2.39	0.74	6.33	0.63
cds131	107.5	109.1	20.04	68.1	206.06	220.21	15.34	17.02	3.31	20.57	5.21	3.9	6.47	6.42	24.34	13.74	3.9	3.4	2202.93	15.19	3.67	0.76	2300.21	0	0	2117.84	2.51	1.77	7.74	7.85	4.47	12.67
cds132	345.69	36.08	74.99	383.18	1096.73	1850.06	66.23	40.09	15.39	68.47	45.7	41.41	41.81	25.49	87.65	53.31	29.93	30.61	14012.63	58.55	2	28.5	6204.77	1	1	7968.76	3.5	3	24.23	16.7	20.74	14.21
cds137	701.25	2064.14	549.52	2373.37	7222.38	10665.49	214.59	125.55	84.2	152	226.5	276.71	405	309.46	688.5	537.62	374.32	272.62	176102.12	548.2	50.61	99.41	69163.47	33.44	35.4	93444.72	39.35	59.41	134.49	181.24	117.24	132.88
cds139	115	292.09	86.55	335.75	349.89	1038.27	26.81	9.02	6.74	35.66	20.2	21.29	34.48	23.49	73.83	51.05	53.81	48.37	20384.07	67.93	8.5	31.97	7535.05	9	3	14622.12	7	10	19.77	14.91	17.4	10.03
cds14	5	214.98	104.67	381	1601.41	1317.79	115.47	67.57	21.65	87.18	65.12	46	56.5	66.87	136.51	100.44	25.13	16	10181.11	60.95	9	14.43	5564.38	3.5	3.5	7495.41	1	4	37.78	21.61	21.78	17.89
cds140	700.89	176.5	32.34	41	682.81	872.33	88.2	65.74	35.28	78.61	34.79	47.12	25.87	38.07	83.92	58.72	52.3	32.64	10902.76	104.93	2	11.33	3976.97	0.7	4	5637.09	6.09	9.7	24.21	13.45	15.49	20.86
cds143	173.34	604.77	155	398.46	1419.02	1731.51	61.74	34.52	25.34	69.81	48.76	55.14	43.1	38.17	111.94	66.93	27.05	19.32	13828.01	28.14	10	10.9	5158.68	1.04	6.45	5888.15	4.62	2.16	29.63	29.81	24.38	30.59
cds144	931.11	1784.43	526.03	2148.9	7538.27	9353.72	390.3	301.93	104.05	343.71	255.27	240.26	240.66	217.31	492.6	401.06	192.03	110.58	59282.81	277.37	29.67	50.33	26588.75	21.12	11	32514.01	18.65	20.43	173.52	105.27	151.13	122.88
cds145	1339.34	143.87	189.64	623.41	950.85	1509.15	27.47	18.3	7.57	25.48	15.79	28.6	24.88	15.04	48.56	47.52	18.09	9.72	9041.57	33	3.8	5.58	2768.47	1.06	1.97	4815.1	0.96	1.11	25.49	16.37	22.06	7.36
cds146	901.22	1381.67	395.39	922.05	2790.27	3013.96	112.33	79.22	29.68	76.16	58.51	49.01	85.06	90.25	220.7	159.39	103.5	77.32	33779.62	229.43	25.51	28.44	15545.88	4.01	12.88	17381.05	14.04	12.81	130.2	90.58	69.25	91.28
cds148	55	6.77	30.5	4	383.13	425.5	14.74	5.63	7.66	19.17	19.2	7.51	7	13.08	52.15	25.52	20.44	16	5361.49	39.78	2.5	4	3852.75	2.84	1.71	3935.54	2	7.88	9.5	10	21.02	6.64
cds149	15.35	494.58	107.3	426	2247.6	3020.15	129.92	71.2	37.49	113.76	79.08	82.76	102.45	74.79	164.16	126.74	92.77	57.92	17890.85	127.37	18.52	16.34	11807.31	10	7	12098.17	9	13	47.56	28.7	34.18	28.84
