chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds203	128.5	11.28	4.23	37.51	412.25	820.45	24.21	19.53	5.95	21.05	19.32	15.02	24.99	19.43	43.66	42.97	16.81	12.93	3573.33	27.85	2.19	3.24	3376.41	0.65	1.88	2650.28	0.86	2.75	15.87	9.08	9.22	6.57
cds205	371.46	557.65	191.67	729.98	1599.65	3065.99	217.01	134.94	46.46	146.42	110.41	168	168.86	130.54	346.92	279.39	118.33	77.87	21561.93	167.57	10.93	35.99	11013.62	13.92	5	15000.04	9.23	10	66.47	50.68	27.65	51.52
cds207	136.13	48.05	43.88	54.19	842.76	1158.62	41.11	28.31	19.25	26.49	43.25	33.9	16.24	27.95	81.38	40.58	26.26	12.15	3283.78	39.92	1	6	3093.04	0	0	2411.51	1.5	3.33	9.64	10.61	10.2	10
cds208	737.68	1057.74	408.52	1488.64	5904.2	8004.82	203.52	161.98	92.33	214.34	186.81	158.2	122.49	155.18	387.12	271.99	61.43	48.79	28247.53	225.71	9.1	40.19	19196.78	4.75	12.5	16374.82	7.22	19.91	100.32	69.71	88.61	69.11
cds209	100.68	409.29	121.44	309.18	1217.98	2302.69	37.58	26.5	16.77	32.44	30.81	20.19	24.06	35.93	62.66	39.99	23.21	13.24	4087.73	35.04	1.89	11.29	2479.64	3.24	8.5	3466	2.76	1.22	24.57	12.23	15.45	12.24
cds21	298.26	219.56	127.32	292.74	845.02	937.04	77.35	42.28	32.42	74.49	43.41	33.5	73.56	65.28	123.06	135.45	47.75	38.66	13888.65	77.36	9.31	7.63	4391.62	2.97	0.02	6361.15	2.79	7.1	31.16	18.83	21.47	12.75
cds212	721.5	845.99	403.5	1137.58	2594.63	4934.62	243.22	154.06	68.63	190.85	132.47	114.25	149	132.06	278.95	248.2	99.98	76.56	38068.71	178.15	17.94	56.83	26562.57	12.5	19.64	26203.26	15	15	132.4	96.41	83.25	79.93
cds213	641.71	431.41	162.13	908.72	1982.21	2554.96	139.34	87.44	36.34	77.26	74.7	91.33	81.8	64.48	176.31	186.39	128.62	84.09	33611.18	138.68	18.85	45.26	20719.67	9.3	14.91	30725.23	2.96	12	67.39	47.68	48.5	50.42
cds214	3.46	239.79	68.8	355.7	416.83	682.25	42.75	18.6	10.22	39.9	18.99	15.29	23.26	14.61	39.65	32.86	23.49	15.78	10327	25.06	1	2.51	5323.78	0.45	3.02	5841.85	2.89	0.82	28.66	7.27	19.65	13.03
cds215	4.35	163.3	42.09	188.89	740.95	1266.6	84.36	55.88	28.56	71.53	33.26	35.37	27.65	44.89	89.9	73.4	33.7	22.48	7270.28	64.96	2.99	19	3357.67	2	3	5186.28	3.13	4.17	31.87	12.68	16.58	19.41
cds216	38	438.73	157	474.89	2461.92	2684.55	97.61	68.04	37.83	84.41	51.85	59.4	41.56	52.37	161.55	118.06	33.62	24.32	12486.69	78.16	4.03	2.74	5156.76	1.36	1	5384.81	2.51	5	29.02	20.6	39.36	28.78
cds218	388.58	450.78	122	349.13	1471.1	2340.63	87.9	50.41	27.22	52.96	64.29	52	51.7	60.76	134.54	106.35	21.84	20	7610.79	42.74	13.98	14	5277.42	3	2	4810.83	4	6	35.45	21.94	24.53	19.7
cds219	97.91	98.35	24.37	154.17	1041.13	1009.41	22.5	17.78	14.71	18.33	10.11	8.45	20.01	16.29	60.59	39.86	14.21	11	4717.52	30.11	5.47	1	2786.98	0	3	2674.87	1	2	20.48	12.03	14.72	15.95
cds22	20.97	200.13	72.31	336.34	711.49	1078.29	93.41	73.61	24.24	91.8	47.14	56.85	58.38	52.8	133.62	94.38	35.99	17.25	6514.56	67.57	8.6	10.32	3122.72	4	3.39	3510.67	0.03	3.75	34.29	18.13	15.5	15.54
cds220	538.31	259.26	86.45	640.36	2308.11	3690.43	199.78	127.46	77.25	124.36	128.04	162.71	84.75	128.81	346.19	284.45	154.21	133.82	38368.88	200.93	18.05	52.41	17319.07	13	7.31	29706.73	4.35	6	52.3	40.65	46.19	47.03
cds221	735.63	1841.04	397.99	1265.71	5262.99	6847.57	696.81	449.41	201.84	435.41	500.24	535.72	485.78	516.44	1332.62	1098.96	718.16	653.96	122480.06	933.34	149.74	237.57	86304.12	70.36	63.86	102153.94	39.92	56.1	231.42	203.13	148.4	185.1
cds222	2186.79	3762.65	1176.67	3897.19	15687.34	19623.9	898.16	634.3	295.86	667.06	487.17	545.45	708.09	566.16	1098.21	873.17	377.09	260.99	145395.82	599.68	47.33	80.5	69149.91	26.11	30.46	72014.63	32.5	55.5	320.23	219.11	265.04	206.05
cds223	1151.64	1734.89	1217.98	2769.71	11995.21	15684.68	638.15	499.8	203.84	471.21	408.58	452.71	390.21	516.99	1102.29	699.15	274.6	193.41	78527.02	578.69	81.99	154.5	53210.04	37.35	44.29	60719.47	26.86	39	221.46	175.41	220.51	170.3
cds224	116.53	357.37	126.8	346.46	1782.69	1402.02	142.02	83.65	30.96	99.84	43.76	50.69	42.62	35.86	99.91	79.35	39.34	23.36	13595.02	53.95	3.65	6.43	7338.93	3.04	3.01	7733.07	3.13	2.57	61.33	28.81	47.32	35.14
cds225	669.13	423.19	313.53	1182.34	4925.81	4255.71	331.56	224.33	133.52	273	185.99	222.38	133.32	223.32	375.14	262.89	146.44	100.27	54813.46	418.67	19.78	24.47	22964.26	12.3	14.92	26636.49	16.2	13.66	130.81	80.6	96.52	66.39
cds227	80.85	98.53	48.5	209.25	1041.12	1509.76	65.64	45.71	33.42	76.02	29.35	31.2	36.22	31	83.19	52.4	31.26	19.78	8214.84	100.08	3.75	3.37	7960.96	0.84	2.77	4183.4	4.31	7.91	25.56	11.76	14.92	14.32
cds228	426.99	159.38	70.27	325.87	1563.78	2728.62	143.14	102.85	31.1	102.55	58.65	80.55	52.2	57.03	200.46	131.71	46.83	43.47	8792.98	123.72	9.77	13.5	5438.23	2.18	4.45	5946.44	7	8.71	41.98	15.17	18.07	12.89
cds229	0	0	0	0	6	0	6.9	1.01	0	7.01	0	0	0.11	0	2.9	2.63	1.01	0	331.22	5.78	0	0	215.71	0	1	419.39	0	0	2.57	1.5	1	0.74
cds230	1184.21	1006.8	535.1	1534.42	4368.69	4509.33	217	132.04	51.46	173.76	95.93	131.76	128.4	120.2	316.47	264.98	114.38	77.08	29939.12	210.66	13.91	25.5	12621.41	7	9.97	15345.63	12.55	21.5	74.36	49.01	46.04	64.35
cds231	520.32	431.7	78.49	585.53	2124.53	3159.53	28.16	25.19	15.68	25.56	26.73	44.8	29.46	34.61	82.86	65.64	33.37	19.33	9429.24	36.34	3.09	8.06	4059.79	1	1.71	4640.39	1.67	2	26.09	20.38	8.12	19.75
cds232	534.71	279.41	222.66	624.46	1903.76	2221.98	2184.68	831.78	192.84	606.46	1644.44	1897.26	284.86	1830.03	4400.57	2814.95	731.96	507.28	20134.45	2469.15	81.82	89.16	12868.11	40.04	43.38	9859.92	102.34	252.62	100.32	50.81	59.59	62.98
cds233	76.08	128.07	54.25	102.7	984.85	1053.43	40.17	28.43	17.69	31.73	30.23	38.46	38.55	39.18	86.32	53.35	28.62	17.73	7063.01	40.23	0.97	8.93	3750.2	2.56	3.16	4199.64	2.21	6.74	16.18	16.49	16.9	17.12
cds234	8.96	108.9	116.88	241.11	1072.3	1447.62	43.71	39.84	19.46	31.92	33.44	41.99	35.87	39.84	82.78	39.04	28.43	15.68	7777.54	36.57	1.5	12.9	4583.61	2.17	1.44	4602.68	1.57	2.79	11.2	7.14	15.9	9.82
cds235	515.5	1414.15	417.5	1048.37	2973.49	4624.1	128.97	76.6	41.15	119.01	74.91	99.65	82.09	72.92	437.51	352.55	336.06	290.35	187374.14	510.66	58.95	78.87	55707.07	17.41	28.63	132448.99	19.39	26.77	169.15	109.76	167.22	101.81
cds236	1044	498.71	159.52	343.18	1622.91	2383.4	53.23	27.85	14.17	34.68	39.34	51.54	34	45.04	112.41	67.27	22.97	17.26	7959.19	43.51	2	3	7592.61	2	4	6184.27	3	6	15.73	14.96	7.46	16.67
cds237	1580.1	1277.22	547.46	1397.55	7705.78	6391.16	317.97	173.58	85.99	205.25	260.24	253.75	346.91	258.48	714.03	492.29	268.3	239.64	100182.31	506.41	22.84	26.71	29096.16	18.47	9.5	41898.2	21.13	18.18	134.17	116.42	87.11	98.7
cds239	616.19	667.56	230.18	1201.69	3792.96	4961.79	210.43	135.41	82.78	149.25	210.12	205.43	187.25	179.16	467.16	310.88	116.61	94.22	25793.93	198.83	36.04	72.79	14146.43	20.55	26.74	26996.92	10.06	25.99	44.7	45.91	21.36	36.55
cds241	589.71	1025.37	409.05	827.63	3685.71	5370.83	352.5	198.78	93.79	270.51	163.4	159.53	236.77	211.32	532.78	336.07	141.23	97.55	37308.22	344.88	12	24.71	17134.62	5.84	18.76	20366.51	19.25	29.64	137.94	65.11	65.94	84.75
cds242	0	0	0	0	163.83	11.5	3.34	1.7	0.5	1.88	4.82	4.06	3.15	2.05	6.14	2.74	2	2.18	2317.27	0.05	0	0	797.26	0	0	1812.28	0	0.38	1.98	3.56	0	0
cds243	54.83	0	0	0.89	6.41	8.76	4.18	0.98	0.81	2.43	1	2.83	1	0	6.49	3.17	2.12	1.67	652	2	0	0.45	659.38	0	0	689.72	0	3	0	1.11	0.78	1
cds248	292.44	654.16	202.98	613.34	2574.99	1711	103	65.4	34.23	67.87	106.95	110.29	111.8	106.48	253.7	186.23	33.71	29.37	8666.2	47.49	2.6	26.93	5640.97	0	4	7347.55	4	6	22.59	19.17	11.56	21.31
cds249	177.64	185.23	185.55	43.71	1648.35	1993.73	122.53	73.22	21.51	62.91	104.8	92.28	104.59	74.23	230.39	183.51	74.49	42.58	25212.77	191.26	10.98	25.23	14109.31	7	8.68	13873.36	14.23	10.26	54.78	58.59	41.72	55.17
cds25	1068.58	1678.78	610.72	1918.43	7498.07	8730.81	383.36	174.99	122.31	212.38	235.1	253.32	371.33	261.75	592.77	467.02	218.92	154.49	79230.88	439.23	44.28	75.56	49707.1	9.65	18.19	53980.84	9.99	21.92	191.86	248.15	90.75	146.72
cds251	182	165	78.38	208.5	1439.58	1641.08	78.06	63.81	25.38	58.98	34.77	54.63	49.34	39.6	113.45	71.02	35.23	15.49	7114.04	54.66	6.87	17.66	5595.2	4.5	7.45	5200.98	2	2	38	23.8	30.5	27.87
cds252	0	0	0	0	0	0	2.76	0.46	1.73	1.3	0	0.02	0	0	0.05	0.05	0	0.14	48.91	0.5	0	0	72.52	0.11	0	4	0.56	0	0	0	0	0.24
cds253	1436.4	2011.73	416.58	967.14	4923.33	7134.66	402.86	211.67	90.92	265.53	266.61	215.5	349.84	255.37	580.5	448.25	150.5	109.24	38235.28	213.24	29.69	74.29	16871.95	9.23	13.91	24742.8	12	16.99	135.84	116.96	84.05	89.12
cds255	687.06	461.75	114.41	354.66	1430.88	1519.96	161.52	71.86	39.08	114.26	72.64	80.63	90.28	83.8	163.36	140.16	75.06	79.46	47254.61	123.31	11	11.92	19368.2	3	9.41	22099.18	3.82	12	60.95	24.46	43.51	47.91
cds256	36	699.63	475.36	1017.14	4885.54	4837.77	63.43	75.19	24.45	83.06	99.04	95.64	127.38	101.28	249.92	209.44	61.71	34.28	11899.57	89.36	32.5	55.36	7939.65	3	8.78	11703.92	2	5	24.45	33.18	20.84	25.64
cds257	18.35	445.89	252.75	722.04	2424.91	2177.72	187.09	133.65	45.76	123.54	131.85	158.39	229.45	133.13	382.92	323.98	80.97	59.53	15913.97	106.44	6.66	11.77	4998.64	0	0.19	8179.66	6	1.95	41.47	33.48	20.01	33
cds258	1452.46	3566.75	1301.52	4625.69	16652.92	21571.11	609.41	395.82	276.04	534.41	455.07	495.29	597.76	549.51	1156.06	922.16	258.57	215.79	94963.88	785.89	66.73	117.95	62923.32	26.16	75.26	56179.19	41.96	45.9	192.02	216.71	157.66	206.78
cds260	90.2	268.21	152.51	347.62	1485.26	1210.16	249.61	144.53	77.51	192.49	128.93	138.05	145.03	161.76	409.04	331.85	141.55	106.23	31136.15	217.9	24.9	26.79	10877.13	9.34	9.24	17230.66	8.7	19.05	76.49	39.06	45.5	58.46
cds261	818.78	566.59	237.06	702.41	2673.43	2098.59	146.33	103.09	61.41	124.62	103.8	75.46	143.99	112.36	319.13	227.34	185.82	119.35	81016.15	312.62	39.5	34.61	21641.99	10.41	13.52	38480.22	13.59	21.59	120.78	125.36	62.8	68.75
cds262	4.06	0.39	3.99	24.49	1.25	104.6	4.16	0.14	1.08	0.22	1.48	5.01	2.31	1.66	6.25	5.25	3.94	2.08	446.33	0	0.39	0.93	334.93	0	0.7	747.93	0	0	1.73	3.21	0.54	1.78
cds263	154	16.8	30.61	97	555.36	396.71	30.94	19.6	1.81	22.68	9.6	24.23	13	13.44	47.36	28.48	25.33	4.24	4282.8	34.99	2.11	2.59	2485.25	1	3	2226.48	0.33	1.23	22.28	9.69	19.87	15.06
cds264	1	0.45	7.81	27.55	193.96	156.39	7.89	3.37	2.68	27.38	3.04	4.61	2.67	4.12	9.67	10.9	4.36	0	1508.87	3.6	2.57	1.62	1247.65	0	0	1045.24	0	1	5.52	2.78	4.53	3.1
cds265	206	31.52	51.84	172.09	578.32	549.13	2.58	1	1	4.2	1.69	7	7.68	0	22.58	14.28	17.3	5.37	2996.38	21.48	1.35	0	2291.57	1	3	2855.44	0	0	8.78	7.5	6.84	4.08
cds266	7.78	89.97	105.62	335.94	1207.57	1553.39	54.04	36.11	18.58	54.69	40.16	48.36	54.2	60.93	219.86	175.36	57.43	37.03	9135.21	103.11	19	28.5	4855.74	3	6	7059.5	2	2	27.55	26.65	26.2	21.79
cds267	229.35	428.5	147	428.5	2753.23	2194.85	230.35	157.51	92.74	170.64	131.46	121.29	200.74	161.39	344.37	237.37	115.09	84.25	27822.2	185.9	14.28	26.09	8341.58	7.75	9.94	10659.45	10.24	16.76	52.97	43.98	41.41	63.42
cds269	120.49	122.33	54.71	18.43	199.95	123.27	17.37	7.86	2.09	12.58	4.3	6.18	7.14	10.47	23.2	25.09	40.58	28.89	18682.73	60.86	9.31	11.96	12125.47	3	2	15535.6	6.64	3.8	17.81	18.97	6.66	10.09
cds270	2382.19	3461.5	1015.49	3376.49	13503.11	17420.08	1000.51	711.91	274.57	861.1	461.51	533.56	656.7	537.35	1182.62	950.92	722.23	459.47	298726.01	1008.52	74.5	165.29	103278.45	28.95	54.99	131656.16	67.76	107.18	383.42	325.85	294.45	356.86
cds271	715.56	2959.03	868.81	2428.53	11901.1	14035.62	1022.71	729.44	353.61	710.09	573.01	687.18	695.47	686.35	1238.32	946.08	435.77	349.98	164665.31	805.24	55.57	105.66	65059.19	10.81	48.27	76348.57	45.09	79.41	277.24	226.93	224.43	219.25
cds272	588	927.53	174.68	766	2601.02	3700.76	111.06	73.61	59	71.16	80.17	94.41	132.13	111.04	202.62	215.03	77.37	53.82	33486.64	124.01	8.28	25.32	11960.59	3.69	8.41	19532.75	2.65	9.25	74.4	62.94	36.41	42.62
cds273	541.98	292.68	313.67	1119.38	4220.63	5843.43	106.75	48.94	40.21	91.63	126.71	148.67	148	161.48	379.13	286.33	98.76	60.38	35927.15	133.97	21.78	32.84	19641.69	7.08	17.35	21560.39	3.81	14.71	48.11	56.45	42.11	46.04
cds274	1.21	1.38	14.91	19.23	101.77	0	3.75	2.94	0.03	0.61	3.01	3.11	0	5.2	20.63	17.54	7.07	3.91	1059.39	11.16	1	1	841.91	0	1.5	806.2	0	0.03	7.24	1.82	0.66	2.4
cds275	0	5	50	51.5	158.7	260.5	4.29	0	1.88	5.85	1.83	1	3	4.5	51.03	39.29	23.16	10.5	7306.78	59.23	2	17.7	1536.82	0	0	3402.46	1	0.65	17.61	17.19	7.49	6.1
cds276	2281.23	2660.07	1004.86	2734.02	10315.42	14455.19	342.82	156.67	139.72	176.64	281.37	340.11	441.91	305.36	813.59	523.55	311.69	154.31	135335.9	596.6	52.13	87.01	46969.55	21.71	33.8	94058.53	39.42	45.04	86.26	257.89	93.77	177.8
cds277	288.92	405.44	99.81	529.5	2255.49	2361.3	148.06	85.88	34.76	92.87	51.21	57.95	75.49	56	177.64	138.66	98.94	58.43	41130.48	176.18	9.81	7.31	20776.94	4	6.93	15214.15	9.51	13	81.12	46.62	45.7	61.82
cds278	1569.24	2246.11	635.21	2197.93	7061.12	8575.45	474.71	276.43	122.17	206.96	451.77	472.13	444.95	437.03	1028.75	778.49	381.34	300.72	109752.38	525.18	68.17	162.31	41594.4	34.72	33.82	71685.51	27.38	51.57	123.21	129.64	120.62	106.57
cds279	1003.04	1912.39	297.22	808.56	4905.73	6478	314.91	183.58	81.41	181.64	151.21	177.2	228.58	161.24	340.5	276.87	141.98	91.99	76478.06	222.36	20.69	39.32	36224.92	10.5	13.24	51115.68	14.68	9.01	98.43	103.28	89.23	80.86
cds280	140.69	137.06	218.23	670.44	3073.81	3132.7	180.19	105.43	46.3	129.05	115.94	165.89	138.18	124.76	316.48	222.28	94.69	87.52	24636.83	132.58	9.54	26.36	13729.06	9.57	5.71	15898.23	3.86	6.17	52.92	46.22	34.98	45.86
cds281	88.08	270.96	169.4	327.21	3275.44	3297.27	160.25	73.09	75.13	113.13	138.96	168.32	140.22	160.34	319.18	249.55	80.42	65.36	17647.91	119.6	13.6	24.92	10271.86	4.86	5.06	13752.32	2	4.36	36	28.82	32.53	38.2
cds282	447.21	344.5	176.71	705.56	1778.47	2405.66	221.59	148.47	92.94	203.54	114.81	140.14	87.78	121.87	314.71	268.81	58.73	36.1	13713.32	129.5	15.47	27.59	6162.68	5.61	17.92	11785.38	3	5.43	43.07	34.6	29.84	41.15
cds284	110.5	162.33	34.25	127	422.87	684.69	21.72	9.03	4	2.7	5	15.93	14.38	9.24	47.37	30.96	12.86	11.11	4564.38	29.87	0	2.82	1955.72	0	1	1384.27	3	8.92	19.32	8.22	10.11	11.47
cds285	60.5	3	18.93	198.76	109.2	422.6	22.52	4	7.95	12	9	10.87	3	7.41	15	18.71	13.5	9.45	1374.55	11.39	4.3	1	924.41	0	1	1036.39	1	0	7.96	1.96	2	3
cds286	175.25	282.38	226.52	664.71	2417.28	2999.06	125.83	60.39	37.75	90.51	72.09	57.12	76.34	69.33	184.65	163.97	50.84	33.32	17140.44	103.29	14.11	28.44	10018.11	6	11.64	12378.4	4	10.93	58.27	38.99	67.98	38.94
cds287	7.83	324.78	171.17	295.37	1396.28	1841.4	36.84	29.28	12.1	32.64	13.7	20.65	33.38	26.48	62.68	54.8	24.17	11.86	6038.93	27.13	1	1.59	3676.35	5	4.01	4728.19	1	1	30	24.62	15.23	10.88
cds288	3311.25	5354.2	1182.54	3994.94	14500.32	19868.92	479.75	309.63	183.58	357.03	489.32	561.73	659.65	636.33	2043.35	1599.45	1304.28	1044.54	492628.63	2077.84	189.18	333.66	239498.23	124.55	143.85	332537.84	86.47	142.85	603.88	568.9	375.86	376.66
cds289	269.78	817.21	327.15	883.77	3804.63	4897.93	243.62	142.26	54.74	151.06	140.11	139.36	217.32	187.36	478.82	473.91	239.91	213.09	65278.15	331	22.4	67.76	32232.54	23.7	14.41	42729.58	9.77	21.06	145.6	91.61	108.46	110.37
cds29	246.5	462.69	56.46	112.81	442.17	704.31	27.09	24.83	8	22.75	20.69	13.36	14.99	24.93	40.98	40.7	26.51	22.75	5893.49	26.23	6	12	3716.73	4	4	5224.9	1.11	2	15.02	15.73	12.58	12
cds290	600.09	695.85	164.36	507.06	2077.17	2494.04	223.19	133.65	30.74	124.94	96.18	77.85	93.16	103.33	219.89	169.4	72.28	70.08	23145.07	82.68	7.35	12.86	10482.09	2.38	2.82	19179.04	6.04	2.87	57.39	28.92	38.44	55.32
cds291	668.97	744.5	363.69	845.58	4844.51	4343.98	280.42	213.78	89.77	283.28	210.51	210.59	201.78	242.2	638.59	458.14	252.71	213.63	66162.99	477.23	48.16	99.16	22991.04	16	32.47	52075.02	10.17	31.87	105.93	71.28	68.54	85.07
cds292	368.23	683.25	348.5	1009.8	4839.11	5323.09	282.34	165.67	73.96	175.22	126.75	147.73	190.69	155.89	378.43	339.92	77.15	106.18	52332.43	202.69	23.95	31.39	22982.93	8.8	7.53	38415.27	7.22	10.7	113.62	65.02	82.72	50.28
cds293	874.05	1165.05	505.88	2034.34	6416.36	8457.05	477.07	395.59	190.29	444.63	325.26	356.8	280.49	325.46	795.15	663.83	276.23	255.3	73132.58	551.97	56.12	91.76	30112.65	21.13	31.21	54778.91	19.82	30.66	167.06	131.48	122	116.98
cds294	5	159.78	13.15	152.99	831.99	908.69	23.41	18.48	7.38	25.92	24.7	23.42	22	28.68	54.53	46.53	21.45	11.9	4424.95	29	3.17	0	2593.85	2.37	1	3474.13	1.54	3.93	16	8.16	14.83	12.02
cds295	12.18	224.76	76.01	149.8	421.11	603.87	29.28	19	4.42	23.69	24.16	41.09	27.05	25.98	67.44	53.47	33.75	20.35	3851.59	41.19	8.42	5	3087.13	6.55	3.78	3186.53	2.51	4.03	16.58	7.95	12.86	1.28
cds297	1663.79	649.83	205.82	1307.23	3709.78	4699.47	247.42	138.17	54.36	154.02	146.27	162	184.29	146.27	350.74	286.55	156.09	119.38	61242.79	336.37	15.45	14.93	29542.32	8.38	13.85	32754.58	8.99	21.71	152.07	121.34	85.83	87.01
cds298	655.55	587.47	570.06	1574.94	5892.95	7919.84	521.3	365.88	159.43	473	330.97	381.98	337.42	388.04	827.07	639.6	256.01	225.9	67375.37	667.9	58.27	98.41	40669.84	21.43	38.69	51865.37	21.96	42.63	154.26	109.58	136.06	130.04
cds299	320.22	1.88	0.94	7.44	42.9	24.34	21.82	11.75	1.98	10.66	5.66	5.38	8.04	11.63	17.69	23.41	8.11	7.79	2774.05	27.28	1.25	5.94	1951.54	1.28	3.34	1464.26	1	1.71	9.07	0.5	1.61	2.01
cds30	454.56	1285.24	379.27	1358.72	4802.89	5425.88	199.82	96.38	69.21	102.7	147.5	146.35	220.84	185.83	487.36	377.4	178.06	148.6	67763.14	259.68	41.2	61.7	37925.37	22.47	18.97	54137.75	12.85	11.89	93.2	87.94	46.21	84.65
cds301	1	6.2	26.62	2.57	241.01	505.84	37.81	20.12	6.18	33.62	8.57	22.36	22.67	17.09	34.45	26.87	25.19	13.92	3576.09	19.81	1.97	4	1927.52	4	3.43	2326.56	4	2.98	16.85	9.28	3.27	5.67
cds302	189.57	515.85	56.9	179.81	835.72	1147.04	100.41	57.3	33.39	55.5	43.83	70.65	52.13	62.34	122.8	103.89	55.78	53.69	18329.36	91.26	6.76	8.44	6875.12	4.84	7.6	8674.64	3.61	7.92	57.61	21.55	40.76	24.36
cds303	392.52	540.99	183.97	489.94	1703.54	2893.75	199	131.85	69.4	170.53	124.96	155.43	189.28	150.53	328.71	255.21	124.53	90.06	34231.52	236.22	8.71	22.89	11513.19	6.89	12.31	16028.35	16.52	22.56	101.7	67.78	76.16	51.75
cds304	6953.85	7977.62	1770.23	5340.76	25690.07	33285.41	388.88	264.99	166.27	483.43	356.53	450.5	598.7	575.52	1363.42	1128.6	1467.17	854.94	758852.47	1960.24	556.59	1324.78	349210.47	287.52	368.83	571269	113.15	239.93	950.86	1072.82	817.03	697.97
cds305	585.72	232.45	192.3	237.54	1381.06	2808.19	84.78	53.71	29.87	62.29	66.17	88.31	60.15	65.57	194.42	150.91	69.25	54.13	15179.65	86.8	11.03	10.04	9500.19	6.79	6.31	10902.62	3.41	8.91	44.95	43.19	36.69	32.89
cds306	3285.11	3717.16	1026.94	3355.91	12341.06	15466.67	563.29	406.03	162.2	425.78	344.36	398.29	389.4	400.24	1097.17	750.84	257.45	226.02	61907.3	853.56	61.75	180.2	45388.42	37.94	63.03	43902.51	31.69	50.81	175.29	189.18	120.8	169.91
cds308	1	89.91	0.5	24.5	71.59	300.2	14.33	9.37	3.55	11.35	8.13	10.87	6.83	5.13	20.53	8.25	12.8	4.52	2044.02	4.16	3	1	1176.56	0	2	1464.74	0	1.85	5.67	2.03	10.08	3.77
cds310	1761.73	3291.16	882.67	2414.99	10536.6	13708.01	532.94	386.97	189.06	380.3	350.58	387.07	387.28	383.85	772.55	612.73	291.42	242.64	118632.3	509.86	53.23	80.8	62593.65	22.78	35.88	70648.71	21.83	45.09	252.91	238.14	185	219.17
cds311	1010.61	1064.01	347.98	1285.74	3817.92	4494.56	161.16	103.36	38.25	153.03	122.03	138.92	157.24	125.09	399.61	282.56	107.92	83.81	57053.11	204.24	13.56	30.24	22126.99	6.14	10.56	29426.88	12.43	19.92	99.85	92.68	49.38	97.67
cds312	1	1	9	26	338.5	240	14.8	6.5	0	23.56	9.2	7	10.88	8	17.83	19	17.14	5.78	3457.77	15	2	10.5	1155.3	0	1	2336.55	1	1	6	4	4	9.41
cds313	856.36	643.12	267.97	876.94	2647.28	3965.03	22.32	15.36	28.12	11.42	27.68	33.51	65.55	25.98	100.24	75.1	68.26	62.28	60315.47	104.65	11.41	34.22	20483.8	7.5	8.96	31531.01	5.54	10.32	28.98	48.69	18.12	38.96
cds314	32.61	7.04	57.77	119.28	533.06	752.99	33.39	15.75	11.12	29.65	24.9	13.43	16.47	14.63	62.16	40.21	13.04	8.19	2147.66	32.98	0	5.59	1431.76	0	0.39	1547.4	2	1.11	9.77	11.05	6	10.08
cds315	48.43	4.77	6.09	174.15	335.58	292.31	34.29	24.82	8.22	19.32	20.04	14.31	8.79	15.71	32.34	24.72	10.03	4.46	1436.16	18.32	0	2.48	990.02	0	2	1017.63	0.78	0.46	5.22	3.37	4.58	3.53
cds316	1636.7	3334.88	857.36	2485.87	8647.6	11607.92	655.48	402.01	212.64	452.84	435.59	454.04	513.49	491.76	900.52	761.5	375.56	269.96	140925.78	597.47	93.21	197.36	86482.63	32.08	51.73	101410.91	30	52.5	246.22	295.74	186.55	218.57
cds317	3.32	160.03	22.64	42.04	218.41	413.39	22.64	13.84	6.42	28.46	23.39	24.06	18.9	22.87	41.79	32.65	22.48	19.75	3857.27	28.88	5.02	7.24	5367.35	3.61	5.42	4492.4	1	6.56	21.28	20.74	21.71	11.14
cds318	182.57	5.69	66.87	343.5	694.47	361.76	19.7	10.13	2.41	10.99	16.25	9.27	6.67	12.38	26.29	26.48	9.7	6.28	6813.86	10.44	3	4	3300.59	1	0.85	3327.38	0.06	1	21.41	8.56	14.02	8.76
cds32	664.63	576.24	243.59	618.11	4034.73	4931.39	304.46	253.84	103.76	295.39	190.75	242.04	175.87	261.62	675.75	496.33	270.45	185.81	84593.19	411.16	33.7	50.32	34828.59	9.92	31.12	39670.22	21.62	46.04	157.89	98.79	129.78	128.01
cds323	185	21	243.37	235.5	1353.5	1786.28	29.84	22.2	20	42.48	26	31.58	40.75	38	94.89	69.42	48.64	38.87	15237.99	99.84	14	27.61	10438.18	6.29	8	12035.12	3	9	32.33	23.53	20.42	28.22
