darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds106	5	9.43	6.4	0.88	0	2
cds1061	97.75	27.47	67.28	69.9	47.56	77.68
cds1062	62.85	17.33	35.45	21.77	9.82	82.12
cds1063	46.56	13.78	29.55	46.61	18.91	39.35
cds1064	20.83	15.5	13.34	12.61	15.27	20.96
cds1065	0.15	0.5	0	0	0.5	0.5
cds1067	89.51	101.87	55.12	31.72	17.93	19.84
cds1068	56.45	27.16	26.35	4.96	5.75	28.61
cds1069	23.5	28.5	22.09	12.37	10.19	12.64
cds107	51.76	37.34	12.77	20.83	13.92	65.95
cds1071	25.34	8.5	26.73	25.21	18.16	23.42
cds1072	9.67	11.86	12.77	13.7	13.67	9.78
cds1073	1.77	0.33	1.86	2.46	3	1.81
cds1074	47.63	35.88	37.29	28.98	4.56	22.19
cds1075	20.91	10.35	14.92	17.36	7.45	21.07
cds1076	84.9	66.75	51.13	27.19	14.99	19.49
cds1077	47.59	46.37	62.66	31.38	13.75	45.59
cds108	304.82	232.2	160.45	122.76	100.91	207.15
cds1080	58.7	26.61	38.75	38.28	17.48	76.23
cds1081	10.55	5.78	9.06	13	7.5	11.1
cds1082	16.92	21.96	12	9	8	21.5
cds1083	36.98	9.44	29.97	35.89	28.79	33.61
cds1084	56.21	30.99	24.35	18.48	17.84	19.49
cds1085	14.32	16.44	5.76	4.74	9.22	12.03
cds1086	9.68	4.7	6.63	6.96	8.54	7.99
cds1088	84.69	23.22	43.02	44.67	14.95	36.56
cds1089	56.54	52.92	45.8	35.87	23.32	24.78
cds109	59.25	33.7	19.96	6.35	6.56	11.94
cds1090	106.65	49.48	60.16	57.99	48.3	77.83
cds1091	20.49	13.3	39.15	25.73	19.17	48.11
cds1092	114.01	54.85	59.86	11.38	22.23	17.78
cds1093	66.16	35.37	48.27	35.59	32.1	96.52
cds1094	224.92	120.97	154.43	146.69	83.13	116.01
cds1095	14.28	8.56	16.56	14.36	4.63	33.34
cds1096	9.54	10.04	10.22	13.22	6.3	14.43
cds1097	110.69	62.61	68.68	26.89	37.11	68.89
cds1098	39.98	26	40.89	24	27.5	62.5
cds1099	24.64	23.5	13.86	5.6	5.54	10.49
cds11	220.41	118.81	134.69	51.12	39.46	67.63
cds110	232.99	156.79	74.6	59.7	43.24	53.78
cds1100	45	31.38	33.09	56.62	22.01	44.5
cds1101	0.98	0	0	0.62	0	0.89
cds1102	137.32	151.88	50	66.73	51	108.73
cds1104	9.18	3.99	6.56	9.24	4.15	12.98
cds1105	29.4	10.36	10	8.14	3.65	11.76
cds1106	13.73	19.74	20.88	8.72	11.09	11.62
cds1107	108.89	149.89	91.11	50.36	48.62	104.01
cds1108	141.35	59.28	128.01	39.65	46.87	36.23
cds1109	31.07	14.53	24.02	18.26	17.74	27.99
cds111	81.96	62.53	53.79	24.73	26.9	32.34
cds1110	56.09	31.98	55.95	18.13	10.19	43.19
cds1111	325.64	197.86	117.99	53.67	55.18	188.61
cds1112	103.66	66.84	89.15	56.23	27.02	82.37
cds1113	176.82	136.29	110.19	77.33	42.64	99.69
cds1114	50.2	24.12	64.81	47.45	19.85	50.36
cds1115	34.56	14.66	18.79	21.6	3	15.47
cds1116	56.16	26.13	43.58	47.81	39.22	95.87
cds1117	36.51	11	25.95	29.44	15.38	48.9
cds1118	167.34	139.67	93.26	28.35	34.23	85.32
cds1119	565.28	323.47	282.97	165.23	147.45	150.29
cds112	295.62	166.51	158.77	91.62	71.65	187.2
cds1120	9.31	9.95	10.01	6.24	3.37	7.23
cds1121	21.22	13.86	24.38	43.1	9.77	16.63
cds1122	48.42	40.98	22.62	29.24	27.2	28.87
cds1123	193.8	110.81	77.49	51.94	34.63	91
cds1124	10.77	10.31	6.41	9.2	10.65	10.76
cds1125	97.56	58.53	72.57	25.83	25.51	28.31
cds1126	230.1	126.58	210.22	103.9	66.47	138.14
cds1127	211.75	206.8	142.7	58.37	55.05	118.72
cds1128	50.66	43.57	23.62	6.45	6.84	21.12
cds1129	70.84	26.84	23.25	38.54	16.17	30.94
cds113	74.59	34.2	45.48	25.31	23.85	14.14
cds1130	40.82	19.39	16.7	16.28	11.22	47.07
cds1132	22.75	28.49	26.75	23.21	7.53	20.43
cds1133	21.21	10.91	18.31	18.75	12.38	16.77
cds1134	0.14	0	0	0.07	0	0.19
cds1135	51.76	17.5	31.52	19.6	12.57	12.47
cds1136	40.05	21.56	28.91	22.21	8.19	15.98
cds1137	30.91	13.48	14.49	12.41	8.97	8.8
cds1138	296.59	267.37	199.35	90.82	68.1	205.96
cds114	36.63	4.92	36.44	15.5	11.96	22.55
cds1142	15.93	3.43	8.99	16.29	14.23	19.91
cds1143	55.91	14.03	26.52	31.13	19.47	30.62
cds1144	27.15	7.24	7.36	13.46	5.28	11.25
cds1146	47.86	16.53	36.04	22.43	5.76	12.07
cds1147	97.41	40.22	65.52	44.07	25.18	46.13
cds1148	1011.54	750.01	519.76	383.7	422.83	473.74
cds1149	307.18	260.72	121.71	158	79.28	132.15
cds115	65.25	51.5	64.98	31.96	14.58	87.12
cds1150	45.18	16.38	39.84	28.23	18.02	36.34
cds1151	143.31	80.4	67.38	66.19	52.82	88.4
cds1152	21.5	5.29	17.96	14.81	8.19	19.75
cds1153	30.09	21.26	12.81	15.43	13.35	19.38
cds1154	49	52.5	29.71	14.27	20.5	29.33
cds1155	8.2	4.66	8.91	5.5	5.73	3.43
cds1156	87.56	80.54	84.74	58.75	46.24	121.32
cds1157	75.68	47.5	41.13	12.68	11.2	47.18
cds1158	3.93	1.4	5.83	0.84	0	3.84
cds1159	130.53	73.87	33.04	24.49	37.16	28.7
cds116	31.17	6.97	8.19	11.5	10.22	9
cds1160	8.87	5	2.33	12.17	10.62	24.85
cds1161	171.33	58.9	94.96	82.37	43.2	78.04
cds1162	118.24	105.08	82.6	28.07	39.99	66.47
cds1163	34.83	32.99	13.59	7.33	10.41	19.15
cds1165	181	105	117.84	107.42	67.8	114.65
cds1166	62.05	60.28	39.8	16.84	17.22	43.07
cds1167	563.78	312.75	385.36	308.14	238.6	224.47
cds1168	82.56	75.1	47.25	41.73	25.81	31.25
cds1169	109	35.24	74.29	39.71	19.62	51.68
cds117	58.72	48.15	39.12	34.22	24.95	75.29
cds1170	71.14	27.98	43.53	43.62	10.99	49.54
cds1171	14.75	20.63	18.52	4.85	5.11	39.07
cds1173	188.25	105.25	96.24	106.22	78.17	135.6
cds1174	75.5	49.26	42.15	18.78	13.7	53.04
cds1175	26.17	13.53	18.8	17.11	3.24	11.79
cds1176	7.85	1	7.16	7	5.5	7.08
cds1178	148.06	116.26	83.13	79.13	33.32	106.43
cds1179	321.55	241.33	186.55	114.33	65.64	183.49
cds118	31.54	9.82	24.86	28.79	20.5	38.52
cds1180	19.14	10.23	17.77	20.5	12.81	26.61
cds1181	43.04	15	24.67	14.02	8	33.73
cds1182	6.69	12.19	5.46	5.74	3.92	1.93
cds1184	186.75	67.21	152.08	269.7	182.82	272.75
cds1185	2135.96	1260.24	935.66	1144.95	913.4	1171.95
cds1186	43.24	23.41	21.7	21.89	9.6	30.22
cds1187	31.5	17.17	24.44	29	15.74	21.1
cds1188	105.78	84.62	51.64	12.7	14.33	46.84
cds1189	21.11	7.68	17.75	13.8	6	11.34
cds119	4.16	15.96	4.31	2.85	0.5	1.27
cds1190	87.26	65.29	68.07	43.72	20.64	57
cds1191	37.38	14.67	24.32	16.88	12.83	12.08
cds1192	233.99	161.01	112.65	154.91	97.6	114.83
cds1193	30.61	26.12	22.13	33.74	13.15	23.36
cds1194	1.17	2.44	0.55	1.95	1.06	4.25
cds1196	14.02	4	5.33	16.7	5.37	7.41
cds1197	37.25	16.61	24.8	42	13.84	58.53
cds1198	33.94	14.45	12.26	28.02	9.28	17.12
cds1199	69.18	45.66	41.42	34.65	30.53	59.71
cds12	557.81	247.31	369.32	173.2	83.11	190.72
cds120	251.21	210.35	157.13	71.42	56.07	235.91
cds1200	2.24	0.75	1.08	2.94	1.21	3.62
cds1201	112.32	35.5	76.34	72	62.63	87.61
cds1204	20.08	6.33	17.98	36.05	6.26	11.88
cds1205	100.49	46.19	69.96	80.11	38.99	73.7
cds1206	15.5	8.82	7.06	2.31	1.43	6.29
cds1207	10.39	9.71	8.49	2.81	2.79	2.21
cds1208	23.78	5.19	4.15	4.98	2.53	6.85
cds1209	12.36	2.9	7.66	1.34	0.24	3.09
cds121	70.49	33.41	49.21	19.09	22.09	35.74
cds1210	13.25	0.99	13.45	2.3	0.95	2.3
cds1211	1189.36	757.05	452.55	259.88	319.67	551.02
cds1212	35.7	18.54	13.69	11.67	9.05	12.84
cds1213	37.73	36.88	14.63	16.72	12.15	10.86
cds1214	80.83	37.18	39.26	61.2	37.56	43.95
cds1215	156.64	92.82	102.79	84.29	41.12	64.65
cds1216	3.14	1.78	6.34	8.49	7.11	5.25
cds1217	119.86	87.47	77.17	86.35	72.94	146.57
cds1218	35.91	10.29	10.72	6.08	13.9	42.83
cds1219	26.96	47.05	27.59	24.5	9	52.82
cds122	87.62	27.96	31.46	44.54	13.95	31.03
cds1220	37	20.39	29.1	48.03	29.04	67.13
cds1221	79.64	62.98	43.38	14.08	8.22	41.72
cds1222	8.02	3.76	12.27	6.61	3.48	9.55
cds1223	17.96	8.31	19.11	11.39	13.85	9.15
cds1224	132.1	55.04	101.16	59.76	35.99	51.09
cds1225	284.36	248.52	214.82	80.32	60.75	111.73
cds1226	74.12	51.36	61.12	49.01	37.65	71.22
cds1227	68.29	56.23	44.13	41.92	28.31	46.01
cds1228	9.87	3.05	12.18	11.59	4.09	8.77
cds125	3.77	6.06	1.83	6.54	4.5	6.32
cds126	5.44	4.24	8.15	15.67	4.83	15.03
cds127	195.14	125.3	105.07	59.06	52.1	127.58
cds128	19.56	2.2	12.35	11.15	3.37	8.04
cds129	3.25	1.11	2.57	1.39	1.5	3.78
cds13	311.69	123.84	247.53	95.81	65.61	125.22
cds130	122.62	37.48	66.36	25.08	27.2	24.14
cds131	50.4	20	47.03	65.67	45.69	109.12
cds132	5.68	3.3	6.92	3.9	5.72	5.63
cds133	57.58	24.95	25.96	25.41	17.52	23.56
cds134	95.71	79.75	43.63	70.02	47.32	47.66
cds135	55.54	25.37	36.56	19.36	10.63	27.48
cds136	627.06	526.18	250.41	110.36	87.7	105.16
cds137	70.55	19.23	34.54	25.53	14.44	14.91
cds138	29.76	7.65	20.47	23.9	8	17.71
cds139	63.43	28.63	39.55	31.7	18.5	17.35
cds14	7.02	4.72	16.34	3.56	0.66	3.57
cds140	91.29	61	70.79	39.74	25.65	55.45
cds141	182.83	122.45	112.04	24.59	17.35	70.19
cds142	12.95	12.04	9.12	21.92	11.05	18.54
cds143	34.58	22.07	23.29	36.66	12.71	27.01
cds144	388.71	280.97	216.84	127.4	96.23	135.48
cds145	369.54	249.35	201.42	96.93	43.89	126.19
cds146	23.44	9.36	13.11	8	1.67	17.65
cds147	5.23	5.57	3.6	1.09	1.41	4.33
cds148	79.98	89.5	60.16	38.82	12.52	43.13
cds149	62.97	76.37	21.84	15.3	11.4	24.02
cds15	81.92	26.91	63.39	19.93	7.41	23.75
cds150	91.65	50.46	60.23	65.39	25.95	62.08
cds151	108.83	55.35	52.98	15.41	15.5	39.68
cds152	34.79	13.37	24.72	21.69	13.73	23.32
cds153	19.38	9.68	13.64	20.3	14.27	22.64
cds154	12.01	5.01	9.86	3.87	4.84	8.34
cds155	21.88	11.33	9.33	13.83	4.52	2
cds156	211.22	193.1	142.65	44.14	35	72.84
cds157	24.2	10.23	14.75	10	11.17	14.59
cds158	7.27	4.03	14.81	7.47	5.08	11.39
cds16	73.9	45.25	65.85	21.68	24.32	17.69
cds160	22.86	26.46	8.53	31	19.58	20.06
cds161	25.5	5.78	12.06	4.46	12.88	19.1
cds162	9.32	10.84	14.42	17.98	4.46	12.71
cds163	21.44	22.5	26.53	11.46	7.29	17.89
cds164	15.5	3.69	6.66	7.88	5.38	12.22
cds165	3.41	2.34	1.5	1.53	8.55	2.43
cds166	0	0.5	0	0.94	0	0
cds167	0	0.83	0	0.5	0	0
cds168	308.29	92.97	152.85	127.03	61.1	166.54
cds169	20.58	26.2	26.04	16.72	7.79	24.1
cds17	218.17	87.1	135.15	59.02	26.31	48.59
cds170	53.2	13.21	17.22	15.7	8.82	18.97
cds171	2.42	3.45	2.67	1.76	0.43	1.05
cds172	52.98	22.12	56.32	50.81	41.64	40.14
cds173	181.93	141.12	117.22	132.98	69.87	152.35
cds174	115.38	83.87	70.2	30.1	19.08	61.59
cds175	10.46	3	2.89	3.03	2	6.59
cds176	81.56	43.78	68.32	42.13	28.84	95.41
cds177	72.08	56.84	38.75	43	30	31.64
cds178	52.54	41.51	38.45	23.5	23.82	26.76
cds179	74.08	85.37	52.56	6.64	5.77	19.48
cds18	198.01	84.05	118.33	41.85	26.48	25.65
cds180	11.67	3.7	1.49	1.12	5.23	0.45
cds181	17.05	28.91	8.51	9.89	12.96	44.53
cds182	43.95	25.87	24.47	35.64	17.41	22.55
cds183	404.72	249.98	257.96	94.2	53.14	193.06
cds184	6.78	5.68	10.23	5.43	2.5	4.83
cds185	4.08	0	6.22	0.84	0	2.91
cds186	0	0	0	0	0	0
cds188	92.58	39.46	42.27	60.84	24.3	62.57
cds189	31.29	8.49	11.48	11.03	4.33	12.12
cds19	173.85	46.45	118.91	64.37	25.4	23.44
cds190	13	7.31	13.13	7.66	2.13	8.38
cds191	76.25	32.26	38.33	30.48	22.08	21.95
cds192	168.03	64.61	74.96	45.55	29.33	122.51
cds193	40.06	17.49	11.29	12.54	3.12	14.98
cds194	17.01	2.64	6.89	10.76	5.13	5.81
cds196	35.31	17.21	16.48	18.35	14.74	19.8
cds197	12.68	3.33	9.75	9.41	0.76	8.86
cds198	39.16	26.77	34.59	38.51	22.84	32.95
cds199	31.82	15.06	14.49	8.09	3.38	8.65
cds2	84.46	53.02	58.8	35.64	11.83	33.66
cds20	1586.06	508.49	1039.59	527.48	262.33	532.58
cds200	244.96	140.86	173.84	167.49	86.08	152.08
cds201	96.57	48.41	93.04	79.66	51.64	63.97
cds203	68.53	38.58	42.14	22.8	10.3	56.51
cds204	227.75	156.84	166.39	58.43	57.35	127.43
cds205	27.82	4.54	14.19	24.87	14.59	32.03
cds206	23.97	8.92	9.97	9.31	1.84	9.09
cds207	58.81	32.56	59.29	45.18	23	42.74
cds208	18.18	2	13	8.93	6.7	12.95
cds209	58.93	34.41	54.44	90.2	28.34	84.04
cds21	24.78	18.74	24.78	22.43	16.96	26.4
cds212	69.59	39.98	21.96	32.66	21.56	85.92
cds213	3.42	7.49	5.73	4.53	8	3.08
cds214	60.71	46.5	40.71	40.15	28.12	30.79
cds215	18.28	6.88	13.98	4.61	2.62	4.01
cds216	7.66	2.02	6.97	3.54	2.16	3.46
cds219	438.07	248.96	222.34	170.21	118.84	209.94
cds22	30	12.14	8.52	8.72	16.79	9.16
cds220	106.49	108.75	77.68	54.98	34.67	110.83
cds221	33.24	15.63	27.53	12.47	10.5	49.67
cds222	36.27	34.06	18.99	6.52	10.71	17.21
cds223	36.08	30.8	14.7	19.93	12.85	28.21
cds224	30.2	21.04	31.82	28.48	23.14	26.55
cds226	24.02	10.5	16.62	30.88	15.82	18.56
cds228	0	0	0	0	0	0.15
cds229	28.66	6.5	11.58	12	19.91	18.99
cds23	330.12	303.8	181.59	70.58	40.57	122.45
cds230	10.03	1.95	2.5	2.36	2.92	25.79
cds231	246.44	70.65	156.55	155.62	110.92	93.54
cds233	195.11	76.03	179.59	84.15	43.69	81.29
cds234	1383	609.1	864.35	776.36	450.48	885.32
cds238	63.21	53.18	44.33	35.34	30.48	35.06
cds24	141.24	74.39	99.21	45.45	57.86	141.39
cds241	35.6	12.5	27.09	47.82	31.77	46.89
cds242	7.55	2	4.58	11.34	10.17	4.87
cds243	88.23	39.07	83.3	127.66	68.66	154.56
cds244	8.42	5.37	8.35	15.51	7.75	18.51
cds245	110.36	58.6	44.75	54.91	75.78	83.06
cds246	183.09	100.73	121.93	49.98	39.75	46.62
cds247	73.16	82.28	45.88	23.34	22.72	19.78
cds25	242.1	127.77	142.57	57.98	31.69	118.25
cds250	13.64	0	8.74	16.82	4.34	8.87
cds251	2.13	0	1.76	6.41	3	1.36
cds252	41.6	21.27	46.71	22.52	21.5	35.85
cds253	3.29	0.16	4.03	3.93	0.25	1.89
cds254	12.19	3	7.82	17.63	14.49	16.21
cds255	4.64	5.38	7.31	22.15	11.36	9.11
cds256	36.67	21.36	40.47	79.38	22.19	62.69
cds258	16.33	15.24	13.27	10.37	11.22	17.86
cds259	13.73	4.94	12.24	14.38	5.05	14.59
cds26	2.88	2.27	3.9	0.68	4.17	1.29
cds260	29.3	14.47	26.27	43.2	34.88	48.95
cds261	29.45	8	12.31	28.24	19.76	30.97
cds262	14	2.74	13.99	28.7	20.33	56.02
cds263	12.8	4	12.7	20.86	14.61	23.67
cds264	12.36	5.05	9.27	23.52	14.04	29.29
cds265	30.88	11.13	36.08	51.01	38.56	64.67
cds266	15.35	11.41	13.26	10.9	14.25	22.29
cds267	320.67	188.91	237.38	168.56	68.81	114.58
cds268	2406.46	1594.56	1656.27	1999.6	1118.27	2567.58
cds269	165.52	127.56	98.11	66.53	57.47	62.26
cds272	224.47	193.16	183.39	92.27	98.66	121.27
cds273	0.11	0	0.24	0.21	0.35	1.53
cds274	9.16	0	2.6	1.03	2.17	4.35
cds275	0	0	0	0.13	0	0
cds276	286.41	124.39	114.98	165.51	141.36	151.15
cds277	109.38	48.36	80.18	86.57	42.78	53.98
cds278	27.97	19.81	24.8	25.14	18.76	18.71
cds279	17.92	1.5	10.64	4.6	3.43	11.53
cds280	68.8	38.99	31.19	48	30.44	34.59
cds281	2033.37	646.57	1423.57	2037.51	1317.23	2104.44
cds282	164.96	59.15	149.71	284.54	173.75	397.89
cds283	59.91	23.03	28.79	23.47	19.92	30.53
cds284	56.2	48.04	33.76	26.96	15	53.73
cds285	1.68	0.66	4.49	2.03	1.15	1.65
cds286	1.7	0	0.79	1.38	1.82	1.46
cds287	31.82	19.9	32.56	5.51	3.17	18.58
cds288	18.38	11.93	11.58	22.63	10.42	19.34
cds289	43.69	39.3	40.51	10.64	10.15	27.64
cds29	26.63	8.14	12.63	14.71	8.09	25.25
cds290	112.27	47.4	121.01	99.45	57.33	62.82
cds291	89.45	18.42	50.28	28.31	14.52	35.73
cds292	35.43	21.26	33.44	23.72	5.25	30.43
cds293	124.47	54.61	94.53	33.55	25.79	57.71
cds294	1.54	16.88	10.24	6.75	9.53	9.19
cds295	5.06	7.06	5.05	5.26	3.91	7.63
cds296	7.37	4.52	8.62	10.59	11.9	15.58
cds297	100.2	22.94	40.61	15.79	24.6	69.71
cds298	119.43	55.38	39.88	28.41	32.04	40.86
cds299	16.02	3.04	7.54	24.53	16.06	37.39
cds3	44.4	51.63	39.8	30	52.37	43.55
cds30	42.22	23.96	28.34	22.51	16.7	34.85
cds300	2.99	0	0.52	0.41	1.48	0.25
cds302	6.96	1.46	4.02	8.82	2.4	11.28
cds305	67.64	36.5	37.89	20.75	9.28	33.79
cds306	129.16	55.95	93.37	88.01	41.08	98.4
cds307	55.72	22.65	26.88	25.63	24.43	19.99
cds308	106.95	86.24	70.61	28.68	7.43	61.27
cds309	133.22	62.51	112.45	144.65	80.7	111
cds31	11.74	6.44	5.48	8.29	1.53	10.71
cds311	108.96	107.99	74.66	60.02	30.11	101.77
cds312	31.05	25.75	27.03	20	9.93	38.22
cds314	22.74	21.95	10.85	13.83	5	25.21
cds315	35.85	36.04	10.89	6	2.93	35.35
cds316	91.02	95.21	39.04	14.66	20.39	36.14
cds317	33.67	25.32	20.38	6.66	5.41	18.69
cds318	2.37	1.73	2.74	2.22	0.72	2.08
cds319	0	0	0	0	0	0
cds32	27.78	20.03	19.18	19.29	20.9	53.9
cds320	0	0	0.04	0.14	0	0
cds321	0	0	0.5	0.37	0	0
cds322	60.06	10.57	23.6	25.28	16.44	24.34
cds323	31.53	19.29	21.49	12.53	11.26	18.8
cds324	22.14	17	19.03	19.91	10.5	22.75
cds325	0	0	0.13	0.59	0	0
cds326	79.32	71.29	87.8	25.93	15.74	44.4
cds327	21.17	10	25.64	29.62	19.5	24.61
cds328	78.81	45.5	38.92	38.58	20.5	98.58
cds33	180.21	103.72	107.6	83.88	71.09	178.26
cds330	94.18	56.5	50.24	25	9.5	36.94
cds331	30.6	11.04	15.1	30.74	16.58	12.94
cds332	15.74	2	20.09	7.19	10	15.44
cds333	2.55	0	3.52	6.32	4.14	5.83
cds334	51.07	19.23	41.7	32.56	27.62	57.72
cds335	179.37	116.81	117.65	77.23	43.72	63.49
cds336	13.01	3.44	12.8	4.41	1.1	1.41
cds337	16.78	9.28	9.91	4.72	2.87	7.46
cds338	134.46	78.25	72.46	27.35	51.48	74.74
cds339	85.7	63.8	60.64	36.86	32.35	52.39
cds34	144.54	77.47	100.66	89.03	65.55	133.2
cds340	29.76	24.66	21.89	14.26	6.25	9.82
cds341	3.76	0	3.7	3.51	4.61	2.73
cds342	94.95	51	46.37	29.84	30.31	41.06
cds343	16.14	12.02	8.79	16.51	10.41	13.21
cds344	0.54	0.26	0.89	0.8	0.98	0.41
cds345	0	0	0	0	0	0
cds346	0.03	0	0	0	0	0
cds348	28.39	16.98	23.57	26.57	21.99	28.57
cds35	92.26	54.58	47.03	24.49	20.93	48.42
cds351	54.33	16.96	20.03	32.57	15.22	38.73
cds352	91.35	32.34	38.54	14.38	7.34	18.2
cds353	45.6	21.35	32.03	16.46	7.76	32.95
cds355	68.04	33.42	65.82	77.26	39.36	95.95
cds356	346	180.66	198.13	108.71	96.23	199.69
cds357	34.75	19.17	34.86	38.93	10.63	28.07
cds358	76.02	37.13	62	48.41	48.04	86.52
cds359	133.5	62.5	96.71	101.64	64.52	120.97
cds36	48.63	67.55	28.92	15.69	7.15	31.39
cds360	511.39	428.33	280.65	222.09	160.48	346.62
cds361	6.49	6.15	4.8	4.17	1.18	4.28
cds362	21.14	4.67	33.01	8.22	13.65	68.35
cds363	256.26	188.97	132.01	76.62	42.98	122.29
cds364	48.02	40.76	32.73	35.41	13.08	35.83
cds365	15.73	2.91	9.83	6.12	5	11.68
cds366	13.53	17.92	11.52	14.27	9.32	20.22
cds367	5.28	1.52	1.98	4.72	4.76	6.76
cds368	20.85	6.5	21.08	18.65	15.21	27.55
cds37	25.45	15.15	15.54	7.39	14.2	13.18
cds371	69.38	63.25	61.62	13.85	10.65	40.64
cds372	7.33	1.39	5.26	1.53	3.05	6.34
cds373	67.25	24.5	40.16	26.81	34.22	19.41
cds374	4.92	3.96	9.82	7.48	6.91	24.81
cds375	43.67	46.05	66.94	44.25	21.13	56.3
cds376	307.91	184.89	149.9	126.14	68.86	128.68
cds377	95.47	98.38	75	25.09	26.06	66.94
cds378	5.09	1.12	3.59	0.47	0	2.18
cds379	90.08	30.76	27.43	22.74	31.94	14.51
cds380	7	1.64	10.95	5.78	1.3	5.11
cds381	64.21	49.79	57.43	67.23	49.61	139.72
cds382	125.7	70.28	66.25	70.12	37.15	81.48
cds383	80.47	53.65	55.59	42.75	18.07	45.94
cds384	103.65	37.3	48.65	14.29	12.07	44.3
cds385	88.3	58.98	47	50.3	35.7	87.47
cds386	80.42	39.98	14.75	10.51	3.7	13.4
cds387	51.13	39.42	72.83	49.25	41.78	49.12
cds389	169.29	81.01	125.36	109.55	55.7	135.97
cds39	0.75	2.77	4.8	2.43	2.65	0.72
cds390	179.5	108.47	112.9	70.3	47.9	141.26
cds391	81.46	51	53.58	68.28	29.92	69.96
cds392	0.43	0	0	0.29	3.08	0.78
cds393	54.59	35.02	21.71	17	13.84	39.57
cds394	64.85	81.07	35.28	19.88	19.05	95.11
cds395	105.47	161.41	95.42	35.74	24.49	62.25
cds396	54.39	28.66	17.04	6.71	21.31	14.4
cds397	20.49	6.06	19.04	20.53	21.64	15.75
cds398	13.73	7.63	8.71	15.5	6.87	16.65
