darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds0	94.59	53.84	86.91	83.54	38.21	53.01
cds1	14.09	17.5	18.75	19.56	12.27	15.86
cds10	825.32	637.86	476.07	214.5	211.73	403.47
cds100	1.41	0	0.99	1.45	0.47	0
cds1000	1.23	10.23	5.14	2.53	2.77	7.44
cds1002	27.42	18.83	29.86	30.51	19.22	8.22
cds1003	85.4	23.36	51.05	33.18	13.49	72.59
cds1004	2.43	4.22	4.02	3.93	2.55	5.69
cds1005	41.08	18.5	33.24	36.78	18.5	34.43
cds1006	2.53	0	4.84	2.1	0	3.28
cds1007	26.87	18.87	23.15	18.52	14.2	21.5
cds1008	17.08	8.95	11.97	13.7	9.91	13.59
cds1009	139.87	95.88	77.78	28.9	25.47	76.42
cds101	0.79	0	0.48	0	0.53	0.5
cds1010	58.48	29.92	48.25	34.55	14.6	31.15
cds1011	42.06	17.78	27.32	39.75	11.73	33.31
cds1012	56	14.7	50.6	48.19	37.78	71.12
cds1013	2	8.44	4.25	3.47	3.31	2.37
cds1014	56.89	8	25.86	5.51	8.59	23.66
cds1015	157.62	92.26	112.35	84.71	43.55	69.84
cds1016	123.38	80.64	62.36	43.02	39.43	29.46
cds1017	2.6	0.3	1.92	0.63	0.05	1.18
cds1018	28.83	3.27	9.98	8.2	10.86	7.01
cds1019	19.06	3.28	15.92	2.52	1.2	4.24
cds102	46.7	19.45	25.67	28.75	14.25	20.21
cds1020	506.46	321.07	310.96	193.74	104.86	238.19
cds1021	16.77	5.68	5.74	13	10	21.41
cds1022	10.68	14.67	10.28	6.5	5.2	6.38
cds1023	11.46	1.68	12.57	3.59	1.09	3.82
cds1025	37.01	30.46	16.65	11.44	10.09	22.15
cds1026	88.66	39.67	44.61	45.71	28.63	61.08
cds1027	44.4	24.46	21.77	28.11	8.11	32.95
cds1028	28.14	26.13	33.22	14.89	13.48	23
cds1029	56.9	22.69	28.37	16.27	29.26	35.29
cds103	96.2	42.58	48.12	25.14	12.5	26.74
cds1030	13.3	2.28	10.82	6.83	3.37	4.31
cds1031	78.01	80.76	59.19	25.05	15.07	36.07
cds1032	30.6	14.51	21.03	20.74	10.14	17.22
cds1033	49.22	42.52	13.32	10.64	10.42	5.12
cds1034	27.93	7.46	27.23	47.95	26.18	32.04
cds1035	49.85	25.16	47.2	56.4	29.58	52.45
cds1036	95.89	85.7	83.56	66.2	38.11	75.15
cds1037	12.24	5.19	11.26	9.09	15.52	14.89
cds1038	145.54	100.55	95.83	135.17	70.42	180.46
cds1039	48.3	28.2	33.56	43.57	30.22	68.05
cds1040	42.95	14.27	23.74	17.96	15.66	18.3
cds1042	1	1.01	0	6.45	0.84	0.9
cds1044	94.87	38.67	53.1	47.25	19.09	41.28
cds1045	33.8	21.66	18.86	13.2	1.98	18.53
cds1046	49.53	19.83	28.82	23.96	12.22	32.37
cds1047	12.07	16.47	14.46	11.19	7.52	9.32
cds1048	19.17	6.39	7.71	18.94	8.2	26.82
cds1049	12	5.5	8.84	7.6	7.03	15.99
cds105	47.16	17.07	46.6	42.79	28.6	58.42
cds1050	67.99	42.72	39.52	24.25	20.74	49.15
cds1051	39.91	13.72	29.04	31.26	13.19	29.01
cds1052	59.36	62.57	46.45	32.25	25.65	41.76
cds1053	109.5	56.06	78.09	43.89	30.5	48.31
cds1054	40.53	5.13	25.5	7.23	1.11	9.65
cds1055	88.44	31.46	63.15	16.67	6.8	46.31
cds1056	2251.78	1426.74	1259.64	859.12	666.75	1343.93
cds1057	31.87	13.44	40.43	25.75	30.08	28.04
cds1058	46.9	21.93	26.95	16.49	11.82	18.17
