gutzwiller_wmel_embryo0to2hr_a	gutzwiller_wmel_embryo0to2hr_b	gutzwiller_wmel_embryo2to4hr_a	gutzwiller_wmel_embryo2to4hr_b	gutzwiller_wmel_embryo10to12hr_a	gutzwiller_wmel_embryo10to12hr_b	gutzwiller_wmel_embryo12to14hr_a	gutzwiller_wmel_embryo12to14hr_b	gutzwiller_wmel_embryo18to20hr_a	gutzwiller_wmel_embryo18to20hr_b	gutzwiller_wmel_embryo22to24hr_a	gutzwiller_wmel_embryo22to24hr_b	gutzwiller_wmel_L1_a	gutzwiller_wmel_L1_b	gutzwiller_wmel_L2_a	gutzwiller_wmel_L2_b	gutzwiller_wmel_L3_12hrpostmolt_a	gutzwiller_wmel_L3_12hrpostmolt_b	gutzwiller_wmel_L3_darkbluegutPS_1to2_a	gutzwiller_wmel_L3_darkbluegutPS_1to2_b	gutzwiller_wmel_L3_lightbluegutPS_3to6_a	gutzwiller_wmel_L3_lightbluegutPS_3to6_b	gutzwiller_wmel_L3_cleargutPS_7to9_a	gutzwiller_wmel_L3_cleargutPS_7to9_b	gutzwiller_wmel_WPP_a	gutzwiller_wmel_WPP_b	gutzwiller_wmel_pupae_12hrpostWPP_a	gutzwiller_wmel_pupae_12hrpostWPP_b	gutzwiller_wmel_pupae_24hrpostWPP_a	gutzwiller_wmel_pupae_24hrpostWPP_b	gutzwiller_wmel_pupae_2dayspostWPP_a	gutzwiller_wmel_pupae_2dayspostWPP_b	gutzwiller_wmel_pupae_3dayspostWPP_a	gutzwiller_wmel_pupae_3dayspostWPP_b	gutzwiller_wmel_pupae_4dayspostWPP_a	gutzwiller_wmel_pupae_4dayspostWPP_b	gutzwiller_wmel_adultfemale_1dayposteclosion_a	gutzwiller_wmel_adultfemale_1dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_a	gutzwiller_wmel_adultfemale_5dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_c	gutzwiller_wmel_adultfemale_5dayposteclosion_d	gutzwiller_wmel_adultfemale_5dayposteclosion_f	gutzwiller_wmel_adultfemale_30dayposteclosion_a	gutzwiller_wmel_adultfemale_30dayposteclosion_b	gutzwiller_wmel_adultmale_1dayposteclosion_a	gutzwiller_wmel_adultmale_1dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_a	gutzwiller_wmel_adultmale_5dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_c	gutzwiller_wmel_adultmale_5dayposteclosion_d	gutzwiller_wmel_adultmale_5dayposteclosion_i	gutzwiller_wmel_adultmale_5dayposteclosion_j	gutzwiller_wmel_adultmale_30dayposteclosion_a	gutzwiller_wmel_adultmale_30dayposteclosion_b
cds1007	63.69	43.52	72.79	25.63	114.18	71.86	95.68	15.1	103.76	90.17	101.44	6.52	80.79	66.64	28.9	19.87	39.19	27.37	81.2	52.07	88.19	63.81	119.57	50.69	68.7	51.88	71.4	48.06	50.15	19.68	44.38	32.31	86.92	30.62	57.11	40.67	118.78	61.82	118.53	67.53	56.19	149.41	115.48	184.32	135.49	107.68	79.14	161.64	74.47	157.6	145.8	48.42	59.21	144.68	142.65
cds1008	112.28	63.72	85.74	51.07	185.8	115.29	108.26	40.34	154	120.38	168.06	11.57	120.4	111.7	56.32	50.47	57.32	37.84	101.19	72.82	127.25	95.77	187.19	51.83	137.99	75.29	103.51	53.28	71.65	29.44	57.39	38.52	97.45	44.26	78.99	63.33	143.82	96.55	162.27	71.98	90.25	160.51	160.37	228.53	163.75	134.33	88.22	248.2	87.34	180.96	154.01	62.21	83.26	184.98	209.17
cds1009	138.86	110.04	132.55	92.05	203.65	152.04	168.85	61.33	198.58	191.93	222.31	19.3	176.65	118.7	48.43	48.94	58.55	50.88	143.28	153.97	177.95	193.92	326.7	101.78	245.47	151.83	190.78	114.05	126.75	54.72	118.33	66.78	267.18	96.2	112.51	119.79	341.07	176.83	316.19	189.21	138.67	262.33	285.46	422.29	353.88	239.99	174.71	583.09	180.17	422.35	295.96	117.84	106.71	365.22	434.55
cds101	1.84	2.61	2.19	1.95	4.81	0	0	0	0	1.91	1.4	0	1.03	2.97	2.59	1.11	0	0	2.66	3.3	3.5	2.07	6.8	1.27	2.39	1.67	0.48	0	0	0	1.93	0	1.81	0.86	1.66	1.18	4.03	1.63	6.61	3.34	4.6	1.01	3.62	8.55	4.48	2.65	3.41	6.77	4.41	2.91	4.19	2.47	1.82	5.12	3.79
cds1010	172.1	122.21	153.69	44.42	272.13	140.14	187.2	39.85	282.63	200.33	266.05	35.63	207.89	192.47	93.41	76.43	102.43	68.04	166.36	126.05	196.61	206.97	288.88	106	244.95	145.52	177.11	102.51	140.16	57.91	121.17	64.29	236.09	90.9	136.36	114.41	312	156.67	274.82	158.16	141.89	255.29	274.23	483.22	293.01	250.6	165.81	466.31	146.16	386.24	296.7	128.34	126.91	325.23	369.88
cds1011	57.97	53.87	58.66	16.72	111.81	79.7	70.18	20.81	75.37	87.91	84.41	5.92	65.41	92.68	31.99	20.39	24.29	28.9	71.46	58.21	80.03	57.24	130.61	37.86	91.41	55.97	80.35	42.96	66.38	21.93	46.55	28.49	105.07	33.52	58.58	44.08	114.14	71.33	127.41	68.55	63.34	94.73	116.99	200.77	124.46	119.03	70.88	182.86	62.22	199.94	117.49	40.15	49.99	152.85	127.31
cds1012	46.97	38.18	33.82	21.84	118.75	59.38	77.12	13.51	48.89	49.41	41.4	8	49.02	35.09	20.18	15.3	16.05	10.61	42	34.4	38.66	36.26	68.22	20.7	67.63	38.56	33.61	22.85	30.82	15.89	20.74	15.4	48.21	10.7	28.35	35.21	51.82	43.88	64.21	29.49	28.17	33.92	47.28	68.78	52.57	52.56	31.22	79.33	31.83	81.07	37.78	22.31	18.85	66.34	63.5
cds1013	45.06	39.98	46.25	26.75	106.32	85.88	60.37	25.68	71.99	72.74	82.13	7.3	51.15	40.59	34.58	22.22	28.18	9.99	42.01	42.12	53.68	52.55	89.4	32.12	64.66	35.8	41.48	23.45	25.63	10.48	23.34	11.21	58.5	20.82	40.88	28.29	49.82	33.22	79.74	27.38	28.34	72.73	63.04	100.48	54.47	45.23	38.82	103.12	36.81	87.17	49.23	24.43	26.53	89.01	85.45
cds1014	80.08	83.96	144.18	64.05	204.51	208.24	133.88	70	197.72	181.46	224.46	19.36	127.11	126.79	45.29	44.92	55.66	53.26	103.27	110.1	158.52	116.61	201.58	72.03	183.15	118.17	133.88	85.66	93.66	38.18	80.68	42.8	180.59	63.03	101.7	96.72	209.69	124.15	212.62	129.58	107.17	177.24	251.33	342.01	279.23	188.57	129.73	351.71	124.32	284.52	219.84	90.6	91.75	326.91	305.42
cds1015	419.58	303.39	389.08	208.52	737.28	572.07	437.64	154.85	577.36	559.22	628.15	52.65	481.16	435.08	197.92	173.31	253.09	157.11	407.24	351.05	467.39	460.73	737.64	300.65	588.33	394.87	496.97	303.14	364.41	181.72	277.86	172.02	597.81	243.68	319.98	284.68	737.27	473.29	724.63	366.88	358.55	706.37	816.42	1147.5	906.36	622.77	417.59	1134.48	410.06	974.25	733.49	275.82	289.83	849.18	936.68
