gutzwiller_wmel_embryo0to2hr_a	gutzwiller_wmel_embryo0to2hr_b	gutzwiller_wmel_embryo2to4hr_a	gutzwiller_wmel_embryo2to4hr_b	gutzwiller_wmel_embryo10to12hr_a	gutzwiller_wmel_embryo10to12hr_b	gutzwiller_wmel_embryo12to14hr_a	gutzwiller_wmel_embryo12to14hr_b	gutzwiller_wmel_embryo18to20hr_a	gutzwiller_wmel_embryo18to20hr_b	gutzwiller_wmel_embryo22to24hr_a	gutzwiller_wmel_embryo22to24hr_b	gutzwiller_wmel_L1_a	gutzwiller_wmel_L1_b	gutzwiller_wmel_L2_a	gutzwiller_wmel_L2_b	gutzwiller_wmel_L3_12hrpostmolt_a	gutzwiller_wmel_L3_12hrpostmolt_b	gutzwiller_wmel_L3_darkbluegutPS_1to2_a	gutzwiller_wmel_L3_darkbluegutPS_1to2_b	gutzwiller_wmel_L3_lightbluegutPS_3to6_a	gutzwiller_wmel_L3_lightbluegutPS_3to6_b	gutzwiller_wmel_L3_cleargutPS_7to9_a	gutzwiller_wmel_L3_cleargutPS_7to9_b	gutzwiller_wmel_WPP_a	gutzwiller_wmel_WPP_b	gutzwiller_wmel_pupae_12hrpostWPP_a	gutzwiller_wmel_pupae_12hrpostWPP_b	gutzwiller_wmel_pupae_24hrpostWPP_a	gutzwiller_wmel_pupae_24hrpostWPP_b	gutzwiller_wmel_pupae_2dayspostWPP_a	gutzwiller_wmel_pupae_2dayspostWPP_b	gutzwiller_wmel_pupae_3dayspostWPP_a	gutzwiller_wmel_pupae_3dayspostWPP_b	gutzwiller_wmel_pupae_4dayspostWPP_a	gutzwiller_wmel_pupae_4dayspostWPP_b	gutzwiller_wmel_adultfemale_1dayposteclosion_a	gutzwiller_wmel_adultfemale_1dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_a	gutzwiller_wmel_adultfemale_5dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_c	gutzwiller_wmel_adultfemale_5dayposteclosion_d	gutzwiller_wmel_adultfemale_5dayposteclosion_f	gutzwiller_wmel_adultfemale_30dayposteclosion_a	gutzwiller_wmel_adultfemale_30dayposteclosion_b	gutzwiller_wmel_adultmale_1dayposteclosion_a	gutzwiller_wmel_adultmale_1dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_a	gutzwiller_wmel_adultmale_5dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_c	gutzwiller_wmel_adultmale_5dayposteclosion_d	gutzwiller_wmel_adultmale_5dayposteclosion_i	gutzwiller_wmel_adultmale_5dayposteclosion_j	gutzwiller_wmel_adultmale_30dayposteclosion_a	gutzwiller_wmel_adultmale_30dayposteclosion_b
cds1189	47.45	43.51	50.13	14.13	95.66	79.38	62.18	19.05	56.41	67.89	58.99	3.14	47.87	35.06	20.28	27.84	25.08	19.1	30.64	30.64	51.22	35.82	68.22	22.11	50.7	40.39	56.21	20.76	26.32	11.33	26.67	20.35	35.29	18.46	20.78	23.79	55.27	31.93	65.21	26.78	22.14	52.09	66.32	94.28	63.91	49.97	37.94	84.25	31.8	61.65	67.54	16.96	20.67	76.11	71.94
cds119	3.99	2.13	7.07	2.31	10.74	11.27	4.08	0.56	1.84	3.76	2.8	0.73	1.63	6.52	0.96	1.73	3.65	1.32	3.42	6.01	5.22	9.01	5.06	2.58	4.84	4.78	2.03	3.5	0.85	0.32	1.75	2.15	2.42	2.02	2.03	2.51	4.81	4.79	5.48	3.78	4.46	9.35	5.52	12.81	8.85	6.96	5.77	9.47	4.3	12.13	10.55	2.53	3.49	10.33	14.34
cds1190	140.59	108.36	134.42	63.58	252.75	124.58	214.39	71.51	273.6	164.16	250.67	19.48	200.16	180.02	95.19	71.84	125.49	91.13	145.59	100.4	170.43	121.32	296.92	100.52	196.25	135.06	193.93	103.1	112.03	49.47	121.97	62.58	207.55	65.64	100.82	99.21	271.05	147.71	259.38	106.35	123.19	171.66	229.41	309.48	230.78	205.84	133.94	363.66	112.27	296.88	241.21	85.32	71.55	308.59	288.97
cds1191	49.02	34.28	49.77	11.33	111.35	46.89	50.65	5.28	67.02	59.36	74.66	12.64	60.57	56.29	25.89	17.71	26.68	25.86	41.97	40.6	66.32	46.3	78.09	25.36	53.93	49.47	72.69	47.82	28.96	15.23	24.89	22.5	68.54	30.28	39.43	29.78	62.86	43.31	85.5	38.57	37.6	75.98	121.43	117.22	89.85	72.25	50.71	137.56	38.33	126.94	75.97	45.37	34.35	120.25	113.48
cds1192	102.59	101.43	106.79	52.91	169.59	147.51	103.59	33.03	158.12	149.74	188.62	25.32	122.95	125.71	49.86	40.38	56.82	57.64	95.72	88.04	152.15	105.81	232.03	68.77	146.14	113.88	118.79	68.55	110.3	58.87	103.15	49.16	186.45	64.4	77.78	98.82	239.77	148.52	219.18	137.03	142.43	197.43	221.23	431.62	316.51	266.26	133.94	424.54	156.36	381.15	254.09	78.85	105.26	373.81	408.11
cds1193	86.99	53.93	83.94	25.52	160.88	125.47	101.03	18.14	112.29	109.07	136.89	30.39	107.91	72.2	39.56	29.69	69.37	30.03	61.8	66.95	88.95	90.45	137.51	43.29	86.46	67.86	91.98	48.68	65.95	24.17	45.53	24.25	121.98	33.57	58.1	46.4	146.23	74.79	134.07	43.67	46.26	76.66	131.88	189.8	130.81	117.81	75.81	222.47	67	170.27	95.21	41.82	33.41	171.35	168.63
cds1194	16.66	6.15	9.95	3.98	11.88	10.47	5.78	1.33	7.59	8.59	8.29	0.18	5.84	4.73	3.72	4.34	3.89	3.39	4.82	6.44	9.3	5.17	8.31	5.51	14.78	8.3	6.79	6.22	7.39	0	2.93	2.88	6.02	3.2	5.02	8.69	8.42	6.91	7.34	7.52	8.05	5.87	13.23	12.05	8.32	17.92	5.43	19.29	3.95	18.05	13.52	7.64	1.61	15.02	15.08
cds1196	5.7	3.89	10.75	1.79	5.21	11.59	14.8	0	27.22	33.12	75.11	6.09	108.93	97.88	32.36	31.1	16.76	9.06	90.82	35.42	104.5	58.65	185.33	36.87	113.9	77.24	177.97	97.37	110.15	45.36	104.83	72.09	246.55	87.15	107.89	91.45	172.9	109.97	136.57	103.36	78.02	192.23	90.35	224.38	92.7	187.27	144.85	400.63	157.51	290.71	272.05	96.48	101.37	218.65	213.76
cds1197	3.88	2.71	4.66	0	5.37	8.54	13.05	1	28.81	17.76	97.29	8.3	126.77	82.5	39.74	45.58	16.23	9.83	80.5	40.87	94.54	71.44	174.71	39.67	142.02	64.77	161.55	89.38	128.67	55.32	140.79	75.16	281.16	96.86	111.33	96.96	213.2	136.79	126.82	128.52	97.29	188.04	94.97	206.88	125.43	235.08	144.3	416.84	208.4	358.53	350.23	111.96	106.15	345.39	239.15
cds1198	13.33	14.07	11.51	0.87	13.45	7.86	9.35	1.5	22.45	16.69	14.05	2	9.75	8.01	7.68	1.33	4.02	0	14.12	8.69	20.43	19.8	36.03	11.37	28.23	14.28	13.09	9.1	14.98	6.7	12.3	9.95	24.94	8.46	11.88	18.56	35.96	20.27	28.02	6.42	11.98	23.4	30.95	45.28	26.45	40.53	21.37	82.38	19.88	42.61	28.68	10.92	14.49	42.03	40.12
cds1199	32.48	21.73	32.6	11.86	47.84	27.22	44.09	4	53.62	30.78	51.9	4.35	59.21	35.84	22.89	16.62	16.34	16	44.71	28.92	61.05	38.46	71.84	16.84	57.05	43	49.53	30.72	41.74	17.47	26.12	22.19	51.69	20.86	36.9	34.85	100.25	46.26	83.91	31.68	27.02	53.93	73.72	101.28	69.03	61.28	38.57	143.69	29.16	94.11	81.14	23.84	25.05	95.94	106.17
cds12	927.56	641.34	865.21	497.43	1170.17	861.05	1046.88	283.18	1343.93	1062.22	1477.52	123.78	1230.3	981.02	453.13	391.5	664.1	403.09	887.08	620.3	1014.38	740.9	1663.29	578.28	1263.8	860.44	1084.51	669.96	693.28	345.43	661.62	341.1	1180.09	464.06	644.02	616.3	1559.98	882.72	1443.3	599.37	532.22	894.1	1246.7	1939.82	1234.3	1312.48	820.04	2291.54	631.92	1774.31	1029.05	358.48	378.67	1465.55	1423.11
cds120	113.89	90.65	110.58	65.56	173.87	149.94	142.29	38.8	140.6	169.24	162.15	31.13	130.5	156.95	62.35	66.64	70.7	50.73	104.26	57.85	131.86	35.31	212.06	93.9	169.14	129.2	130.62	104.71	82.29	47.71	73.5	43.1	130.7	71.87	83.25	82.97	162.9	123.7	193.14	65.5	57.53	57.89	166	262.84	241.73	164.63	110.18	286.7	101.34	273.77	112.86	56.14	45.92	285.65	239.66
cds1200	0.75	0.77	0.73	0	0	0	0	0	1.42	0.92	0	0	2	0	0	0	3.4	0	0.93	0.31	0.8	0	2.36	1.5	0.85	0	2.31	1	1.25	0	0.31	0	2.37	0.84	0.78	0.14	3.8	0	0.49	1.82	0	4.39	0	0.5	5.28	1	1.31	3.34	0	0	1.77	0.81	0.61	3.56	3.92
cds1201	216.15	147.58	204.52	84.18	349.86	243.02	254.84	95.66	334.14	283	303.12	26	273.42	205.73	127.66	98	131.06	80.29	212.77	170.57	233.47	218.82	385.7	115.65	257.22	204.88	235.46	119.51	166.29	61.82	129.75	84.48	258.88	98.05	160.38	141.3	377.85	233.06	368.69	180.52	186.83	317.93	299	501.7	354.13	344.2	194.77	519.42	222.96	478.01	370.84	152.97	167.94	488.07	489.2
cds1204	41.77	40.48	35.26	20.07	74.06	70.96	50.13	12.41	58.22	43.78	44.52	4.11	48.92	29.79	11.7	10.91	12.02	16.48	30.58	22.59	32.8	45.07	74.29	27.32	82.08	34.7	31.74	12.45	23.41	12.65	25.18	15.37	52.76	18.31	21.18	19.17	53.59	32.36	69.49	25.77	26.7	45.36	53.53	82.23	59.66	37.7	28.57	109.33	23.47	59.84	47.71	23.72	19.46	54.88	68.1
cds1205	223.36	152.93	237.28	116.7	412.19	219.15	247.15	85.37	295.32	248.13	319.89	24.24	307.7	238.42	95.39	76.14	96.3	75.69	213.99	174.56	262.48	181.31	419.98	156.86	374.71	229.54	274.44	172.22	201.75	84.82	197.68	95.59	354.87	128.56	170.15	161.25	433.28	219.6	343.31	189.32	198.63	310.57	375.81	611.32	436.96	346.74	240.14	683.63	204	543.64	371.19	157.25	138.91	501.19	456.41
cds1206	46.91	25.69	43.59	27.05	84.44	46.57	53.3	11.32	61.16	51.45	48.13	3.21	34.77	53.6	21.4	19.53	12.33	13.7	37.33	33.89	43.97	40.03	69.72	38.16	62.91	35.86	38.5	34.93	35.77	13.4	28.83	14.87	64.32	12.92	20.11	28.76	75.82	37.62	66.57	39.13	36.08	59.79	67.11	99.83	110.01	79.45	43.44	101.24	39.89	115.79	74.97	28.59	35.6	120.72	119.57
cds1207	31.69	31.72	40.46	27.68	60.33	40.07	55.46	15.08	43.75	33.35	32.77	4.18	30.66	35.2	18.87	15.72	17.9	13.01	31.01	32.99	31.11	46.87	71.51	24.47	52.76	32.7	31.32	20.48	32.58	13.81	17.29	18.54	50.87	16.27	19.4	21.38	47.05	30.43	55.47	52.38	20.22	49.86	58.9	90.61	64.83	48.88	39.64	85.61	32.12	73.13	40.66	16.59	26.54	37.95	75.35
cds1208	36.21	40.59	42.97	18.75	80.73	63.74	53.28	20.93	65.65	58.42	75.77	9.47	46.85	38.13	20.47	14.41	38.07	20.37	49.76	48.09	55.55	64.2	105.78	37.27	91.05	47.04	57.13	29.26	49.62	17.23	29.63	18.38	76.51	27.37	33.21	46.32	85.48	52.83	106.14	35.79	33.22	67.34	67.78	110.74	83.2	68.85	52.72	144.75	36.7	131.65	52.57	29.15	25.33	89.3	79.55
cds1209	39.94	30.73	28.96	27.51	78.63	49.11	45.5	8.77	53.77	43.32	45.29	7.79	40.51	24.36	14.21	12.53	24.74	10.9	34.23	30.61	43.16	43.43	65.1	18.82	48.96	38.61	33.8	26.11	30.8	12.25	21.51	11.14	46.3	27.53	26.61	25.16	51.92	37.39	59	23.96	25.15	63.6	53.05	80.86	66.45	47.22	31.93	77.93	27.28	68.73	40.71	14.45	21.78	63.9	43.51
cds121	110.21	103.61	97.9	66.44	134.98	130.53	131.63	56.2	157.1	154.34	164.25	30.19	120.2	115.12	59.58	56.62	60.63	52.76	121.71	51.27	128.68	92.79	221.83	60.58	161.56	124.95	149.81	87.08	79.17	41.22	76.77	55.26	153.12	67.21	85.78	95.03	201.35	145	226.94	76.37	73.11	118.07	127.86	305.49	166.91	180.54	130.36	360.92	104.97	275.22	162.12	66.13	55.02	280.7	201.64
cds1210	46.28	41.43	29.3	17.4	94.22	53.99	41.12	11.01	56.71	76.05	73.58	4.34	50.7	56.34	29.21	16.49	22.57	24.88	33.93	28.65	52.63	38.3	84.96	22.99	69.68	49.26	40.63	33.03	26.91	12.12	27.64	9.95	58.86	19.52	31.6	25.85	64.41	52.81	71.55	33.55	28.37	47.73	68.78	100.72	58.77	60.36	52.99	111.51	36.71	81.22	71.46	24.78	17.38	84.67	57.83
cds1211	219.47	150.61	233.86	106.21	404.93	271.83	274.88	60.8	344.17	281.83	383.69	41.38	306.08	317.95	108.27	113.5	110.27	108.22	212.29	205.67	256.87	220.87	367.49	164.8	327.62	203.63	272.65	195.89	189.79	105.18	181.36	101.08	315.68	141.82	167.52	179.82	388.99	269.07	412.83	223.45	232.69	378.43	385.42	605.17	517.16	353.16	230.88	645.63	251.45	595.99	433.36	169.14	184.31	563.3	610.93
cds1212	46.2	31.75	42.03	11.02	54.47	49.47	44.11	19.47	64.74	54.7	66.85	2.79	43.52	29.32	11.35	12.99	15.5	12.22	28.15	33.6	40.98	35.35	59.49	23.9	51.53	38.84	43.21	29.08	39.36	14.73	29.64	18.33	40.28	19.58	26.49	26.33	54.11	43.7	68.72	33.98	33.31	64.07	98.07	111.11	87.83	43.18	40.27	90.13	33.57	73.29	62.62	17.61	28.5	95.49	92.48
cds1213	69.05	27.06	59.77	15.46	82.54	36.09	69.61	17.07	69.1	84.71	73.39	11.22	51.71	56.49	17.21	18.93	27.13	16.4	53.82	37.76	69.89	52.54	108.76	46.83	84.49	61.97	67.66	39	32.03	18.57	47.28	24.25	76.6	38.25	37.12	36.76	100.51	69.56	100.07	50.09	47.74	74.01	67.11	128.21	104.02	87.31	65.45	175.46	62.42	113.72	88.91	33.55	39.13	132.94	118.75
cds1214	113.49	94.5	134.19	46.19	256.39	156.91	157.07	40.68	216.35	180.61	221	7.77	183.04	155.01	71.72	53.06	97.09	60.88	136.26	118.38	169.31	125.6	261.14	87.34	193.04	140.4	163.36	114.78	116.82	52.52	103.1	50.07	186.34	67.25	96.64	104.3	238.4	124.74	240.87	115.49	114.92	202.93	234.6	326.57	294.81	238.89	118.22	390.1	137.76	317.01	232.17	101.75	125.12	355.9	362.55
cds1215	279.78	190.65	269.2	103.79	373.28	291.58	320.73	72.9	411.52	389.31	481.04	50.61	350.86	278.88	142.91	118.69	188.95	82.43	224.81	155.86	291.44	238.42	489.16	146.43	333.75	202.79	293.6	174.67	224.11	90.77	167.25	120.24	372.26	155.83	218.21	162.27	490.9	251.8	454.39	211.94	209.28	361.56	348.68	591.33	398.89	422.94	247.03	767.95	264.49	561.5	431.56	160.75	187.32	541.69	556.93
cds1216	0	2	1	2	0	2.5	2.63	7	2	0	3	0	0	0.46	0	0	0	0	1	1.98	2.47	4.95	0.5	1	1.5	2.41	1.98	1	1.98	1	0	0	1.82	0	2.9	2	2	0.5	1.99	2	2	2	0.5	4.62	3	7	3.51	4.5	0	8.3	3	1.98	3.84	4.98	9
cds1217	17.73	16.46	17.28	10.88	35.75	14.54	17.57	5.35	36.66	22.42	43.83	4.95	32.19	26.17	8.88	8.06	16.19	16.99	32.2	17.59	30.96	29.86	55.38	27.45	54.34	32.73	46.69	35.41	37.87	10.37	19.39	20.69	67.41	22.24	34.19	29.51	67.01	50.91	61.45	35.54	39.74	68.38	62.84	112.54	88.07	70.58	40.03	145.01	47.75	102.62	72.88	35.07	33.66	132.93	153.79
cds1218	50.79	38.24	38.29	24.73	68.81	59.87	64.69	25.46	87.54	80.63	70.14	9.87	75.33	68.27	20.45	21.91	25.64	8.81	66.19	61.91	115.04	69.3	152.36	41.87	122.63	84.78	105.23	84.85	69.64	31.55	52.46	51.5	117.59	50.54	61.32	63.41	172.04	99.48	168.23	82.39	81.46	150.49	187.8	239.62	188.11	177.91	118.35	297.08	117.05	261.11	185.81	50.12	68.8	221.49	254.17
cds1219	39.4	27.18	46.22	18.2	62.83	48.7	39.49	12.94	53.48	32.44	59.84	2.48	55.05	46.03	26.29	16.48	29.19	21.15	45.26	47.18	47.08	33.26	82.17	17.5	40.01	36.44	45.98	28.13	47.49	16.94	35.24	22.83	74.7	17.92	30	32.36	75.04	53.72	75.05	34.12	23.48	52.9	68.91	118.13	88.59	64.93	43.79	113.21	38.24	100.81	65.11	30.35	21.86	95.24	85.9
cds122	128.84	89.55	133.81	67.76	201.97	110.75	166.97	35.1	180.62	145.91	200.18	12.46	134.61	103.83	63.51	48.75	74.57	48.76	109.21	105.36	146.81	131.49	223.31	90.42	176.86	94.89	132.45	71.97	90.18	41.18	90.36	28.6	167.3	58.35	97.79	87.7	226.9	167.5	213.17	100.1	135.72	183.7	186.59	336.44	222.38	187.37	117.18	400.38	131.85	302.35	214.41	97.34	88.35	317.92	295.85
cds1220	18.57	12.93	18.69	14.81	23.06	23.22	30	11.38	33.02	25.33	40.74	2	32.39	17.06	12.87	9.12	12.27	6	23.01	16.11	25.23	25.19	39.53	13.45	26.2	23.51	29.31	6.74	19.89	8.5	15.3	8.72	35.57	16.5	12.35	17.8	39.75	30.71	39.08	15.42	18.47	21.62	33.6	38.63	32.41	37.87	26.21	61.25	19.98	38.63	35.8	9.12	9	39.86	55
cds1221	16.64	9.41	17.21	6.72	36.01	9.21	20.02	0.69	11.46	12.88	11.32	2.33	10.5	13.94	9.27	2.34	8.72	4.44	18.26	12.09	19.23	25.51	19.11	10.31	19.36	10.11	12.46	9.79	12.79	3.11	9.74	9.25	19.94	5.09	8.45	11.21	16.66	13.21	24.93	15.5	11.77	25.36	25.91	32.3	33.66	16.13	15.53	30.03	17.06	28.96	35.5	10.55	9.47	45.86	34.83
cds1222	46.21	38.4	38.85	31.14	86.21	73.91	73.36	20.62	50.97	52.63	53	2.81	44.69	23.14	16.46	14.1	27.23	11.92	38.04	30.81	44.82	41.08	81.12	34.92	46.36	31.7	47.73	24.36	31.94	8.96	30.49	19.58	52.4	19.28	31.76	22.86	58.82	35.9	60.71	42.27	32.1	55.22	58.88	92.36	63.88	54.92	52.89	88.31	23.32	76.16	54.47	25.08	24.52	74.87	79.92
cds1223	57.87	54.61	53.43	29.93	122.66	83.67	70.09	13.87	89.1	81.16	93.23	8.5	63.4	48	29.99	33.14	33.78	19.59	52.55	41.17	87.91	68.55	96.47	33.93	80.07	52.76	73.69	44.25	33.27	20.51	29.75	20.26	69.91	37.29	46.98	45.33	86.34	54	102.53	48.69	46.03	77.56	93.06	149.1	95.2	87.77	72.77	140.47	55.49	154.8	84.57	36.08	32.53	153.49	135.12
cds1224	310.25	273.06	336.06	158.42	682.25	491.97	442.78	123.37	493.35	499.61	577.02	44.88	449.01	337.49	176.78	166.58	208.58	127.06	322.54	260.16	399.53	341.84	502.28	218.07	432.92	317.95	379.41	221.44	252.45	117.93	219.17	127.33	468.72	176.75	219.9	230.45	609.62	346.67	553.79	250.23	254.09	415.38	593.96	822.15	691.48	467.2	347.1	956.29	349.32	779.74	512.63	231.38	262.3	772.28	846.08
cds1225	498.17	356.57	438.66	214.91	825.24	588.1	529.05	158.77	766.92	582.33	754.27	93.47	600.45	469.78	270.13	211.37	301.78	202.07	428.29	383.08	495.22	435.49	816.86	300.28	611.79	433.5	530.7	361.81	405.89	145.93	314.36	196.68	635.44	242.1	346.82	324.7	777.91	470.29	767.09	362.64	295.6	643.63	838.44	1184.68	977.31	666.55	480.05	1270.84	437.45	1068.28	667.65	285.46	313.96	1094.58	1091.83
cds1226	84.36	55.79	80.35	19	143.62	100.34	108.23	29.95	110.12	111.61	156.82	10	99.17	72.73	37.38	37.44	31.63	22.65	84.38	62.02	121.92	80.75	165.79	46.4	142.26	85.19	122.95	62.88	65.29	28.5	45.97	29.27	142.45	43.89	68.94	75.93	158.93	108.74	189.46	93.87	90.46	170.61	132.09	250.66	190.25	166.76	93.47	360.63	147.18	328.01	237.47	89.52	80.04	278.11	296.02
cds1227	25.93	11	26.84	12	34.77	27.55	20.36	8.56	39.56	26.56	48.26	4	63.11	75.29	91.95	71.94	25.12	14.81	93.01	40.71	106.51	65.25	207.16	43.16	100.53	73.2	126.65	70.95	153.2	55.64	128.84	75.87	287.56	126.35	95.08	82.15	145.27	78.13	117.6	50.16	41.61	103.96	83.08	139.55	122.08	155.54	95.41	293.81	79.61	219.33	127.26	36.09	43.94	155.8	176.99
cds1228	9.43	3.49	10.9	4.71	12.13	10.36	10.95	1.34	9.19	7.76	9.63	0	9.45	1.89	0.34	5.11	0	2.17	8.92	11.86	14.53	14.85	31.6	6.85	15.52	10.97	11.96	5.5	14.96	8.53	9.31	4.88	21.01	8.96	6.5	6.26	25.53	10.68	21.69	5.39	8.86	14.63	21.36	31.32	20.89	12.76	15.82	32.35	11.01	33.14	21.49	9.12	13.16	34.75	28.65
cds125	5.67	6.1	12.45	0.41	12.25	2.06	4.76	0.48	7.57	11.99	9.09	1	5.09	2.52	1.61	2.34	3	0	6.05	8.67	19.09	13.28	15.01	6.67	16.14	5.9	10.56	9.74	7.63	2.11	9.8	0.35	12.3	0.72	6.49	5.75	11.25	12.4	16.81	7.1	3.98	12.28	11.05	20.81	21.68	17.78	6.36	27.44	5.95	24.53	15.69	6.67	4.37	25.91	31.4
cds126	4.1	2.04	2.69	2.66	6.15	0.99	2.21	1.22	3.45	1.75	3.18	0	2.41	0.85	0.51	1.17	1	2.34	2.85	2.05	3.52	2.73	8.76	4.7	4.49	4.06	5.61	1.76	4.23	0.09	3.98	7.33	6.3	2.01	6.3	0	6.65	6.08	7.43	3.7	3.45	5.47	1.6	8.44	10.27	10.25	6.58	17.67	2.83	8.66	4.53	1.98	5.09	8.54	10.11
cds127	183.74	101.28	137.57	31.44	247.45	147.19	171.36	65.76	269.86	215.08	303.08	28.04	231.47	212.77	97.37	97.52	110.3	75.54	166.97	151.25	189.44	149.59	310.28	108.22	214.43	160.89	245.93	144.04	193.91	69.28	172.24	99.66	260.24	99.36	133.12	148.28	369.89	224.49	358.43	166.16	176.77	313.41	291.38	546.45	421.66	335.65	211.74	615.22	217.88	479.95	359.66	125.06	149.13	461.58	520.73
cds128	23.38	23.72	15.04	15.8	48.44	26.72	22.82	4.73	21.97	26.59	29.31	6.38	12.74	21.73	7.13	11.37	14.79	14.41	24.91	17.65	20.97	23.69	38.39	13.32	29.43	20.37	20.26	10.85	11.6	7.34	13.38	12	27.14	12.56	5.83	22.85	33.32	22.52	41.31	9.6	21.61	31.24	32.68	51.1	35.34	46.12	17.6	74.51	21.57	54.39	42.16	12.28	17.57	48.28	47.26
cds129	2.17	1.14	4.2	0	9.79	2	4.25	3	6.66	2.65	7.31	0	1.82	1.82	0	2	0	0	2.65	4.39	3.46	5.21	7.02	1	4.99	4.54	1.61	4.6	5.6	0.66	2.55	2.64	6.07	2.12	1.4	0.85	8.85	4.82	7.38	1.99	0.86	8.83	9.08	8.37	5.5	10.02	4.68	10.61	0	11.69	8.81	0.8	6.7	18.94	12.57
cds13	163.93	119.68	168.49	62.38	243.13	158.31	217.6	51.39	256.65	220.18	359.31	19.43	252.68	205.78	84.35	80.51	126.08	67.3	185.69	111.79	293.62	91.46	486.96	132.98	271.56	174.46	230.15	144.95	135.9	84.47	177.16	85.38	249.19	78.07	152	137.03	400.23	190.08	274.53	137.57	120.92	163.46	214.31	337.91	299.7	307.19	197.42	577.58	157.08	419.02	221.41	99.24	76.56	371.41	385.95
cds130	144.88	80.54	150.26	49.02	184.67	197.04	189.18	47.09	195.7	174.01	199.53	19.48	185.01	145.62	55.7	47.85	87.51	53.2	134.26	89.59	160.24	147.91	255.86	77.66	201.56	113.27	166.32	92.42	104.17	41.16	82.37	49.66	173.77	71.57	103.1	98.87	235.52	124.67	251.83	85.92	110.72	201.18	208.63	318.64	232.17	210.06	114.57	371.03	142.75	282.41	211.54	77.5	78.88	279.12	299.56
cds131	18.03	14.76	26.08	7.08	23.23	9.92	25.42	5	21.15	21.77	33.72	1	15.02	14.24	10.4	5.7	12.79	6.77	23.63	14.46	20.42	10.94	33.35	16.66	43.95	23.05	26.95	14.15	17.48	2	26.29	9.02	33.55	11.52	22.26	16.36	49.01	26.5	39.26	6.34	13.74	27.5	29.99	60.54	44.76	36.3	34.37	68.76	15.93	59.65	39.96	15.24	14.46	45.57	62.48
cds132	11.03	12.71	17.36	3.51	29.54	16.93	19.52	0	15.81	20.37	16.75	1.01	9.26	8.14	3.41	4.29	2.67	5.37	11.08	3.98	21.97	11.76	17.55	9.91	21.24	9.82	12.42	9.93	12.27	4.71	10.69	8.45	22.11	7.65	9.35	12.68	32.64	15.42	31.96	11.01	9	20.83	18.16	39.11	25.42	24.39	12.98	47.83	13.8	41.79	21.47	10.28	10.28	38.79	25.51
cds133	124.56	103.15	111.66	58.02	209.02	206.32	186.65	65.22	180.44	194.62	252.81	16.26	165.99	103.3	69.15	43.55	84.04	48.72	118.32	89.98	139.12	129.01	219.82	64.15	177.02	129.59	146.51	83.56	82.41	43.96	91.29	53.03	165.3	48.9	111.56	88.63	246.77	136.44	211.4	116.41	127.95	232.41	226.4	367.48	282.87	202.83	143.06	391.13	151.51	307.08	269.55	111.5	103.9	323.53	373.93
cds134	188.16	133.81	146.72	84.72	288.43	235.97	208.12	59.92	234.5	213.77	249.03	32.2	221.89	190.6	85.2	75.7	105.95	74.02	181.33	136.96	180.13	161.24	324.85	114.79	237.33	154.46	205.5	130.51	139.25	49.79	133.54	72.34	255.59	92.5	138.28	133.18	310.2	186.06	343.2	186.6	145.11	273.67	301.36	443.55	349.45	283.13	181.67	525.96	186.54	367.12	285.08	121.24	107.49	407.6	431.27
cds135	138.05	105.93	127.1	75.61	176.05	166.74	150.69	57.14	172.37	171.23	184.39	23.03	151.38	119.31	58.39	42.87	59.13	34.19	120.77	114.1	154.67	174.53	262.56	88.37	199.08	110.94	168.06	87.66	119.85	44.56	79.25	45.76	225.93	99.14	119.34	89	256.45	134.34	245.58	127.31	146.2	248.83	227.31	417.51	274.07	233.17	140.7	411.77	147.01	383.23	288.79	114.67	114.97	349.79	371.81
cds136	179.52	110.96	164.83	43.63	183.13	84.97	124.29	34.43	183.97	125.91	146.76	14.3	162.12	140.41	47.54	37.6	42.84	36.68	237.07	114.21	246.37	150.89	318.27	76.39	191.95	159.14	182.69	113.55	118.03	73.98	109.87	75.12	248.07	103.39	122.85	121.76	371.66	273.36	449.63	315.55	296.35	593.68	386.64	720.55	526.85	429.35	260.97	797.04	492.13	848.94	804.48	342.65	325.96	978.99	659.18
cds137	52.99	53.22	64.95	23.76	98.04	65.85	76.62	23.18	101.78	78.44	98.3	9.97	74.31	68.9	30.78	18.72	28.24	27.55	52.45	46.16	87.4	64.95	124.68	38.4	81.85	65.87	84.44	48.92	54.01	22.74	48.05	28.87	111.23	33.24	43.33	47.33	110.3	71.1	117.87	63.8	32.19	94.66	106.83	169.49	131.61	118.01	70.74	176.17	55.68	138.24	108.24	46.4	44.92	120.91	149.77
cds138	39.44	38.9	27.85	11.97	80.64	61.69	50.65	8.98	52.34	47.34	40.54	3.5	33.93	22.93	10.7	15.64	13.14	16.29	30.89	25.52	37.68	48.43	51.56	22.79	53.09	31.61	29.38	12.39	30.6	9.26	19.24	12.67	46.55	20.11	27.67	23.29	48.63	31.61	55.58	22.37	14.22	41.33	49.06	87.64	68.38	50.06	21.68	88.46	23.58	61.35	60.31	19.74	13.23	72.87	90.54
