chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b	invert	module
cds410	3175.99456744111	1541.94050741363	2570.71301244431	2412.48571974098	3067.49154350329	3456.32283804535	2401.87835951453	2592.63000308601	3363.3552308085	2672.21100393051	1957.79967274291	1660.73125946177	1665.07456930784	1942.92773074907	1675.66322383078	1945.04765719938	716.659434247758	860.198464359486	990.442499464871	1569.83031906763	608.198909628214	671.525172986863	1005.93772879793	233.246019905706	559.249797925126	759.848562836056	1366.96955714238	870.173333040907	1754.25576720538	1285.93361864617	1522.65771623931	1782.52608844066	FALSE	orangered3
cds411	3658.39845746662	4132.00919565185	4067.70798278187	3615.19427522038	4005.40466801479	4244.02432294323	3400.97547099211	3785.42125083029	3335.9904999829	3442.72315804177	2390.31819327824	2077.86098588473	2201.07701328829	2927.00162188108	2470.85615522515	2571.46683116407	1479.73470578697	1379.78166401161	1955.45365929662	2436.76532728199	2240.32541897788	2066.97797244632	1497.64903536571	2493.98306784177	2439.90361836591	2084.5291375601	2084.00901101962	2329.12525586699	2345.70202585057	2030.72528191336	2137.84104179122	2161.15969568664	FALSE	orangered3
cds412	1509.99937626417	3784.41219088277	3302.58565883526	4759.26373658565	5410.9191217212	5991.34046080681	2518.68189638894	2447.86957203173	2291.77742424237	3312.38439168136	1676.74233685634	2180.98842005942	1507.06014209495	2419.49917452396	2213.2174653152	2506.84901295337	1553.83312283202	1607.87416770712	2158.26516228296	2184.08192596443	1282.05757059302	972.455670429685	3098.08555226419	836.920317186315	2027.39042469723	1682.32029625322	3469.18865307458	2518.13042644296	1934.2785081399	1651.27863986291	2312.02171625023	3180.28672012208	FALSE	orangered3
cds414	3638.22316322505	3805.08702046568	5138.11943659416	5253.30913505959	5077.64778565603	5331.31223133676	3222.63877228613	3778.14207965777	4932.1098862817	2944.7585159527	4191.42733973085	3848.13088401262	3469.88730888901	4552.95430851079	3925.91749721361	4113.60497384897	1757.73491196233	1847.86335884066	1776.36182771999	2067.13813672964	2309.70925426357	2536.89812791805	2026.69740282324	1177.2689441813	2079.25567080436	2396.56690378672	1704.77731700447	2513.80886130575	1858.67769358978	3087.70627091025	2051.45617666624	2941.33318191116	FALSE	orangered3
cds415	4859.98525534134	6191.29199199977	6230.18442978963	6128.00178793586	4854.91877492933	5782.11674090308	2747.63157018943	3219.3930789175	4654.9020797203	2581.34116516143	4497.61473886171	3683.35704460286	4355.25206566549	4893.46484825407	4065.76305127749	4549.7258485613	1495.67727641365	1592.7079329551	1628.60407833552	2169.24789056077	1330.89702345331	1979.82923560308	1974.73196632482	1343.48492642667	1204.90227261161	1462.34528900556	861.572378036278	1826.05043565924	1973.67348855903	3781.25969631439	1761.21990554235	4101.2731044009	FALSE	orangered3
cds442	658.463971276635	1475.45962538855	869.27158278811	1155.05002578267	726.719997293556	780.177979040539	650.571366048051	500.670711167646	623.920335846899	706.900816001238	662.120634806843	652.913592193692	487.942857995379	493.590351131399	493.519395748037	537.514127838819	385.035229597869	423.73511090463	435.815409944482	348.157452946857	267.668677114255	393.595861487888	500.287153415269	495.954925884905	651.465793980408	542.174216756461	203.383910187233	197.461557498195	552.003601495914	506.360083741368	559.419987257882	654.036347068927	FALSE	orangered3
cds498	1306.60106176284	1656.4398598875	1547.4329392765	1314.97178514986	1425.9183462281	1319.76778859028	1502.82406821619	1359.68416270907	1821.41256133216	1877.44751729498	1176.61958232472	1463.38185976233	1629.95199298069	1072.86208238517	1278.39533332095	1325.7050661385	704.263519056443	897.809939507574	684.661410914813	900.462527471322	594.806246769734	536.511919680229	517.233983217905	310.605949841099	848.531412617627	651.465445991083	995.966952097502	433.639081910993	1734.74734476031	1279.10286910819	1481.45831757924	1127.90882686866	FALSE	orangered3
cds515	1456.63262207901	2308.02395390051	1756.07758875358	1055.76226557018	1356.20683363208	1245.2700006709	1991.35147797139	1498.62653429838	1225.07497780286	1046.86849060194	1182.53347797245	1169.34092149191	1188.6361032041	952.20942850917	1323.34474070191	1213.1135799686	522.666255762009	407.176807084031	195.856054571824	315.299289460118	359.415093123298	474.756236404416	288.01685968138	510.73425766313	498.444467587773	233.381064572626	311.223047367683	271.944466233265	676.517777279561	504.629529446463	379.881443575465	1363.91632070226	FALSE	orangered3
cds528	2422.29081305791	2647.33085025202	3723.56505219822	4084.34606483857	3569.95337483525	3481.40504561236	2798.21799225631	2750.7992039814	2850.99197170235	2427.89504866828	2609.14110104884	2041.20062123183	2292.44021274633	2337.76579201812	2557.6025467244	2521.74705193183	1913.01519698601	2211.94636882443	2048.24486116325	2803.40419302702	1511.4510485483	2230.33040048184	1841.06281321534	1216.83211275221	2194.13679412601	1835.22890775667	3048.72481370662	2810.8652709868	2373.29605988793	2270.57345378671	1982.41615403276	2790.24139433003	FALSE	orangered3
cds556	1923.35933319212	1257.33090004205	1127.82550042756	960.925799797835	1650.19415969577	2227.51872836794	1295.9122594768	1366.41977738498	1284.31281355986	1397.26587617884	841.728395233672	1003.50151392138	1017.51944895347	956.868897262323	685.191582959035	788.954669618481	854.701910747268	576.888289044687	848.203221848109	955.790838802978	526.423951527795	1190.71164473076	953.033257465207	565.804908151481	705.465069792562	634.623123415835	1711.63820111853	603.082914926844	1480.82208471746	1557.69344741869	1660.36222806508	1191.9194297162	FALSE	orangered3
cds565	911.398608795981	1373.39108539595	1016.50284573735	1132.2328708359	890.726190822925	914.638989012583	491.548120360172	381.297807799113	434.542824779313	452.197547613266	397.739882644328	432.405485778357	366.459492660256	361.75210866687	375.79770060762	417.268045763838	226.619360036013	271.035482026201	239.690824235865	250.738753941451	255.606695253586	305.493024492174	288.404047555097	419.333008464357	337.245138259198	283.791728715456	208.29966253518	328.722447056326	581.678666056235	608.754808676782	566.236287562498	404.610232438874	FALSE	orangered3
cds574	430.388752247219	283.395135379226	674.574799259016	745.60409538028	753.306609705194	728.065081788481	274.407365210392	259.222558028782	455.904480011168	466.383437199835	301.216399942115	355.725754964119	320.516810455516	361.074426833439	421.291319482998	324.133440898094	256.837329718914	186.150901913153	186.04414964041	268.014897952118	364.894321190154	389.70266805082	143.081962736008	348.656435871282	244.647519616136	211.985138004503	220.425864741148	152.159166115912	277.608517058826	354.500272712209	328.61514048912	357.151605605011	FALSE	orangered3
cds593	2093.53495772781	1033.60654060396	1108.54607776026	1024.16511506582	1875.80636216777	1990.96998191499	2552.57923822615	1610.71782793661	1991.40195923863	3340.74020430578	1022.98688178031	929.184762228198	624.236741512018	1008.67077221129	1499.33552683372	865.717866542075	364.2694821244	423.148633341123	652.460749491151	483.168195071725	204.14135788751	54.6072141640992	502.630372929128	0	452.19042028269	423.829359494618	0	89.814386281104	1577.44683251154	454.335586684189	859.262144464611	1483.31716660834	FALSE	orangered3
cds609	1206.86130828199	1007.20988033316	957.438212367391	694.575758582438	664.667202140467	631.058588214125	691.753806159011	748.945391191206	724.456913160554	564.801164126947	627.452502428102	658.19407239502	685.134165131408	715.231466631851	564.637186717977	529.341928031911	269.568233116348	298.827178440537	297.151864165912	302.320883180086	364.23379934608	297.230360110058	424.550890159575	298.770059040643	501.310635236077	426.802032732112	269.838491203786	215.662793892494	526.150226434305	587.942903489311	564.399456307049	527.778035150804	FALSE	orangered3
cds611	5049.65055988202	2414.07532808074	1714.22899138193	2461.99978565468	2833.38258127752	3329.41485733579	3367.58751305449	3137.97324030858	3841.41396527235	2519.3048018621	1630.8623625824	2214.00261612776	2095.36639170581	2757.19306835299	1949.61101592084	1989.13652945796	1130.53649093456	774.977824320741	923.515578910058	1535.89096476124	1062.61899742861	696.492878603289	860.613436484251	590.782482564076	2648.81727692692	631.963874519082	1490.73010388689	1066.88264103666	1779.84596168653	1896.89873198551	1224.15674792377	2045.46491342109	FALSE	orangered3
cds654	1715.52509114582	1975.02024105902	1097.04213108858	1669.80689370394	1177.23272685533	1527.00153295964	920.338082169807	1195.36811701583	993.868050533651	938.941963612966	1318.19551086718	1223.66923756023	1471.09439576665	1165.56368205032	1155.07149669121	1138.74342766726	628.196540262751	653.616063927544	919.570788740506	745.503389424852	752.22199387295	642.946756842351	1024.89362608199	882.007232585979	716.428712499083	931.091045985425	512.259934989618	518.106639626728	975.686194147203	1255.69106998488	1113.80614556764	982.514666161409	FALSE	orangered3
cds678	552.758734514124	1442.8495946159	1626.21825329482	1264.36631751301	1333.72144115476	1196.93619084202	884.326035613353	1259.98296161252	956.848126346737	977.729553884221	1046.45994670365	961.43752771961	953.797726631538	1083.23634571079	965.370283152223	923.720317993758	339.275387745786	391.339605355385	602.723274618145	557.308010678174	443.852937041239	413.447745087484	559.979064157535	398.824584409664	562.361911130434	471.927604429083	417.996939495375	782.056813627589	907.078504855695	804.764712919207	957.708516422914	853.210830570024	FALSE	orangered3
cds679	1977.57736838737	2223.16643820186	2271.87506566176	2317.96247602661	2082.96554429128	2100.12266028398	1178.70724374009	1125.72346091678	1763.61646688509	1013.12818187326	1662.24344723764	1858.06819160093	1562.8425170951	1771.09303567048	1462.58063687589	1643.96033396114	1142.29996502541	1143.56182463145	1500.50204270725	1432.68947692132	841.663922751045	1073.7650815553	1245.59023722353	779.369708700552	1262.62214195828	1191.70833864319	1281.80008202946	1788.60000007761	1318.64073014678	2018.7049951781	1508.49271949382	1719.90122868151	FALSE	orangered3
cds692	1123.36882623838	2357.89774892696	1744.42520809172	1481.91395688463	1491.35771977415	1443.35963422239	1070.2202848373	1140.89705486746	1427.82052242281	1324.22868306524	1227.20004497499	1302.3861374922	1324.11553284451	1290.04989141349	1254.46542991629	1110.46171078701	584.716036527928	580.37783119855	616.276961891108	774.952808781707	515.630453574273	633.211802871507	795.986686616607	618.807828862995	622.767011371903	625.604330737769	492.646973795923	937.67565180191	1168.4809292107	1592.84284106574	498.305044791855	1433.60134308764	FALSE	orangered3
cds705	4787.31742382051	4039.52609099408	2980.7341516814	2917.40674161317	3441.88615054059	3187.0665993652	3154.58713798283	3859.99980645304	3751.03118981254	3312.17151487519	3227.86330114749	2993.77597759321	4443.69554142403	3484.21746872253	3350.11859957204	3203.37360878105	1493.83747632106	962.218476019595	2482.02696854546	2122.16552499433	2147.66611126624	1516.83061886317	1710.82340106873	698.594696874444	1392.06743718425	2156.9611935752	2632.30622739778	1449.92020815838	3461.53422220519	3448.86589702021	2042.25651449379	4237.98585712248	FALSE	orangered3
cds717	438.501757036969	956.599761087823	520.281001040875	480.646684696542	437.643215922562	449.799429920928	399.080876971726	424.321695660797	278.617980214887	272.637456281129	444.668633417538	356.987283054645	450.832666025997	565.269450757647	452.171175418841	401.385557379431	185.588486594164	290.671250564427	341.558752425589	324.124001392427	310.81026437476	299.491374329477	377.035371487386	252.14670587825	428.916226567568	351.080677712956	127.528764632617	371.445732363908	465.515386567822	638.935097291816	426.705844198218	598.717347924107	FALSE	orangered3
cds73	1942.88186524451	2377.4793825165	2283.92578948578	2340.10397259768	2497.56310622801	2582.69004608861	1771.04262600038	1667.5745386268	2019.15811402828	1774.15270024943	1506.86872512236	1440.20463426403	1957.65125437355	1518.52303809865	1643.14564726558	1439.02163547721	1266.04581483647	1402.30733702494	1696.81523139038	1842.2201472323	1479.44861411976	1346.82497549209	1549.55661708269	797.488320025455	1396.73005073598	1565.73925054729	1924.07577079064	1892.39129230974	1560.26509891755	1889.30271763096	1409.4406254184	1631.11427931605	FALSE	orangered3
cds740	1411.15114469518	1304.42360170932	955.299212561103	1155.2887299008	1083.36331100643	1087.08071725845	1179.6595325328	801.961717412494	720.581547311222	1038.86863102587	563.104405518238	872.796793661601	737.329661745098	770.086511318371	664.65990162797	770.726014245814	626.073878402555	511.785845611571	411.737491377607	501.466560602946	264.609623087676	347.92886835064	378.620954540432	251.972216522851	255.313490519465	288.562659244042	545.84735763989	524.187607130797	1062.56709893536	664.998506498769	1112.96122349473	1034.48644048493	FALSE	orangered3
cds748	932.158267881285	963.166951869104	1409.46950978602	1181.19268154632	1137.93429080803	1137.91424297394	711.524054865263	676.641414504574	922.799955293861	711.613145139655	1002.26868863125	968.509552683307	642.693965453265	807.360974903092	698.318886278539	628.323010208094	414.438932724658	464.073842282529	509.996654215837	544.951365150784	650.167145676462	447.869367177065	533.066987135808	647.014852858102	626.076180981138	529.12213499556	805.967066292849	444.650137200259	685.757610220727	625.588442295521	914.670574271676	594.52465758909	FALSE	orangered3
