gutzwiller_wmel_embryo0to2hr_a	gutzwiller_wmel_embryo0to2hr_b	gutzwiller_wmel_embryo2to4hr_a	gutzwiller_wmel_embryo2to4hr_b	gutzwiller_wmel_embryo10to12hr_a	gutzwiller_wmel_embryo10to12hr_b	gutzwiller_wmel_embryo12to14hr_a	gutzwiller_wmel_embryo12to14hr_b	gutzwiller_wmel_embryo18to20hr_a	gutzwiller_wmel_embryo18to20hr_b	gutzwiller_wmel_embryo22to24hr_a	gutzwiller_wmel_embryo22to24hr_b	gutzwiller_wmel_L1_a	gutzwiller_wmel_L1_b	gutzwiller_wmel_L2_a	gutzwiller_wmel_L2_b	gutzwiller_wmel_L3_12hrpostmolt_a	gutzwiller_wmel_L3_12hrpostmolt_b	gutzwiller_wmel_L3_darkbluegutPS_1to2_a	gutzwiller_wmel_L3_darkbluegutPS_1to2_b	gutzwiller_wmel_L3_lightbluegutPS_3to6_a	gutzwiller_wmel_L3_lightbluegutPS_3to6_b	gutzwiller_wmel_L3_cleargutPS_7to9_a	gutzwiller_wmel_L3_cleargutPS_7to9_b	gutzwiller_wmel_WPP_a	gutzwiller_wmel_WPP_b	gutzwiller_wmel_pupae_12hrpostWPP_a	gutzwiller_wmel_pupae_12hrpostWPP_b	gutzwiller_wmel_pupae_24hrpostWPP_a	gutzwiller_wmel_pupae_24hrpostWPP_b	gutzwiller_wmel_pupae_2dayspostWPP_a	gutzwiller_wmel_pupae_2dayspostWPP_b	gutzwiller_wmel_pupae_3dayspostWPP_a	gutzwiller_wmel_pupae_3dayspostWPP_b	gutzwiller_wmel_pupae_4dayspostWPP_a	gutzwiller_wmel_pupae_4dayspostWPP_b	gutzwiller_wmel_adultfemale_1dayposteclosion_a	gutzwiller_wmel_adultfemale_1dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_a	gutzwiller_wmel_adultfemale_5dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_c	gutzwiller_wmel_adultfemale_5dayposteclosion_d	gutzwiller_wmel_adultfemale_5dayposteclosion_f	gutzwiller_wmel_adultfemale_30dayposteclosion_a	gutzwiller_wmel_adultfemale_30dayposteclosion_b	gutzwiller_wmel_adultmale_1dayposteclosion_a	gutzwiller_wmel_adultmale_1dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_a	gutzwiller_wmel_adultmale_5dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_c	gutzwiller_wmel_adultmale_5dayposteclosion_d	gutzwiller_wmel_adultmale_5dayposteclosion_i	gutzwiller_wmel_adultmale_5dayposteclosion_j	gutzwiller_wmel_adultmale_30dayposteclosion_a	gutzwiller_wmel_adultmale_30dayposteclosion_b
cds0	920.08815530701	943.993644820137	800.278946143095	760.09786913492	1124.33091797308	1281.45836291598	1131.82595788691	976.161560047901	1069.53039078633	985.934728031028	781.804719013314	749.490780323228	724.550494644546	768.109131689911	729.153247025686	935.586382489988	1167.68578546487	1059.7294522955	810.951767109252	877.932180122396	784.872664725763	733.037729435047	758.547794571099	802.599107338499	863.074881391752	786.791698272197	745.350822372743	719.672931575658	792.485529416559	705.516736439531	784.435121259629	714.457901984561	726.575265829828	818.207305617074	825.209757563649	663.381646427653	821.870143934501	861.377749284729	901.997059728344	766.199191672613	835.389188393188	711.770391185265	993.603489150688	893.478225432776	1053.26965159439	934.003675625086	769.374728182031	896.223161917447	705.154445563153	846.026545637923	745.054631951633	1040.47115111365	921.140678255871	977.401455836785	1036.77796964311
cds1	247.805739397072	209.403833678867	153.191671250292	166.612708366694	142.570270639977	134.301606519091	159.809423435657	192.846478343971	183.391176135055	102.190684427025	184.896877930461	200.900426240338	207.642504122886	247.444515989493	190.625160787226	182.377670693203	242.24945114032	164.468285197911	203.966560760894	207.908754087296	176.282046046951	176.838870264047	183.219185862339	193.672028528797	160.47319938658	212.719984258671	113.893920481243	207.704977440848	167.465277808938	155.307590890798	131.957446934902	181.107542877116	149.665372385455	94.9376332037571	112.554783695014	128.562840799487	137.930499518419	164.268674329499	141.504351567495	157.767732918167	201.852189781756	172.79329270257	199.13842536062	139.976952305368	100.974836173962	139.807468478344	199.660174915878	121.294870744961	168.426915973866	151.538524582012	172.547035526984	186.214464665657	149.172978965832	110.978676197759	131.074178727509
cds10	5348.55590578509	5027.12708351663	5682.82267495859	5701.30096054785	4437.46457794203	4627.48430271842	5616.99195498316	5260.38670870526	5773.05088554406	5958.96890716968	5685.00353702549	6458.34600234815	6186.56104178435	6044.42535985294	4448.31508743856	4651.41452692492	5803.71930096174	6425.81293891009	6942.5143691527	6431.16780538262	5650.47108987372	5265.67302773502	6046.20638613079	5996.40974374668	5762.38281412418	6234.47500756526	5365.47960204313	6118.02237900461	5661.78211910905	6076.92718557212	5015.14253758354	5368.60644385785	4829.76339132476	5174.14225097453	4958.02624785219	6237.67615874935	5289.88332630311	5797.85911003333	5784.46925450621	5466.87054271277	5779.38858141094	5276.3513553987	5728.7894574468	5264.29104322073	5299.87472316679	5139.21282315549	5533.37992523408	5139.60059535254	5440.92018166072	5671.30850480474	5299.36451117793	4943.1721061681	4866.45713228797	4661.58635643323	5036.87959753987
cds100	0	0	0	0	0	0	0	0	0	0	2.26745502022735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.48980784198878	0	0	0	0
cds1000	93.0907523584925	106.166279312712	75.8981384518003	146.987844767946	97.6695045411644	125.767906828748	60.7786657587951	128.354760103974	95.9834467151777	58.1590194897185	86.6721096511741	117.191915306864	70.1261534853028	40.1800006478133	90.4449951975278	82.6194673388931	256.985252926634	17.1464017095404	44.3257320276099	81.8719996683195	96.2207904843645	81.7401011521611	74.4467251557437	29.9759717717288	139.022347031801	137.405464377883	34.2346892549253	93.6813686911044	21.1588541706037	52.8477219003411	68.8220276765704	244.692684836868	170.514123847271	92.1057258130861	27.939130704436	60.274013045882	98.9264167289501	86.4068816980758	111.530523402952	22.489413404916	82.964917922989	39.5038761652578	113.081693366971	112.048671208868	147.378470932316	93.9715280596611	91.6010128600223	92.3432162310611	118.57518544187	132.207589494158	37.1542561929527	28.0714038630091	11.6475210720056	169.849678472729	76.4317455537525
cds1002	1261.55037115886	1652.31310732443	1178.92636406071	1342.15714340188	1296.19337566309	1672.01568706469	1372.97993326128	1142.93924259882	1126.73029000022	1326.41852599203	1072.71434845828	1498.41543207715	975.599951844539	1225.45825691194	995.63267674197	1395.88092423549	1224.86479087747	968.249849580481	1006.93130691483	1113.31197812071	899.231417380041	1245.39790434605	1150.6002062342	920.258563507013	997.06766495967	1427.97256305708	1015.44225102271	1005.36877094474	871.432566312785	1081.39816127669	997.960105605225	1187.50907414951	1158.96182880028	1074.79410865841	1040.00889902197	1121.53062069841	1041.62787267369	1211.18017904703	1100.70267044168	1145.60005193097	1140.27429631025	1191.06396814478	994.949385165821	1044.61329459206	1030.05386526836	930.15577591641	1097.23121490201	1031.16566829614	933.930914097956	1050.85040722776	1042.26433954546	1190.58257712108	902.454787536624	905.001941342772	1083.9021179202
cds1003	2398.80773705466	2099.61005741871	1914.93728334164	2195.79201710909	2449.42098327625	2030.4478617192	1934.28150688963	2090.41603463411	2173.41792411739	1989.42017541243	2050.34773825672	2941.19040684254	1988.28751224127	2044.88175296918	1948.99138032569	1803.62327418723	2180.55592075493	1965.91441493356	1969.50017762143	2180.54019535718	1892.43004317187	2149.03896769649	1954.98002709427	1784.70023509662	1959.77789780692	1896.63672516828	2010.96711806799	1872.39515372868	2177.21168951419	1695.89102437296	1842.44421912458	1748.08411418071	1976.13571498034	1631.77514805752	1917.09285784527	1851.67966327467	1971.5453232785	1822.9816297542	2109.63895385644	1918.44460040485	1730.38477337163	1818.69549128832	1882.77206428244	1937.92648864788	1579.63705195746	1969.57722787228	1862.87013050392	1820.58658387523	1633.19471817205	1668.10060902067	1759.7882554365	1667.12918067832	1768.37261941244	1564.07482986925	1640.11761031375
cds1004	200.39494423811	84.6183139712636	304.113593659273	0	137.533439542279	211.25109826385	248.155931447552	0	256.034545763113	150.74966263906	197.882965410485	124.828481216584	106.325575727781	216.781677179334	33.841141743764	8.5956606166535	75.7586583772157	0	80.4637655784598	386.904372042652	204.818832566281	226.512268275492	68.6045459676629	229.194272206806	237.396614769085	212.612102949137	135.360014457569	168.139273568715	312.161153810521	0	235.523097404107	181.403749811392	135.483574509904	311.191458540521	117.402117837907	80.1652947338545	314.920327160414	179.625683297097	304.776721957057	193.977108884086	119.378575343174	262.851588183361	329.179355758038	153.865878645671	308.298774315779	206.997414841364	165.261188861352	173.942900379838	201.289343262428	203.807545596043	171.98919475641	269.249086315515	120.320564566795	139.900884700604	319.509756003392
cds1005	404.289250972421	318.15780295149	348.521462702736	302.944349779544	359.933697653355	240.929491486168	336.236021352847	432.909719812928	329.78215075064	337.280095985086	276.026965273938	378.757140725606	360.798527716643	382.059098555292	315.777461542478	280.092706090075	342.066185638569	315.871925029366	426.261630211769	439.449810676186	424.874667952212	382.002883369282	364.822599297942	365.812025374331	446.309982970444	361.556436977161	275.789152309585	356.406467307167	320.493620016331	294.892502665751	386.295170501053	301.645870851315	308.492781400957	409.865514177323	343.646754845871	335.901729265048	304.936076726907	403.4560366397	388.485621132705	309.417558688283	351.542463406525	371.85538314045	434.677263494934	388.127805139292	329.817127105594	332.954500511011	461.21749463486	330.938578062168	359.180531546147	334.223901868681	392.597852943907	321.874401640328	330.994124566791	386.054160171417	411.702899002279
cds1006	130.25820412324	190.830248212069	65.4644873004154	23.7999693294892	150.4524032097	112.125774869905	130.001645152829	0	76.7997266476808	51.5468549518951	132.890469592441	37.7192567338787	158.136577937805	147.639718043013	0	120.422098374032	174.336189759617	0	86.946628208004	83.6086363488795	145.567897639388	98.4426567610847	152.84646883213	148.188990790468	100.690525327775	102.541880609333	159.27085207584	65.7865721617394	38.714754859948	93.4418412061354	146.928462217608	149.279384062698	138.68057751663	74.7561937524481	54.5678632820289	120.116235701986	32.8884855818985	118.161023098322	96.9425325030323	79.596266046122	176.486775306904	152.991212248701	128.561284449991	147.086892052387	124.959722577532	143.857304463376	84.6581156281373	56.8941595148789	71.0984977899731	96.0835442897918	196.308282703058	215.608674249016	183.151846955365	118.117593156506	73.3332632754772
