luck_wdi_adultfemale_bodywall_a	luck_wdi_adultfemale_bodywall_b	luck_wdi_adultfemale_head_a	luck_wdi_adultfemale_head_b	luck_wdi_adultfemale_intestine_a	luck_wdi_adultfemale_intestine_b	luck_wdi_adultfemale_uterus_a	luck_wdi_adultfemale_uterus_b	luck_wdi_adultmale_bodywall_a	luck_wdi_adultmale_bodywall_b	luck_wdi_adultmale_intestine_a	luck_wdi_adultmale_testis_a
fig|82301.12.peg.1	1504.86517112338	1153.97780043199	1991.7220995092	921.004761994678	21822.4277600733	0	1784.41230871903	0	1416.316376338	1649.97151501998	0	0
fig|82301.12.peg.10	566.964316000785	706.494775174515	358.14054926485	1062.66434204329	0	0	522.888241597768	2733.07035951223	679.810455356956	819.24154840398	0	0
fig|82301.12.peg.100	468.926736358982	359.587725313183	0	1657.37685060824	0	0	1729.88859928595	0	1106.45903741932	1500.50630691418	0	0
fig|82301.12.peg.101	0	0	259.692781841362	0	0	0	0	0	952.1287578979	303.39307626026	0	0
fig|82301.12.peg.102	1212.68967755724	2347.89632410372	1424.35241548445	1369.73293438697	0	0	1187.79516656853	0	964.39260056229	997.534532035021	14830.8016997945	0
fig|82301.12.peg.103	1017.17335094556	1366.96547234594	676.516694232269	1075.70420727633	0	0	900.290344443411	1235.09269519221	647.921491849672	629.261760264422	0	0
fig|82301.12.peg.104	867.733586907276	901.321756345753	549.238098417758	391.46199190237	0	0	485.015495126902	5070.2286575998	730.24803991929	679.954921986838	0	0
fig|82301.12.peg.105	1604.50901428222	2241.21880986131	2335.07638120682	686.177546576526	0	0	2614.44120798884	5466.14071902447	1289.51366172528	1643.50398474506	0	0
fig|82301.12.peg.106	3253.13448857285	2962.34406990829	2416.72878124278	2110.15549057315	0	0	4753.89233391559	0	2136.2342318948	4038.99559698935	0	0
fig|82301.12.peg.107	802.111522719312	1224.49083304015	935.40656617201	1498.77619504764	0	0	1138.08460479339	2379.44941387359	468.779217788885	876.436729082229	0	0
fig|82301.12.peg.108	6188.0799227933	9028.00434842368	5852.6339304516	10149.8490562312	0	0	8898.41761726156	12979.7853634555	3614.63895963943	3953.46697410916	34559.0020917331	0
fig|82301.12.peg.109	2775.82753791043	4136.41203788832	1203.04132338152	2560.66846571577	0	0	3800.71151143409	2108.89977206289	1349.74855375728	838.771289869728	0	0
fig|82301.12.peg.11	378.783538495799	1022.20665991942	435.594721127436	986.916959585486	0	0	0	0	630.511472295796	909.560660372871	0	0
fig|82301.12.peg.110	2304.43996153557	1840.17591493603	872.650189139941	2631.81983781048	0	0	2577.44248443875	0	935.075475176817	468.734276550243	0	53555.8584601547
fig|82301.12.peg.111	1614.34717886468	1218.06292538519	1387.18577751758	1537.17215955948	0	0	548.577285539328	2172.23009554826	599.227787413864	1138.64423719827	11104.544215662	0
fig|82301.12.peg.112	400.590679301643	234.906554224692	436.627520558236	353.331443711212	0	0	86.9290753410025	0	372.201592998122	598.210343204118	0	0
fig|82301.12.peg.113	446.596891770459	0	0	363.52277242778	0	0	1647.5129517009	0	126.74215777999	168.744339558087	0	0
fig|82301.12.peg.114	1323.07930774835	465.530775566744	1637.55380320254	788.455588754651	0	0	1116.05716082964	0	572.383938361247	733.493540498461	0	0
fig|82301.12.peg.115	202.779129236317	639.094292340402	191.283620210358	962.120157011562	0	0	0	0	651.93425591048	1017.59677740266	0	0
fig|82301.12.peg.116	1261.70001880752	1379.6427012016	1741.00160887525	1576.8141910796	0	0	1251.16840732029	0	1241.55583131419	887.715757746653	0	0
fig|82301.12.peg.117	1604.60867597839	915.824987907012	1934.01803434995	1871.6116423772	0	0	2005.58959479715	0	1764.4884778433	1835.83624496765	0	0
fig|82301.12.peg.118	1672.22408400303	1504.90698408705	2025.71496347909	1156.81986300925	0	0	889.402878810257	1859.51830801432	891.039725184364	843.775921549935	0	0
fig|82301.12.peg.119	538.82786955477	293.531032819318	536.433873073554	551.179912657902	12930.4368221826	0	352.439103419888	0	619.207526702377	695.640661272463	6278.12092328598	0
fig|82301.12.peg.12	551.569270093536	416.97935038297	375.397486622166	707.704390574749	0	0	1027.65659363522	0	429.166514462938	469.706552104077	0	0
fig|82301.12.peg.120	759.392171728365	1063.046096555	1272.20799439812	908.236748958637	0	0	916.497271144874	0	854.796115782398	769.546826676741	0	0
fig|82301.12.peg.121	1160.28860862654	1046.94835117206	140.948498694568	799.095744125633	0	0	771.697516410089	5378.08640756559	1037.49528413211	910.607813795571	0	0
fig|82301.12.peg.122	28994.1751957385	9160.96068859729	41472.1340865134	16063.2488013964	0	0	34383.7651486939	6413.22943054754	17780.487454331	18820.9738469869	0	0
fig|82301.12.peg.123	14912.3132965965	3840.73667427422	12094.035988106	5855.98577995866	0	0	14233.5778796051	0	2162.80003417949	2691.20647683408	0	0
fig|82301.12.peg.124	12414.1062635544	4076.51079713385	10831.8295118203	3348.36827253815	0	0	14947.0571883811	2142.2091465476	5463.09997450011	5787.04173241753	0	0
fig|82301.12.peg.125	2130.55843258755	859.883690966306	851.717051169567	1091.81610712005	0	0	1504.25095590083	786.252849801708	2199.52749034275	1196.45697823897	0	55011.1807009198
fig|82301.12.peg.126	606.255280578399	2136.9784818612	846.32022653658	1122.85487930818	0	0	605.461009750082	6458.5055519426	2726.76699452379	1769.83809263072	0	0
fig|82301.12.peg.127	481.626835468705	187.285273600616	329.124532542003	479.216286350108	0	0	746.014458442066	0	854.71742652881	648.858239267548	0	0
fig|82301.12.peg.128	769.520798127561	191.780120167031	1490.68095969794	278.161149752431	0	0	0	0	627.861150848567	1232.32044129199	0	0
fig|82301.12.peg.129	1407.05205066324	1542.57922743046	895.676640907351	1642.09142510855	0	0	601.70038236033	4193.34853227578	1154.56595208972	1185.06214987479	0	0
fig|82301.12.peg.13	900.696045114242	1630.28298664969	1342.95327484397	1155.69859630368	0	0	1480.41179653631	1719.53872064399	672.115068721717	758.67261183151	0	0
fig|82301.12.peg.130	612.34419180898	1127.94390263187	1237.77968527137	1391.76162900185	0	0	951.141497889182	0	668.989533849021	989.415908491363	0	0
fig|82301.12.peg.131	455.637314680793	323.192206556788	447.715963296005	455.468549302226	0	0	560.287805436745	1464.27656238375	539.090327788088	717.334236987821	0	0
fig|82301.12.peg.132	0	110.642377019441	0	0	0	0	0	0	834.548361997475	306.660386312293	0	0
fig|82301.12.peg.133	3723.48365606391	2993.44970047575	3682.65847752225	2159.0990266185	0	0	3828.48338177737	3167.96768679228	1857.28143035846	1829.36723883329	0	0
fig|82301.12.peg.134	5123.02459472188	7856.99179809304	4778.88821250989	8795.39760493234	0	0	7395.27376194743	0	5180.5856992571	7675.56039837558	0	0
fig|82301.12.peg.135	153.466931899303	503.422815438456	703.728091398902	456.577644795657	0	0	0	0	200.483049579257	1006.71338940904	0	0
fig|82301.12.peg.136	574.614819170744	325.438694068998	573.843386278924	403.546700844337	0	0	605.650275461164	0	488.886380163166	266.547746429966	0	0
fig|82301.12.peg.137	437.745215250644	276.961020780372	880.955257116794	360.526368249942	0	0	1065.91338595283	0	359.043124247603	674.665971854795	0	0
fig|82301.12.peg.138	589.847945531755	1267.13603508838	565.359095493472	688.342946722387	0	0	1053.73924829601	0	596.974863979965	400.513512157025	0	0
fig|82301.12.peg.139	645.813024251358	699.754678963881	934.547027086357	563.690374967128	0	0	1275.88408082356	0	544.509979120617	517.246790836875	0	21354.551158163
fig|82301.12.peg.14	363.562951152396	489.512837586834	455.085773391412	387.734003210007	0	0	142.377662492671	0	626.513086112446	839.880680802039	7608.66918480543	0
fig|82301.12.peg.140	2399.67491839049	2588.08844133606	1831.52946423899	1350.27224788748	0	0	2196.10775620826	2371.64794038548	1620.13876968074	1296.18474760961	0	0
fig|82301.12.peg.141	1179.59136067391	926.860962621091	852.864564326505	1050.97853664085	0	0	662.229430371041	863.189286178486	727.784323672212	594.657670354984	0	0
fig|82301.12.peg.142	0	358.408749164615	0	329.334694606703	0	0	567.17658992982	0	780.399253478104	726.153920229475	0	0
fig|82301.12.peg.143	26.1726550525944	0	0	0	0	0	0	0	530.548567451122	484.158904487885	0	0
fig|82301.12.peg.144	1527.738775679	1365.4204330202	1459.6441240398	1414.74763176119	0	0	1809.94380609395	0	598.26378702587	623.878720197154	0	101831.561860858
fig|82301.12.peg.145	1859.59657903341	2476.08136743261	2678.87177800078	2314.5965610279	0	0	1044.3008476671	0	547.712735829602	929.387919253208	0	0
fig|82301.12.peg.146	581.614556724319	530.740332555271	898.076243835544	746.474954561003	0	0	715.199420893416	0	556.879496354252	762.86503508552	0	26155.186689843
fig|82301.12.peg.147	2937.05002132316	2116.06499138035	1686.61682156756	2718.14807980697	0	0	2693.94751262467	2574.20861856787	2182.31052029432	2114.67133534727	13159.4776648236	0
fig|82301.12.peg.148	464.251220512588	506.164540030286	715.310186385717	818.894098407695	0	0	564.116164928439	0	303.735165213513	597.533108552465	0	0
fig|82301.12.peg.149	1374.11340272385	377.095741901465	979.829619576733	565.814273820176	0	0	834.493077108728	5418.37169900802	1481.03195608079	1476.51297113326	0	0
fig|82301.12.peg.15	803.166145798997	696.998234087226	801.729962618618	353.99852636139	0	0	609.652369792405	0	320.931243576821	585.401618510986	0	0
fig|82301.12.peg.150	4150.67151211465	5689.70520795544	4856.74967335126	3943.26544196661	0	0	5871.73615986202	0	2604.0081617026	4401.06330609937	0	0
fig|82301.12.peg.151	229.678401481951	206.652864179984	603.547224410087	236.153139381656	0	0	0	0	653.058367271264	611.095572542502	0	0
fig|82301.12.peg.152	751.300800939873	810.316545726097	1414.74425928503	987.843214769827	0	0	377.430239844207	0	655.000719881177	629.270996245534	0	0
fig|82301.12.peg.153	845.448288230126	785.59964431421	872.818886467663	834.548424998885	0	0	523.694376237933	0	1000.15283134472	342.226114367433	0	0
fig|82301.12.peg.154	9365.59881721112	25116.5826342891	15547.3889524118	17096.7860702241	0	0	18992.9837935395	997.727754231133	18817.2770530182	14980.2423769546	0	0
fig|82301.12.peg.155	565.539782543496	863.010540751638	565.234172068116	1205.36498226053	0	0	695.43260272802	0	420.350875049214	805.7754204275	0	0
fig|82301.12.peg.156	571.238024291851	621.106070995497	560.110113562391	36.5262115836526	0	0	691.95543971438	0	2011.74370439876	1434.56657990789	0	0
fig|82301.12.peg.157	647.026039395919	569.64392128821	436.71240943712	472.59854750017	0	0	274.041758302725	0	707.748287009055	385.062887719309	7322.40242339691	0
fig|82301.12.peg.158	259.01591881739	325.739306520756	486.483175557598	291.284978451913	0	0	0	0	393.790363643238	574.973520634634	0	0
fig|82301.12.peg.159	479.394804733283	671.339634776047	712.528372956538	457.160067303825	0	0	137.130121310139	0	765.996111667131	832.430433611579	0	0
fig|82301.12.peg.16	102.311287932869	1065.68725865543	718.089889182553	0	0	0	0	0	808.845406923211	251.678347352261	0	0
