darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds59	6402.5856262138	5199.84426731377	5111.88981859953	2701.27993146957	3556.64471347862	2253.67642767864
cds590	2733.10387879518	1809.89926288389	2755.43199695883	6958.90970075515	7119.1019137486	4882.96473042833
cds594	75.6973871489364	163.656569847304	241.091598054326	547.480193225019	451.642405398557	444.374405624841
cds595	178.018468476394	34.6956980537384	394.774907602913	638.103311794445	572.46311397482	456.004988796083
cds597	115.735933849646	130.766141809046	246.723058439315	420.15092353034	364.562527799889	326.606668096784
cds598	110.022725484257	245.12115907226	170.976940059452	422.135800472961	529.083887713277	484.16647844036
cds610	2268.89978254638	2613.37839989797	2021.4462167684	500.029240893251	535.713118004854	1267.86479365002
cds614	3508.62388874254	4622.68763849857	4000.28139251043	2170.44472299007	1493.72933460406	3069.01769115902
cds616	646.716443766089	941.223900156987	558.501966648983	375.964211077418	277.363207728643	265.763339938941
cds617	300.591454403935	270.866645805685	656.755664678438	147.73637961893	97.3142654185901	78.3294097443076
cds619	1635.70223413216	930.393893959663	1311.13661517369	797.462685776219	308.675111967368	648.861819005749
cds620	3044.49833085133	3760.76353724857	3679.11714204985	1728.77277184964	1450.65111017682	1497.31877824874
cds628	1225.27425725458	495.655645548377	1041.99797980453	192.094521124983	277.363918085783	248.394649135841
cds629	728.04871958102	460.752133124897	912.982174082007	106.27220600282	155.163682663061	215.525747131776
cds630	538.611934846087	345.346944211969	719.479520293795	352.610399552616	238.841769145853	121.090675705087
cds631	1837.71510525608	1038.66278480384	1957.24120043088	833.256314389824	617.842646838283	516.314553827687
cds632	2082.91557531397	2034.36051016629	2056.4046272916	1355.12686082209	1076.71765056438	1030.17707934631
cds634	2522.29308896336	2148.70015499633	2092.74921634508	1281.66339723541	1204.71498532628	764.305930935845
cds636	1227.86582437644	871.361300706192	1434.34255664489	585.730299042297	527.633200062258	557.699122510797
cds637	1426.04825159054	786.656160174101	1522.93350893198	385.392521356853	218.818560591263	433.714749717798
cds638	2250.03077010648	2030.6186851868	2240.10311203142	338.681215366562	441.466564478124	284.31435853633
cds640	1620.42453110262	312.338248292708	1163.17293158755	186.872167619128	265.922956002841	325.912591359808
cds656	81.41971016374	89.9983605723068	119.275492456433	205.682933179447	267.542473574266	205.408914670473
cds667	166.460748233693	22.0776230221801	167.55315203402	272.940732743832	469.475443957678	319.227129520003
cds671	150.596260174279	151.012712640827	254.667909505465	387.446795021961	511.158545115198	334.536743294934
cds680	20116.5251018464	16678.062454221	17041.1326754318	27009.5618256393	29542.7629028324	27764.886065282
cds681	2663.10744196943	2893.25612958813	2503.99488619073	1225.84079519722	970.765111801821	1176.63397224541
cds690	476.567969029552	138.184730182354	573.240746146599	1227.41202624622	991.32155508675	1274.86014583525
cds714	1266.04896290252	1059.57437919572	886.308937545709	656.220818306974	326.773513077874	415.261943824427
cds721	168.157931256926	314.907564538592	198.247738103739	20.8222283442531	50.752922751353	30.3677815003529
cds722	48.9908177530573	38.5560509845596	82.8605504521508	128.877319295271	149.647819241526	168.495156163421
cds728	142.396135605131	34.1535777716487	129.897269879492	209.479272374196	247.316354248513	369.537941132419
cds734	1552.07515118396	1624.77462897375	1996.56903615106	733.769400732159	703.156405667886	1245.79875400746
cds735	939.249297826714	636.723464895606	1134.85346343739	485.686426435072	261.521334233922	296.11899811735
cds736	557.694685686911	411.906389572413	471.814175895787	258.385845338478	41.7826387301836	96.1706602573607
cds768	97.8762233849909	29.8501401044826	109.514563400038	199.095412641726	187.448447864084	243.514238629154
cds773	718.527702702125	682.207919405633	1270.9351729804	1851.83594472854	1912.29596550545	1327.21522250379
cds775	813.635564585813	650.091785924285	1226.65945987643	342.060324725184	278.550924867891	572.019415385581
cds780	125659.017605673	123658.110074375	107387.935289793	197721.550399611	191329.130843777	189636.741398044
cds781	15578.8847256078	11344.9169764901	17159.4231069335	31654.7404882442	27077.5065398922	27104.7804137247
cds794	1355.23341703887	1415.86896300422	1059.56161212608	408.134422248122	333.270283601485	622.06813662478
cds797	166.779151207681	132.198905116577	219.107095880132	372.186413958294	222.934213359033	426.434157999268
cds8	834.934567305434	646.298099984304	1128.44853473882	2631.4455275104	2315.20849324273	1708.54021173488
cds813	1184.16086347121	1884.09620267165	1589.20282140776	257.431102103495	365.20391305203	596.027301553407
cds863	59.5521261998609	96.302095075319	84.7572995750212	231.900112739534	114.197457064116	217.296264256188
cds868	5825.64856015995	8731.99061228184	9724.00904661792	2726.74538876656	2482.79299170961	6082.2836378734
cds869	2454.45033046084	4439.76146165184	2726.4827653481	833.651861047519	1182.51679993169	1727.04214069159
cds918	1282.20360999726	1467.73470078206	1077.89976452972	506.131465580027	252.058309730999	568.224574416602
cds921	1989.76047166549	4121.45642158547	1617.65017038709	1272.43590484049	1447.80344538527	609.878361352924
cds93	1147.50755576759	975.426181158287	529.469053038	383.471080999913	556.790967007134	163.652516787214
cds935	375.939914711739	347.127323874214	386.656970830936	151.639759443681	162.348204704629	70.5886275284708
cds955	88.3588609727724	79.4090679430746	143.810859198204	255.495142059092	307.162328779782	245.789542663783
cds960	2213.13306561873	2029.48641366666	2546.45232123346	833.992538834462	1459.20946756452	1370.64981801843
cds975	54.9801464319041	42.3170737112469	105.925671312835	214.146198184935	236.160729315309	132.115988294383
cds982	2431.07711266384	2194.29719518408	1563.84834405466	1160.06073875213	1053.13171240646	1002.38934014734
cds995	7049.2216545873	6818.7827124634	7627.50917074243	12758.2981124654	15604.1916606469	9590.25768204555
