luck_wdi_L3_a	luck_wdi_L4_a	luck_wdi_adultmale_a	luck_wdi_adultfemale_a	luck_wdi_MF_a
fig|82301.12.peg.1	4567.45688655349	0	1982.5291644043	1459.07101477097	882.66322808455
fig|82301.12.peg.10	0	200.581129113358	914.984650246797	1896.28366573011	609.866015835421
fig|82301.12.peg.100	0	0	4082.2258024249	763.823676232604	512.016824596512
fig|82301.12.peg.101	0	0	0	0	1219.96373432944
fig|82301.12.peg.102	913.316913716864	0	2009.1077773196	1679.59516399383	1093.76435288468
fig|82301.12.peg.103	0	566.524674573158	611.961731472974	1160.21208146248	457.474375317111
fig|82301.12.peg.104	0	0	484.978512881146	725.275565469464	1596.76765200889
fig|82301.12.peg.105	1204.56608569811	0	1312.34941263969	1551.50481741555	2050.64672823288
fig|82301.12.peg.106	312.898191508495	0	1220.07266187107	2172.13572660956	999.557309936877
fig|82301.12.peg.107	749.080100285323	0	910.398261022502	1054.61268981589	828.051368078591
fig|82301.12.peg.108	7150.8446507985	1674.47751009819	6776.76641999254	5212.08529725825	2580.08784448893
fig|82301.12.peg.109	4952.75164615471	1560.62774525727	2614.30283141902	2005.98357886394	480.619912779023
fig|82301.12.peg.11	309.522806486828	2684.42247363818	725.490187036184	1301.21936300596	1604.1781302216
fig|82301.12.peg.110	2313.34959224623	1170.3513853322	1995.16909902392	1191.94213180001	663.059345236007
fig|82301.12.peg.111	683.844896356571	664.253488972331	1275.76049406469	1375.03553487159	577.981873086103
fig|82301.12.peg.112	0	1806.25210663393	434.612235161496	537.363390314395	655.574717546032
fig|82301.12.peg.113	5421.9131068271	0	0	305.529470493042	1005.24770793148
fig|82301.12.peg.114	1224.30295960612	2449.80972239376	1484.24284232507	861.834026086107	1436.40891300079
fig|82301.12.peg.115	1230.92081344183	0	561.002171657109	505.362259302004	635.200314076311
fig|82301.12.peg.116	1394.20622746983	902.84249725627	1906.26248124303	1371.7649695606	1319.01289708703
fig|82301.12.peg.117	1903.59980485008	1728.09696740458	2094.62724899318	1756.79445533499	768.385904483815
fig|82301.12.peg.118	1170.79871715547	568.628308040581	1588.35242105592	871.295696487441	752.198006887538
fig|82301.12.peg.119	1159.86596173211	6327.94488845195	763.559831825324	455.787031250514	1050.42612210217
fig|82301.12.peg.12	0	0	754.242424646721	742.950870822684	1161.82360134057
fig|82301.12.peg.120	1508.0817913029	0	1221.90318477192	1028.77325752477	1570.53327734232
fig|82301.12.peg.121	1693.08810770809	822.291493783592	807.648479592602	918.481406959256	1324.27290120519
fig|82301.12.peg.122	6620.32359147012	0	15970.8257410962	7202.5160398016	366.900682151295
fig|82301.12.peg.123	3227.53252658369	3939.73451617679	5975.42407593705	5768.97378143554	793.107253796068
fig|82301.12.peg.124	7418.3332340201	6465.5733013038	7097.97890789224	6051.4741322531	690.803855883534
fig|82301.12.peg.125	4950.44240188561	0	699.423359663809	1215.47593696145	827.967334856262
fig|82301.12.peg.126	0	0	1544.42562137746	1000.2452903046	702.22447986963
fig|82301.12.peg.127	0	1728.09696740458	690.100848485494	809.971356671658	1156.75932196241
fig|82301.12.peg.128	2569.15267215807	5444.83475268397	2359.56554420909	929.645226457461	2171.60561588012
fig|82301.12.peg.129	2640.23594767233	0	1782.90284370215	1406.32115693609	1505.76009856394
fig|82301.12.peg.13	2165.32821382001	2103.29393180145	1310.88692868435	1375.12471664063	958.360451223811
fig|82301.12.peg.130	2347.63247924472	760.125126555966	594.418108571393	1307.51214405728	2494.7515722693
fig|82301.12.peg.131	0	2238.8300792286	210.091906389808	410.671191108056	703.271267340865
fig|82301.12.peg.132	0	0	0	193.24086167936	167.874368720168
fig|82301.12.peg.133	2659.50774291081	1130.20064437555	4011.01538078171	2913.45766607379	2205.52610408343
fig|82301.12.peg.134	7116.26095271056	0	4313.58076050724	4754.80238454796	1487.26198538024
fig|82301.12.peg.135	0	0	62.9002434888274	569.395831373396	1842.80272936002
fig|82301.12.peg.136	498.293983559602	484.018406625353	908.406142289411	877.589390810794	1771.49703096939
fig|82301.12.peg.137	0	0	932.603096657197	634.591377737794	459.337890792089
fig|82301.12.peg.138	866.955649061185	2526.35495742395	1008.8783977859	756.069121143949	792.82292283262
fig|82301.12.peg.139	960.845360703536	1241.31319717703	1093.32300865918	739.54461141846	1060.54809521633
fig|82301.12.peg.14	937.120783896041	1592.97827447994	435.642427126323	818.098115778351	1356.46634972037
fig|82301.12.peg.140	4225.89240575389	0	1962.28136654489	2167.08881256813	1486.10096899821
fig|82301.12.peg.141	1086.97064671474	395.936298021097	993.268403445887	998.500449312184	641.448363534579
fig|82301.12.peg.142	0	0	0	958.327410180361	421.061941216159
fig|82301.12.peg.143	4766.23989390847	0	804.537998112909	246.318332800592	1011.15026740752
fig|82301.12.peg.144	1832.75936005423	1335.18960861843	1392.15830659377	1168.02010852471	1241.15566974297
fig|82301.12.peg.145	2794.11472989863	0	802.267522780811	1182.13038481152	899.621233601635
fig|82301.12.peg.146	0	571.566955627354	1162.11044171865	1000.53664669642	1571.16528037325
fig|82301.12.peg.147	1620.785412717	3935.87921401755	1969.82968932983	1498.29042825413	971.699860225455
fig|82301.12.peg.148	4006.80968598366	389.201897644199	785.238523554071	1026.19673569315	726.142797249993
fig|82301.12.peg.149	852.885207815498	2402.5078438224	1329.38604497173	1186.26298780694	1142.42594743275
fig|82301.12.peg.15	1003.17335016184	1695.51434616893	609.605884032688	1275.05837759358	1089.70432735316
fig|82301.12.peg.150	3806.18300099262	0	3652.25770943341	2761.40445236092	1659.55804506223
fig|82301.12.peg.151	0	0	141.204628240225	329.223592694543	983.949361151677
fig|82301.12.peg.152	1928.05289964348	0	2095.42303682183	893.787704725913	994.604384011686
fig|82301.12.peg.153	402.141053417365	0	1093.85595123948	1271.79050786872	938.778880439341
fig|82301.12.peg.154	51040.7682125447	0	10927.2905757487	7301.10079488545	5348.82471370466
