grote_wbm_L4_a	grote_wbm_L4_b	grote_wbm_30dpi_immaturemale_a	grote_wbm_30dpi_immaturemale_b	grote_wbm_30dpi_immaturefemale_a	grote_wbm_30dpi_immaturefemale_b	grote_wbm_42dpi_immaturemale_a	grote_wbm_42dpi_immaturemale_b	grote_wbm_42dpi_immaturefemale_a	grote_wbm_42dpi_immaturefemale_b	grote_wbm_120dpi_adultmale_a	grote_wbm_120dpi_adultmale_b	grote_wbm_120dpi_adultfemale_a	grote_wbm_120dpi_adultfemale_b
cds0	1341.50808391227	1697.53495485112	1441.68268757197	1893.91249481987	1974.70201172158	1921.64915797657	1546.2746988402	2366.39848867315	1892.01939702141	1203.75823931541	2420.59489059326	1104.84211198864	3143.14074524541	3041.44326017191
cds1	1401.09951754737	1342.76590440718	1771.02994376832	1644.38776920356	2059.33011789194	1603.50221888324	2018.787278917	2051.59359281368	1458.01945633179	1512.70890891009	2569.05587028416	2307.43371607232	1759.03717313158	1806.37622028761
cds100	113.299801425371	217.023687290988	0	137.166148742914	96.4102719941085	284.089113573908	210.343742263128	145.433119590318	375.959587572395	0	143.140521553738	82.0561609240393	289.587912748078	0
cds1000	1797.96124988122	1151.06024913182	1975.53491272378	1455.01630089599	2479.5364826927	1727.30398300236	1449.48128271751	2319.86433678484	1571.2370974058	2184.99115485803	792.873893407168	1891.74834554417	1414.53908095883	1598.62643521932
cds1001	3405.80724373559	2719.13318280625	2923.10289479189	2767.66109080347	3753.87571990237	3316.45296963693	3635.79405965044	3233.77898613946	2029.79033261446	3137.43058598514	797.690972505469	1767.57167139241	2070.70665189553	2674.29675181708
cds1002	4596.55473100455	3125.29817082904	7508.26686074889	7171.67831259826	6025.11508444013	6483.63321848577	4818.82162745084	9869.32832858531	6026.52561399288	6459.41474675517	4769.62520465168	5253.82046259577	6004.78831412738	5102.20013886259
cds1005	132.899978869842	0	0	244.387716925703	107.425472753616	137.17047885799	76.1722743121991	105.332075585635	0	208.751380612013	83.4556603330868	257.905428098517	336.032337242818	112.891855367088
cds101	121.914249949738	214.842544705149	0	77.3989288559893	14.6832806979817	93.7446488677719	0	0	0	46.7751672513943	212.552885020752	153.266935640805	506.859878902102	217.330204967429
cds103	1138.10280446973	770.30312731309	1108.85205292613	815.310858260686	1881.64976344576	1018.53022232484	858.522819535286	1332.07543496941	1860.11407669655	1576.5193770162	2385.54373576088	1687.1474531782	1809.31088846383	889.001277319543
cds104	508.1285572663	741.201577234103	468.572004702763	523.423366631557	420.254692054632	338.774548269127	376.250459072363	164.409852797878	177.538494828678	273.61320957858	188.787791266172	440.14701294775	469.99078961102	486.591629049189
cds106	2515.89054394654	6579.62268566814	1934.52447986425	3056.61402134422	3751.13009223511	3664.41136377773	2032.86982883892	2169.23885948931	2205.08842647291	3960.24079677896	786.45027528858	1867.63722997056	1152.88075200828	1180.44641351345
cds107	0	77.7339389024084	0	0	0	0	0	0	0	0	0	0	273.519915168796	0
cds108	0	0	0	63.3843079931764	0	0	0	0	0	0	0	0	0	0
cds109	2686.08861824928	2040.89570370729	1846.68132442678	3159.43011432574	2865.34178883177	2317.01045213127	2253.42895467536	2515.53582571901	2220.11178049866	2397.7103095173	703.359651883248	904.571968576212	1657.88308468778	2094.11102889682
cds11	5781.3847021456	5982.23966099875	4509.57964598375	5864.91573887083	6411.33646589522	6881.84922616502	7911.55803236009	5426.88919561856	4983.7272017648	4881.63266708359	2423.87758428458	3881.40886370357	6240.70218555315	6686.44054952452
cds110	560.480741730609	601.5159998461	464.619601876101	476.331978796973	161.561638001132	973.269603494142	720.24499375199	608.557988814174	593.998996923345	594.165829818067	10.0342028019833	300.548629634324	676.913815994862	798.680571495995
cds112	61.5313587608643	0	235.354500385821	0	0	221.699301481783	0	0	0	0	0	0	414.032256561968	208.930969992842
cds116	4605.92647920061	4160.9755589734	5494.62237439204	3994.51680121757	6295.43450067668	6302.83211135733	6166.45895639995	5113.93920310854	6798.28609880302	6568.70400574848	10932.8839375922	10028.3171107915	4381.04353781617	3795.95429250841
cds118	0	282.668868736031	0	446.640186815771	0	154.175083675096	68.4920945881592	0	201.99283295935	0	24.4699313085874	138.636909966001	132.53524574375	98.8882367891741
cds119	456.553055856445	0	336.511395570175	467.234547014769	559.974625696661	287.085557826589	238.834105048048	818.226848364815	373.52180926681	636.287857272079	156.839935734717	0	391.694967070997	429.163479774634
cds120	471.740417166626	0	243.7240972402	173.216226297142	124.870634995657	644.161947895161	132.813196236655	244.874568882844	158.25649305932	290.385835325216	495.284555924852	886.328279098879	604.440200884591	391.825926801961
cds122	359.421270222191	158.34691257898	465.416637667727	358.288140971955	133.11209690537	207.27983471874	153.473026762357	314.092447020394	960.089391226542	476.444923968295	181.724844363668	0	354.100593521114	143.094499892875
cds123	353.31459815531	300.936001333353	258.082041425159	426.31372200316	150.353943224867	430.15596768088	129.744308789633	278.15849086692	89.8835421744682	267.951318535693	126.278081714877	469.346509758686	312.669692827748	468.177791545611
cds124	809.523059895849	1316.26448147285	569.83529752931	44.9049179077022	434.462436745821	585.761935256195	230.142423659528	408.455064416739	0	514.532294595337	1016.13912169571	1163.09496244363	587.112832146692	830.930041097188
cds125	490.251004964368	292.647912996676	300.754201112963	509.754931118646	299.534117304101	378.806160828789	147.248656735914	0	242.56781250577	335.341182685487	96.9714526748607	599.347340027691	804.765701140429	527.388754921124
cds127	0	0	0	0	0	162.219001084231	0	0	0	0	0	0	76.2022558089513	0
cds128	124.583183529719	0	209.002065979686	0	0	0	0	0	0	0	0	280.271374742078	35.5267273703894	0
cds129	0	6.68026037442572	0	46.4436006759212	0	239.019559410047	0	0	0	317.062547765623	0	0	0	225.253702023533
cds131	149.609103729987	0	157.883644008821	225.181094186285	0	208.316233892334	345.314310215302	0	811.618424654723	497.991818141969	278.461992117604	0	70.1060753442352	545.414297166314
cds132	200.553827510003	257.036070518986	0	162.455298410947	175.669710955813	84.1165661934767	155.702845287461	86.1232201181144	111.31869551868	83.9422089651775	159.359289266461	366.734912134512	237.082168624042	303.347670861351
cds135	0	0	374.181118124922	0	0	0	0	0	0	0	0	477.179299786204	212.014340758776	0
cds137	1595.14085246575	1795.21209028495	1355.2865881852	1719.75514722735	1194.46022293985	1726.68922781983	1358.23628684686	1402.163170938	1481.28077503524	1834.71302798278	634.652523820189	1154.59111323106	1800.88377652682	1509.42098290333
cds139	146.503235144915	425.471269451347	0	0	141.158109125525	251.439451680559	300.273313230698	138.407365020738	42.9356746387025	0	68.1127602562475	147.343575809277	338.676692484228	169.234085694202
cds14	221.28739487314	101.552651772743	137.762644440292	108.472033018951	138.811062180445	88.6232072431668	442.920967972122	408.318164740514	307.867144455067	534.174632109129	351.646281275425	242.696918396539	259.56732765517	91.7708194087324
cds140	224.718391821861	243.21777804068	282.00035644747	769.922263039524	410.591648081829	495.254347394435	569.180961894591	1060.10844357966	495.160712886576	90.5179087490515	80.8941141986597	130.502945394252	129.957574837875	379.915741448572
cds143	405.743235651689	491.421452831318	694.791733897605	313.700558797445	55.9764915497771	552.507973233056	521.543682325181	254.669551638158	384.508706929645	584.886727362645	0	323.698593614104	381.420026777065	369.519636239064
cds144	798.613611102353	776.398300175387	591.215226712877	794.294958863388	1308.87404091089	603.922094714431	684.775835511701	440.507411504864	403.496579156087	1166.57493639104	413.762754095119	496.273142115584	1181.02425958236	1030.0802706773
cds145	551.718444143998	969.837422979009	328.911568862172	775.406202589293	1090.35433335829	1104.4998073822	0	0	1211.76607825425	402.243448676763	919.522263459341	1698.55111695964	582.45028570494	863.339103831291
cds146	1238.68967477572	970.88705715198	513.906978690558	918.396817048366	1262.73611902266	1282.95722509395	907.171290406125	598.392854719405	1777.53693004228	847.640634026577	399.957266037847	1254.36570260124	1110.82632673603	1352.20652718532
cds148	245.693374655064	181.159603374257	245.754547921029	0	123.812409275354	79.0473945961297	482.854755809533	121.399680335986	0	315.534179085677	119.485943839349	0	611.571536504	183.257249103891
cds149	259.777244888246	238.84729830349	342.012226219086	390.481629248172	353.683865602223	330.026552485145	154.330417973319	186.73395895256	275.843719745854	225.339585995078	114.737656983611	190.838740869401	347.756160518075	295.304667084855
cds15	576.449521409601	696.436595707185	416.569633586384	515.256307362693	578.074164597364	618.321610122724	772.217026504769	214.519901026318	425.775796817533	385.030450775479	304.977434025894	543.013787121409	618.23993232021	363.404308622325
cds150	709.128932005078	304.176282661598	314.060713177183	488.954489731926	408.152256258768	372.513815217062	679.054449084258	264.307737238693	307.38039798162	602.20384022369	180.895107102365	606.868004146826	625.96689408153	455.05165264441
cds151	471.647003222633	126.991088305915	116.570384968324	81.0651939070625	132.790647745975	221.091649448019	129.85185645522	89.3549726354179	0	127.182142877009	153.277988392094	331.575564073141	454.214485677068	68.51280916993
cds152	184.721460474585	149.895986586257	90.3748707586489	94.7392215509106	307.336451851406	181.174041744619	96.8548123704783	100.449131684314	129.835673698063	87.0269570676506	49.4328291224733	174.659823463205	188.135265495754	58.9678565484277
cds153	84.2619748016706	86.0812075093784	77.8497628313597	108.812340814849	176.495004899901	249.779156535233	83.4316454211469	115.370434466951	74.5611128373441	112.44875778154	141.939678252113	189.141684952273	138.682991326935	87.0779411849362
cds155	3239.3863061929	5312.62888686148	1953.04118075847	2233.89880937076	2639.73684411841	3014.50832355731	3041.90515089662	926.251970127134	1946.28510924374	1326.42680533141	584.802227404634	1258.12995794146	2232.63950172976	2467.96146980692
cds156	1383.70992117092	1178.67435461592	1754.60837873843	1639.93955490149	2387.95712951349	1952.36161563531	839.470995523408	1537.73207505307	1209.92546064301	2356.91519214726	1834.37293105145	1753.23104692866	1026.20789598717	1067.29864440171
cds157	1790.40741886864	2341.06393234095	3226.72997797871	3201.8332768237	4068.3427733613	2883.68130162675	3282.69383905442	3311.27408397555	2699.26483941843	3428.10535231702	3615.70577870855	1677.11658347618	3127.65435239387	2555.84026586538
cds158	222.222016441998	294.605096176355	170.041036593277	227.07337228869	245.543937722552	335.479799721255	174.108055570741	371.571436161135	414.924586844604	260.735526135223	11.0583069592496	459.637665646384	371.149810645951	268.133930565604
cds159	611.966552159563	98.6623070684415	575.023632810778	173.216226297142	588.140690829543	942.326017836734	410.392776371263	407.716157189935	712.154218766941	540.595000283518	560.358439185051	870.035479850738	579.161567947968	435.259461140857
cds16	1211.36199979573	2642.41410366173	1271.39294962886	1872.7560999826	1751.15456752034	1756.69659924132	1883.4018002993	1792.63489082797	892.368800238241	840.328872773313	637.407724572996	944.656500407225	1253.63294452365	1576.77591416473
cds160	0	0	40.6148972754643	0	67.5245828737017	39.1915653879971	22.1987770852694	0	0	19.5551644601417	50.3547906180115	192.227648272187	126.294032789247	67.5382528420139
cds161	981.306656939054	663.531120064683	404.466698902996	439.245894289324	778.040110357553	521.335942706796	626.294491967838	468.625342537882	657.373125015637	529.225234248882	1290.03610331209	570.813745614876	574.019418683937	639.042658143111
cds162	289.810573103806	191.357135886776	199.953034998005	330.144539702149	176.732229368853	268.54439877069	364.668620344305	173.288253382819	0	182.411835707716	28.1418305631306	907.624544438708	358.304235882331	259.841044656824
cds163	1573.75170461574	1339.16246066795	1890.30757452739	1150.92559250768	1468.71651637748	970.267035850102	2259.34220112298	1576.52579585526	1861.39779931677	1464.69630337162	1510.64371854035	1124.79279228501	1228.24731208253	1422.55459648301
cds164	709.368664571678	557.65651821293	625.370529596609	1117.28984645821	508.169192851889	882.471365898219	902.621579571477	368.717220415245	787.332933687207	287.341886128239	312.637569576176	795.655309370094	672.86591879304	663.14689875728
cds165	2257.2423378194	1575.87006541227	1459.6667528864	2113.53390814644	1436.02485226261	2064.72589131268	2209.83806059893	1547.6934121226	2517.80513646065	1403.25501754183	1079.06014628869	813.847428252676	1879.47694453012	1196.04056133742
cds166	151.99622391324	0	0	133.480841373075	0	146.094823265618	0	0	446.168908143143	233.267195526471	25.4807374211625	187.41037708657	291.40477100917	0
cds167	0	0	214.807678923566	300.241458915046	194.798190593224	39.3831685965606	0	0	621.314991750891	0	0	0	308.661470612813	150.569585708175
cds168	125.056369793804	61.7063226338706	0	557.149099017611	274.123226968816	78.8518134136238	132.42981793824	0	481.034478490824	0	345.942602761267	0	339.689231049387	0
cds169	206.609259205144	951.613864950451	729.653180343598	298.110713077585	0	0	1110.79816176355	0	0	219.795002037939	70.9515243288627	0	909.11749317363	0
cds17	1040.75898246948	840.615566343194	697.65798328654	432.086621308175	323.252069897452	748.009838332845	682.621332077786	1438.05252256547	624.356268704466	402.908184618	352.824098127362	495.074414719169	712.914437679299	423.433432518826
cds170	75.8154241874935	301.219013246833	979.815935453632	128.967353943054	0	0	214.251833383585	325.571869991963	0	291.94082796768	0	0	324.638928440634	65.5283496795732
cds171	61.2191836429854	0	0	0	0	261.521286794672	58.0902577932284	0	57.1054504394425	101.781889636842	63.2493818603808	0	153.561788867337	103.069357486656
cds172	1017.64789914802	1030.71001150058	432.634276577951	146.063412445158	157.944478859371	588.898816909026	1021.38373270169	309.73323847884	600.519233122393	951.958090350701	205.774171390361	0	740.376998398916	908.612554584006
cds173	398.067780588315	684.888830620734	290.928846697452	522.070342637716	19.8580679730957	322.390577882934	456.619505352662	653.672453537261	97.0742255484257	332.56689787904	677.589706762757	444.176507658062	308.841084344143	863.574581117016
cds174	784.36026843453	1242.08518961834	570.207492725543	1654.17391463858	1588.85159246891	1077.167482318	912.546252967074	1098.94135908314	737.130243500947	580.258881276878	1383.42826647664	1517.77849299271	3178.16977029543	3186.37552734154
cds175	194.087485919983	0	0	216.173850418833	452.905793129246	0	0	0	0	291.658759534861	51.6975850344918	111.833774039241	150.435953342838	9.61082461967073
cds176	0	0	97.2528668297245	405.325969535312	165.697241388749	0	0	0	0	0	0	114.375450721951	249.271982836019	131.855825574751
cds177	0	0	120.557792834069	59.2049168984164	157.589547446204	0	324.750649045178	0	0	0	232.876762004197	113.090333298109	286.529043892871	0
cds178	0	0	136.359106526715	0	0	175.440612457868	171.466416106909	425.713286555008	0	0	132.595686893823	0	161.529672031388	216.243553942591
cds179	86.1901664447295	259.637650180109	48.1360527466373	0	88.723872233756	200.52435832406	406.408380484164	318.401380223719	465.523968267653	113.055768619767	0	370.446803957736	70.2479904765109	169.843115242359
cds181	244.182189538715	122.648281234189	422.060533483046	172.11572774433	275.622075182958	370.080171679358	107.791792783577	0	203.46603838612	90.5179087490515	253.651036046645	31.1427483327192	178.531881498589	446.506138934946
cds182	2595.030979938	1073.69155225674	1250.38312789121	1692.51297808288	1700.65959588587	1382.04643724772	1978.95834534906	1406.01592776145	1756.59735887686	1104.96985761174	1354.32416958516	747.865076273839	794.046123881477	926.614321315374
cds183	2682.67519805631	4038.09498319213	3027.43869578193	1795.31816872709	2530.33670608267	2481.82331946747	2494.9410895137	2976.03371338412	3311.55440282747	1894.79100546653	4210.60959119574	2323.43847539879	2125.20511122053	2300.55969430024
cds184	124.248967017951	361.123201600024	233.681557508598	0	0	88.7479680688974	44.2538727654562	11.1263396346768	0	61.4525789559095	318.261831964325	355.34120612645	689.574927991536	297.422363836898
cds185	80.8697857999931	0	45.4025321361175	0	0	0	0	26.045749599357	0	327.199382070056	34.1802215104078	48.5229184881004	96.926960229719	109.213916132622
cds186	0	0	422.902617880771	675.543282558854	0	0	0	362.605670203549	0	410.145130595898	0	0	231.404819007339	209.485942881885
cds187	1098.70221281548	981.2316877845	506.453121029301	973.225306086427	741.031477494388	1061.2047931584	1040.01877168451	937.00651632441	849.915198790709	900.306948686263	566.285022359933	400.001576295348	778.9244682714	637.386737686524
cds188	1257.69364791031	862.990673555442	1020.7839908847	725.583525711362	580.336276142314	514.313089895874	1309.31675956635	741.459788363177	879.510460177172	736.903780739674	760.124214301335	431.379014759951	928.053514756585	1457.64173398339
cds189	11126.6716537565	8908.79523533415	11111.4642115188	10815.4479537673	10595.8040795802	8851.8853416638	10623.5947537738	11821.8401712782	13444.9375346558	10746.3841877552	12019.6885205194	8381.81428040697	3971.94733122182	5818.7536306719
cds19	38.4651784480666	0	53.3070526740468	342.738871298242	267.489427156505	142.485834913737	99.4048179774198	78.9990566892263	0	170.936581337214	0	322.101453136083	174.459741722901	137.934766944999
cds190	820.080790034804	713.159897451297	890.684697250931	644.888377299881	1050.92805345252	1008.79089308704	660.740070890961	1527.01414720432	441.11670138917	829.530076399212	689.564426816064	693.941810262593	441.845012673751	544.243230300892
cds191	1293.80394078624	839.591498869328	989.790703273993	1151.62253182735	1561.09859146715	1248.18258132304	978.807359540645	1657.56891670337	546.712263766487	1304.19329146596	399.023143036544	412.048977531263	647.114226105736	966.570537306997
cds192	368.805353789485	287.32302685702	748.88193224724	769.247673365404	510.559773732241	497.97308679607	683.388159087381	346.576506765638	201.087847148601	877.778764969364	1485.35803335904	578.026471390505	1127.68072134695	937.44293366869
cds194	0	0	0	67.5543282558854	0	179.376780045063	0	0	0	0	16.2684708150499	149.567897097936	306.714079631029	0
cds195	276.503311742623	0	127.936926417712	182.794064692396	0	194.782079978345	176.719676404302	0	0	0	833.519887053438	233.23621323692	398.212817672218	0
cds196	2535.22852765221	2396.41910027295	2346.20037659235	1424.54369875518	1509.21316595527	2565.84261423683	1910.96268759925	2132.54842997972	3093.1922980307	1740.55392748649	4695.67385339767	3675.80736559694	3882.77620363238	3349.32572546681
cds197	299.107426931481	468.533330370681	158.898830984556	296.12856221758	240.162152786167	500.878943073777	624.403958197533	110.676596242747	355.101555659132	459.037394779437	637.367486726612	501.371838781155	543.322083917822	849.175599957209
cds198	185.670426581617	109.065475500828	47.3453659668269	91.6808740615587	142.371636747344	142.769273913418	116.279308541888	0	377.877748733479	308.692238977952	107.903122752882	168.061886775112	426.091133948062	102.973120925044
cds199	0	0	481.993120653153	14.806428110879	0	0	204.350386319193	745.693378940496	0	0	0	0	158.458937421901	9.87413488322336
