luck_wdi_L3_a	luck_wdi_L4_a	luck_wdi_adultmale_a	luck_wdi_adultfemale_a	luck_wdi_MF_a
fig|82301.12.peg.193	0	0	0	0.81	6.56
fig|82301.12.peg.194	0	0	0	2.62	11.38
fig|82301.12.peg.195	3	4	14.5	42.12	50.87
fig|82301.12.peg.196	1	0	2.38	10.47	16.74
fig|82301.12.peg.197	0	0	4	14.5	55.91
fig|82301.12.peg.198	0	1	2.85	14.98	41.23
fig|82301.12.peg.199	0	4.5	1.5	17.98	28.02
fig|82301.12.peg.2	0	0	4	14.2	15.86
fig|82301.12.peg.20	1.87	0	2.5	17.33	8.76
fig|82301.12.peg.200	0	0	1.5	4.53	1.75
fig|82301.12.peg.201	0	0	0	0.53	8.85
fig|82301.12.peg.202	0	0	0	3.22	21.31
fig|82301.12.peg.203	0.5	3	6.5	15.29	48.1
fig|82301.12.peg.204	0	0.25	0.5	1.76	9.8
fig|82301.12.peg.205	0	0	0	0.5	6.61
fig|82301.12.peg.206	2.5	1.5	9.22	15.25	47.2
fig|82301.12.peg.207	0	0.37	2.38	2.55	6.41
fig|82301.12.peg.208	0.44	0	1.68	1.46	6.31
fig|82301.12.peg.209	0	0.5	10.97	20.37	62.96
fig|82301.12.peg.21	0.5	0	8	19.77	27.18
fig|82301.12.peg.210	0	0	0	0.52	6.97
fig|82301.12.peg.211	1.61	8.5	18.5	62.69	89.71
fig|82301.12.peg.212	0.39	0	0	1.49	1.29
fig|82301.12.peg.213	0	0	1	1.17	10.71
fig|82301.12.peg.214	0	0	0	1.5	4.41
fig|82301.12.peg.215	0	0	3.5	6.49	28.99
fig|82301.12.peg.216	0	0	0	5.28	16.85
fig|82301.12.peg.217	0	0.45	0.38	7.04	10.74
fig|82301.12.peg.218	0	2.5	3.42	6.25	23.67
fig|82301.12.peg.219	0	1	3	10.22	36.36
fig|82301.12.peg.22	0	0	0.27	0.07	1.3
fig|82301.12.peg.220	0	0	1.95	1.07	3.64
fig|82301.12.peg.221	0	1.5	3.57	11.2	18.68
fig|82301.12.peg.222	2	2	4.57	12.69	29.53
fig|82301.12.peg.223	1	1	9.56	22.69	20.07
fig|82301.12.peg.224	1	4.19	6.5	25.4	54.2
fig|82301.12.peg.225	1	1.5	17	54.85	93.24
fig|82301.12.peg.226	1.47	0.34	3.4	11.82	15.81
fig|82301.12.peg.227	2	0.06	3.5	13.08	27.59
fig|82301.12.peg.228	0	1	0.76	0.15	4.42
fig|82301.12.peg.229	2.5	1.5	11.5	40.56	56.51
fig|82301.12.peg.23	0	0	0.04	1.2	0.46
fig|82301.12.peg.230	1	0	8	17.73	38.13
fig|82301.12.peg.231	0	0	0.6	1.91	5.47
fig|82301.12.peg.232	1	3.24	9.5	38.31	76.33
fig|82301.12.peg.233	0	0	0.89	2.49	83.02
fig|82301.12.peg.234	0	0	1.07	2.59	22.47
fig|82301.12.peg.235	0	0	0	0.28	0.21
fig|82301.12.peg.236	0.5	0	1.06	5.58	15.53
fig|82301.12.peg.237	1	1.5	3.33	8.4	28.06
fig|82301.12.peg.238	0.5	0	6.46	6.66	34
fig|82301.12.peg.239	7.5	3	18.53	56.91	32.85
fig|82301.12.peg.24	0.39	1	0.24	1.45	1.48
