luck_wdi_L3_a	luck_wdi_L4_a	luck_wdi_adultmale_a	luck_wdi_adultfemale_a	luck_wdi_MF_a
fig|82301.12.peg.520	0	0	0.5	3.07	8.35
fig|82301.12.peg.521	0	0	0.5	3.5	11.36
fig|82301.12.peg.522	0.5	9	6	28.77	71.93
fig|82301.12.peg.523	0.5	13	5.64	38.4	153.54
fig|82301.12.peg.524	1	0	6.5	35.03	70.98
fig|82301.12.peg.525	0	0	1.84	1.12	4.46
fig|82301.12.peg.526	0	0	2.63	6.44	5.49
fig|82301.12.peg.527	0	1.96	0	1	23.6
fig|82301.12.peg.528	0	0	0.16	0.58	2.25
fig|82301.12.peg.529	0.5	4	3.5	13.73	33.58
fig|82301.12.peg.53	0	0	0	0.67	6.81
fig|82301.12.peg.530	0	0	2	7.56	10.9
fig|82301.12.peg.531	1	0	3.13	21.96	36.78
fig|82301.12.peg.532	0.5	1.5	2.31	11.91	22.47
fig|82301.12.peg.533	0	0	0	1.46	12.04
fig|82301.12.peg.534	0	0	0.89	3.71	6
fig|82301.12.peg.535	0	2	1.89	11.53	20.44
fig|82301.12.peg.536	0	0	0.5	5.04	52.66
fig|82301.12.peg.537	0	0	0.5	2.51	5.01
fig|82301.12.peg.538	0	3	5.51	23.3	68.87
fig|82301.12.peg.539	0	0	0	1.25	2.5
fig|82301.12.peg.54	0	0	0.21	0	7.32
fig|82301.12.peg.540	0	0	0	0.3	8.9
fig|82301.12.peg.541	0	0	0	0.04	9.5
fig|82301.12.peg.542	1	4.5	11.5	36.43	126.27
fig|82301.12.peg.543	0	1.1	2.99	14.46	33.81
fig|82301.12.peg.544	0	0	1.44	1.96	26.09
fig|82301.12.peg.545	1	1	1.83	11.79	26.34
fig|82301.12.peg.546	4.22	0	8.96	40.75	12.3
fig|82301.12.peg.547	3.5	2	15.16	55.98	69.25
fig|82301.12.peg.548	0	1	5.14	15.16	38.55
fig|82301.12.peg.549	3	1	11.5	40.21	76.75
fig|82301.12.peg.55	0	3	4.5	17.5	35.21
fig|82301.12.peg.550	0.5	0	1.1	1.72	7.71
fig|82301.12.peg.551	0.5	0	6.57	15.45	14.08
fig|82301.12.peg.552	0	2.5	5.5	25.81	39.22
fig|82301.12.peg.553	0	0	0	1.28	1
fig|82301.12.peg.554	0	0	0	1.01	4.25
fig|82301.12.peg.555	0.5	0	6.55	14.39	32.84
fig|82301.12.peg.556	1.5	1.5	8	16.9	21.3
fig|82301.12.peg.557	1.5	0	3	11.59	32.96
fig|82301.12.peg.558	1.51	0.5	10	41.37	65.41
fig|82301.12.peg.559	0.37	0	5	11.87	60.51
fig|82301.12.peg.56	0.5	1.5	10.5	26.92	95.5
fig|82301.12.peg.560	1.17	1.67	6.42	39.75	26.93
fig|82301.12.peg.561	0.5	3.5	7.24	28	49.02
fig|82301.12.peg.562	0	0	0.15	5.94	22.22
fig|82301.12.peg.563	0.5	0	0.82	2.57	14.01
fig|82301.12.peg.564	0	0	0	0.5	2.04
fig|82301.12.peg.565	2	9	14.79	44.91	84.16
fig|82301.12.peg.566	0	1.5	1.28	3.91	41.17
fig|82301.12.peg.567	0	3.5	2.98	15.42	26
fig|82301.12.peg.568	0	0	1	3.28	3.5
fig|82301.12.peg.569	0.12	1	1.74	5.15	4.04
fig|82301.12.peg.57	0.5	0.5	0.5	7.62	25.31
fig|82301.12.peg.570	0	1	0.71	1.41	2.45
fig|82301.12.peg.571	0.5	0	12.81	23.63	31.78
fig|82301.12.peg.572	0	1.5	4.76	19.45	15.52
fig|82301.12.peg.573	2.48	4.5	2.5	10.76	19.24
fig|82301.12.peg.574	0	4.5	1.75	4.24	40.51
fig|82301.12.peg.575	0	0	1	6.56	19.67
fig|82301.12.peg.576	0	0	0	0.5	4.24
fig|82301.12.peg.577	0	0	0.51	2.48	13.6
fig|82301.12.peg.578	3.44	0.5	5.5	25.36	40.31
fig|82301.12.peg.579	0.5	4.5	10.22	25.28	57.56
fig|82301.12.peg.58	0	0	3.5	6.51	13.76
fig|82301.12.peg.580	0	1	2.13	4.04	23.51
fig|82301.12.peg.581	0	0.5	0.35	0.45	5.69
fig|82301.12.peg.582	0	1.5	10.14	30.2	24.15
fig|82301.12.peg.583	0.66	1	4	18.64	28.1
fig|82301.12.peg.584	0	0	1	1	14.68
fig|82301.12.peg.585	0	1.1	1.5	12	38.54
fig|82301.12.peg.586	1	2	7.83	25.5	111.88
fig|82301.12.peg.587	0	0	8.5	24.44	103.32
fig|82301.12.peg.588	0	0	0.5	1.19	14.03
fig|82301.12.peg.589	0	0	1.96	3.33	8.32
fig|82301.12.peg.59	0	0	13.5	30.97	73.34
fig|82301.12.peg.590	0	0	2	1.89	17.42
fig|82301.12.peg.591	0	0	0	2.28	4.69
fig|82301.12.peg.592	0	0	0.68	1	9.19
fig|82301.12.peg.593	0	4.5	5.04	4.33	39.04
fig|82301.12.peg.594	0	0	0.12	3	28.31
fig|82301.12.peg.595	0	2	2.52	12.28	27.21
fig|82301.12.peg.596	1	0	10.29	26.8	92.42
fig|82301.12.peg.597	0.5	0.54	6.5	16.61	42.17
fig|82301.12.peg.598	1	1.6	5.5	14.2	35.63
fig|82301.12.peg.599	4.01	0	7.22	24.27	25.54
fig|82301.12.peg.6	0	0	1	15.54	27.61
fig|82301.12.peg.60	0.5	1.5	8.5	13.59	67.57
fig|82301.12.peg.600	2	0	33.54	83.24	16.03
fig|82301.12.peg.601	0.5	2	5.83	15.94	26.09
fig|82301.12.peg.602	5.5	11	54	158.99	242.06
fig|82301.12.peg.603	0.76	0	1.5	9.7	21.16
fig|82301.12.peg.604	0.15	0	2.95	10.05	18.23
fig|82301.12.peg.605	2.5	2	3.66	13.7	27.21
fig|82301.12.peg.606	0	0	4.31	14.25	17.68
fig|82301.12.peg.607	0.5	0	5	17.36	35.42
fig|82301.12.peg.608	0.5	0	0	3.5	7.26
fig|82301.12.peg.609	0	0	0.5	0	0
fig|82301.12.peg.61	0.5	0.02	5.5	22.25	46.71
fig|82301.12.peg.610	0	0	0	0	0
fig|82301.12.peg.611	0	0	0	2.7	0
fig|82301.12.peg.612	0	0	0	0	2.5
fig|82301.12.peg.613	0	0	0	0	0
fig|82301.12.peg.614	0	0	3.42	10.42	22
fig|82301.12.peg.615	0.5	12	7.72	34.22	50.39
fig|82301.12.peg.616	0.5	0	8.44	20.43	52.1
fig|82301.12.peg.617	0	0.86	0.5	1.64	4.69
fig|82301.12.peg.618	0	0	0	0.5	3.47
fig|82301.12.peg.619	0	0	0.52	1.42	8.49
fig|82301.12.peg.62	0.5	0	1.13	6.21	18.94
fig|82301.12.peg.620	0	0	2.73	11.71	16.28
fig|82301.12.peg.621	1	0	10.66	32.61	24.56
fig|82301.12.peg.622	0.5	0	0.5	5.83	4.92
fig|82301.12.peg.623	0	0	4.52	12.44	32.02
fig|82301.12.peg.624	0	0	0	0.81	11.65
fig|82301.12.peg.625	1.5	0	15.02	49.25	34.24
fig|82301.12.peg.626	2.5	6.5	24.54	77.31	80.88
fig|82301.12.peg.627	0	0	0	1.2	10.24
fig|82301.12.peg.628	0	0.42	1.85	5.48	21.1
fig|82301.12.peg.629	0.5	0	1	3.27	3.61
fig|82301.12.peg.63	1	0	7.5	11.42	62.26
fig|82301.12.peg.630	0	0	1.14	1.91	11.49
fig|82301.12.peg.631	0	2.5	0	1.96	6.12
fig|82301.12.peg.632	0	0	0	1.38	5.14
fig|82301.12.peg.633	0	0	0	0	9.72
fig|82301.12.peg.634	0	0	0	0	19.01
fig|82301.12.peg.635	1.78	10.44	8.07	39	103.51
fig|82301.12.peg.636	0.63	16.47	18.99	62.98	121.84
fig|82301.12.peg.637	0	0.82	2.36	5.58	11.83
fig|82301.12.peg.638	0.24	2.5	3.63	14.89	26.77
fig|82301.12.peg.639	0	2.9	4.12	14.51	81.48
fig|82301.12.peg.64	0.5	5.02	3	15.71	32.65
fig|82301.12.peg.640	0	0	1	2.53	71.71
fig|82301.12.peg.641	2	2	20.83	78.42	60.05
fig|82301.12.peg.642	0.5	10.84	8	25.68	92.34
fig|82301.12.peg.643	0	0	2.33	10.1	10.25
fig|82301.12.peg.644	0.39	0	3.45	6.99	2.29
fig|82301.12.peg.645	2.07	0	4.13	9.49	2.9
fig|82301.12.peg.646	0	0	3.5	14	42.03
fig|82301.12.peg.647	0.5	0	4.5	18.91	38.75
fig|82301.12.peg.648	0	0.5	1.14	4.3	4.49
fig|82301.12.peg.649	0	0	0.5	1.28	13.33
fig|82301.12.peg.65	0.2	0.5	0	2.05	4.87
fig|82301.12.peg.650	0	0	0.88	2.99	7.06
fig|82301.12.peg.651	6	1	21.98	73.03	88.22
fig|82301.12.peg.652	1.05	0	4.14	8.5	40.02
fig|82301.12.peg.653	0	0	1.22	1.46	10.16
fig|82301.12.peg.654	0.03	0	0.74	2.75	13.32
fig|82301.12.peg.655	1.43	0.5	7.72	25.92	89.29
fig|82301.12.peg.656	0.5	1.5	4	29.91	60.92
fig|82301.12.peg.657	0	0	0	2.58	5.49
fig|82301.12.peg.658	0.5	0	1.5	11.27	51.57
fig|82301.12.peg.659	0	0	4.68	10.8	54.65
fig|82301.12.peg.66	0	0	0.41	2.92	2
fig|82301.12.peg.660	0	0	0.28	3.06	12.25
fig|82301.12.peg.661	0	0	1.81	9.27	38.9
fig|82301.12.peg.662	0	0	0	0	0
fig|82301.12.peg.663	0	7.29	7.05	20.14	46.29
fig|82301.12.peg.664	0	2.61	3.13	28.06	37.11
fig|82301.12.peg.665	0.5	1	3.84	24.26	25.75
fig|82301.12.peg.666	0.5	0.5	6	17.82	78.44
fig|82301.12.peg.667	0	0	8.89	32.97	54.03
fig|82301.12.peg.668	0	0	0	3.02	7.51
fig|82301.12.peg.669	0	0	0.92	0.84	6.82
fig|82301.12.peg.67	0	0	1	6.43	26.76
fig|82301.12.peg.670	0	0	0.34	0.05	3.22
fig|82301.12.peg.671	0	2.4	0.14	1.65	3.75
fig|82301.12.peg.672	0	0.5	3.32	12.87	50.59
fig|82301.12.peg.673	0	3	3.5	9.64	30.81
fig|82301.12.peg.674	0	0	7.11	18.74	22.63
fig|82301.12.peg.675	2.53	3	8.94	37.36	43.69
fig|82301.12.peg.676	0.5	4.68	2.5	14.68	32.52
fig|82301.12.peg.677	2.49	0	10.25	27.7	31.14
fig|82301.12.peg.678	0	0	0	0	0.21
fig|82301.12.peg.679	0	0	0.91	2.42	4.73
fig|82301.12.peg.68	0	1.46	1.79	2.87	12.33
fig|82301.12.peg.680	2.13	0	2.66	11.78	12.52
fig|82301.12.peg.681	7.73	2	20.05	82.2	93.1
fig|82301.12.peg.682	0.5	0.5	5.53	11.29	34.09
fig|82301.12.peg.683	0	0	0	0.8	4.73
fig|82301.12.peg.684	0	2.5	1	10.3	56.9
fig|82301.12.peg.685	2	2	5.68	37.92	41.38
fig|82301.12.peg.686	0	0	2.5	9	29.22
fig|82301.12.peg.687	0	0	1.93	7.96	27.88
fig|82301.12.peg.688	0.71	0.5	6.44	17.07	21.39
fig|82301.12.peg.689	0.28	0.5	5.25	14.5	20.29
fig|82301.12.peg.69	0.5	2	4.67	17.12	46.39
fig|82301.12.peg.690	3.5	3.5	10.04	38.76	45.68
fig|82301.12.peg.691	1	0.5	3.5	7.94	20.78
fig|82301.12.peg.692	0	0.5	1.5	3.33	15.97
fig|82301.12.peg.693	0	0	1.61	4.99	12.82
fig|82301.12.peg.694	0	0	6.5	31.34	62.98
fig|82301.12.peg.695	0	0.5	3.5	10.86	33.54
fig|82301.12.peg.696	0.5	0.5	5.9	12.3	52.37
fig|82301.12.peg.697	0	0	1.5	3.15	14.23
fig|82301.12.peg.698	3.4	0	7	43.35	15.79
fig|82301.12.peg.699	0.47	0	3.89	20.22	16.63
fig|82301.12.peg.7	1.5	0	6	21.24	11.82
fig|82301.12.peg.70	0	1	3	14.68	70.85
fig|82301.12.peg.700	0.5	0	4.5	5.74	20.02
fig|82301.12.peg.701	0	2	0.5	3.79	4.46
fig|82301.12.peg.702	2.43	4.88	14.89	61.19	52.53
fig|82301.12.peg.703	0.54	0.56	3.88	21.7	22.28
fig|82301.12.peg.704	6.72	1.14	23.03	75.94	29.72
fig|82301.12.peg.705	0.5	0	9.25	39.11	35.58
fig|82301.12.peg.706	0	1.5	5.5	14.96	10.22
fig|82301.12.peg.707	0	0.5	10.96	19.03	40.12
fig|82301.12.peg.708	0.5	0	2.92	11.4	16.38
fig|82301.12.peg.709	0.97	2.5	7.02	22.5	48.46
fig|82301.12.peg.71	0	0	3.5	12.51	31.3
fig|82301.12.peg.710	0	0	0	0	3
fig|82301.12.peg.711	0	0	0	0.78	4.39
fig|82301.12.peg.712	0	0	0.28	1.35	8.78
fig|82301.12.peg.713	0.5	0	3.5	19.3	70.7
fig|82301.12.peg.714	3	12	16.5	52.91	83.21
fig|82301.12.peg.715	0	0	0.32	1.97	39.28
fig|82301.12.peg.716	0	0.03	0	2.37	18.95
fig|82301.12.peg.717	0	0	0	0.36	3.38
fig|82301.12.peg.718	0.21	3.5	0.76	2.26	7.18
fig|82301.12.peg.719	0	0	0	0.03	9.75
fig|82301.12.peg.72	1	0.5	5.15	15.08	53.89
fig|82301.12.peg.720	0	0	0	0.76	3.34
fig|82301.12.peg.721	0	1	0.5	0.2	16.91
fig|82301.12.peg.722	2	1.5	4.82	15.49	45.79
fig|82301.12.peg.723	0.17	2.5	4.85	20.72	36.31
fig|82301.12.peg.724	0	2	1	5.85	22.9
fig|82301.12.peg.725	0	0	3.5	16.49	54.4
fig|82301.12.peg.726	0	1	6.11	29.75	70.83
fig|82301.12.peg.727	0	0	6.38	21.31	30.07
fig|82301.12.peg.728	0	3	5	32.4	84.29
fig|82301.12.peg.729	0.5	0	2.1	14.94	44.9
fig|82301.12.peg.73	0.5	4.28	5.46	21.91	28.1
fig|82301.12.peg.730	1	2.5	4.5	19.47	34.67
fig|82301.12.peg.731	0	0	2.34	2	12.43
fig|82301.12.peg.732	0	0.18	1.2	2.86	6.88
fig|82301.12.peg.733	0	0	1.31	3.6	14.42
fig|82301.12.peg.734	0	0	0.5	4.57	4.52
fig|82301.12.peg.735	0	5	1.39	5.02	8.68
fig|82301.12.peg.736	0	0	0.3	2.77	9.5
fig|82301.12.peg.737	0.5	0	0.5	3.5	5.5
fig|82301.12.peg.738	1	0.5	6.5	19.3	50.06
fig|82301.12.peg.739	0.31	4.5	2.95	12.26	51.54
fig|82301.12.peg.74	1	0	5.94	20.77	12.86
fig|82301.12.peg.740	0	29.5	7.5	23.48	62.4
fig|82301.12.peg.741	0	0.5	0	2.62	8.12
fig|82301.12.peg.742	0.5	3.26	2.44	12.18	44.64
fig|82301.12.peg.743	0	0	0	0.87	2.2
fig|82301.12.peg.744	0	1.5	3	11.84	19.81
fig|82301.12.peg.745	0	0	0.88	2.54	2.83
fig|82301.12.peg.746	0.5	0	0	2.5	10.98
fig|82301.12.peg.747	0	0	0.5	2.25	5.15
fig|82301.12.peg.748	0	0	1.57	10.72	14.29
fig|82301.12.peg.749	0	0	1.16	2.81	14.88
fig|82301.12.peg.75	0	13	5	21.68	69.58
fig|82301.12.peg.750	0.5	1	7	24.53	18.13
fig|82301.12.peg.751	4	18	32.31	74.04	106.09
fig|82301.12.peg.752	4.5	9	29	128.24	182.93
fig|82301.12.peg.753	0	0	2.34	6.88	6.35
fig|82301.12.peg.754	1.5	1.81	7.14	21.35	53.35
fig|82301.12.peg.755	0	0	0.41	1.08	2.45
fig|82301.12.peg.756	0	0	8	24.61	54.58
fig|82301.12.peg.757	0	3	1.22	7.94	66.26
fig|82301.12.peg.758	0	0	2.98	13.91	50.93
fig|82301.12.peg.759	1.5	0	3.5	3.29	32.76
fig|82301.12.peg.76	0.5	5	8	14.37	45.21
fig|82301.12.peg.760	0	0	0	0.33	3.33
fig|82301.12.peg.761	1.5	5.18	15.27	56.1	56.5
fig|82301.12.peg.762	1	1.62	5.5	18.92	10.61
fig|82301.12.peg.763	1.5	3.5	11	47.72	34.25
fig|82301.12.peg.764	1.5	3	22.02	70.75	129.47
fig|82301.12.peg.765	0.56	0	1	2.15	5.04
fig|82301.12.peg.766	0	0	0	2.13	17.6
fig|82301.12.peg.767	0.5	0	2.5	12.66	55.81
fig|82301.12.peg.768	0.5	0	3	9.02	30.96
fig|82301.12.peg.769	0	0	1	2	6.03
fig|82301.12.peg.77	0	0	0	0.77	7.63
fig|82301.12.peg.770	0.5	0	5.32	15.5	30.65
fig|82301.12.peg.771	0	2.5	4.5	12.75	91.27
fig|82301.12.peg.772	1.32	1	2.36	8.27	11.76
fig|82301.12.peg.773	1	0	6.74	42.01	55.1
fig|82301.12.peg.774	0.5	0	1.5	7.23	16.64
fig|82301.12.peg.775	0.5	0.5	3.42	11.57	19.21
fig|82301.12.peg.776	0	0	2.46	7.95	36.44
fig|82301.12.peg.777	1	0	1.29	8.8	13.58
fig|82301.12.peg.778	0.5	0	1.5	1.94	36.22
fig|82301.12.peg.779	2	1.96	7.55	30.51	76.16
fig|82301.12.peg.78	1.5	5.5	9.5	26.5	114.61
fig|82301.12.peg.780	0	0.01	6.42	25.11	14.53
fig|82301.12.peg.781	0.5	2	3.01	20.58	11.63
fig|82301.12.peg.782	1	0.5	2.7	8.24	11.48
fig|82301.12.peg.783	0	0	1	5.57	55.16
fig|82301.12.peg.784	0	0	0.57	0.8	16.55
fig|82301.12.peg.785	0	0	0.24	0.65	3.31
fig|82301.12.peg.786	0	0	0.81	1.2	3.75
fig|82301.12.peg.787	0	0	0	3.07	3.88
fig|82301.12.peg.788	0.5	2.4	7.52	22.12	47.88
fig|82301.12.peg.789	0	0.55	4.82	13.56	13.67
fig|82301.12.peg.79	1.5	0	18.44	55.5	74.92
fig|82301.12.peg.790	0	1.5	0.5	0.8	4.33
fig|82301.12.peg.791	2	8	18.36	67.5	83.85
fig|82301.12.peg.792	2.57	0	11.67	26.24	24.9
fig|82301.12.peg.793	0	0	2.3	12.72	7.2
fig|82301.12.peg.794	1	0	7.82	15.9	15.4
fig|82301.12.peg.795	0.5	1.62	7.88	34.01	28.28
fig|82301.12.peg.796	0	0	0	1	2.93
fig|82301.12.peg.797	0	0	0.5	3.5	14.37
fig|82301.12.peg.798	0	0	1.48	7.98	7.35
fig|82301.12.peg.799	1	2.5	14.02	48.22	78.82
fig|82301.12.peg.8	0.5	2.5	6.54	22.91	53.6
fig|82301.12.peg.80	2.5	0	8.49	21.65	24.88
fig|82301.12.peg.800	7.25	7	51.72	124.27	85.07
fig|82301.12.peg.801	1.5	3	7.5	34.12	39.38
fig|82301.12.peg.802	1	0.16	1.23	12.89	40.74
fig|82301.12.peg.803	0.5	0	3.6	9.87	8.52
fig|82301.12.peg.804	0	1	1	1.88	10.78
fig|82301.12.peg.805	0	0	0.48	1.73	7.9
fig|82301.12.peg.806	0	1.5	6.5	24.51	41.42
fig|82301.12.peg.807	0	0	1.5	1.33	3.73
fig|82301.12.peg.808	0	0	0.18	2.64	1.15
fig|82301.12.peg.809	0.5	0.74	1.53	7.07	4.56
fig|82301.12.peg.81	0.5	0	0.84	14.65	22.8
fig|82301.12.peg.810	0.5	2.82	10.4	31.27	37.39
fig|82301.12.peg.811	0.88	3.5	8.58	23.01	48.39
fig|82301.12.peg.812	1	0.5	3.88	21.72	38.57
fig|82301.12.peg.813	0	0	1.74	1.97	13.87
fig|82301.12.peg.814	0	0	1	1.14	3.5
fig|82301.12.peg.815	1.5	4.5	11.47	37.16	72.93
fig|82301.12.peg.816	0	0	1.96	3.63	5.98
fig|82301.12.peg.817	1.5	3.5	7.83	45.38	149.13
fig|82301.12.peg.818	0	15	6	31.85	32.02
fig|82301.12.peg.819	1.5	0	1.85	4.75	6.95
fig|82301.12.peg.82	0	1	9	17.71	39.94
fig|82301.12.peg.820	0	0.5	4.13	13.4	29.89
fig|82301.12.peg.821	0	0	3.5	14.96	25.66
fig|82301.12.peg.822	0	1.52	7.5	19.47	31.96
fig|82301.12.peg.823	1	0.4	6.38	12.51	30.09
fig|82301.12.peg.824	1	0.5	9.75	30.52	48.5
fig|82301.12.peg.825	1.42	1	10.19	26.37	9.44
fig|82301.12.peg.826	0.5	0	2.72	4.84	5.13
fig|82301.12.peg.827	0.44	0	7.86	15.22	50
fig|82301.12.peg.828	0	0	4.5	27.33	25.5
fig|82301.12.peg.829	0.5	1.5	4	17.77	49.13
fig|82301.12.peg.83	0.5	1.5	6.5	16.54	39.87
fig|82301.12.peg.830	0	2.5	5.4	24.5	39.93
fig|82301.12.peg.831	1	2.2	4.5	18.12	23.8
fig|82301.12.peg.832	0	0	2.73	3.89	30.66
fig|82301.12.peg.833	0	0	0	1.28	6.2
fig|82301.12.peg.834	0	0	0.83	6.15	27.92
fig|82301.12.peg.835	0	0	1	0.76	0.5
fig|82301.12.peg.836	0.5	0	0.5	8.16	20.11
fig|82301.12.peg.837	1.5	0	9	60.49	66.22
fig|82301.12.peg.838	0.5	0	3.5	11.71	14.42
fig|82301.12.peg.839	1.38	0.5	2.5	12.55	18.6
fig|82301.12.peg.84	1	0	8.36	23.61	25.37
fig|82301.12.peg.840	0.5	0	8.12	26.08	34.99
fig|82301.12.peg.841	1.14	0	2.96	14.17	5.77
fig|82301.12.peg.842	0	0	1.5	9.89	39.36
fig|82301.12.peg.843	1	6	4.5	27.05	58.71
fig|82301.12.peg.844	0	0	0.5	0.4	17.96
fig|82301.12.peg.845	1	3.5	3.48	21.92	31.98
fig|82301.12.peg.846	2	2.5	13.77	38.77	78.37
fig|82301.12.peg.847	1	0	3.7	12.91	23.44
fig|82301.12.peg.848	0	0.08	0.22	0.32	3.19
fig|82301.12.peg.849	0.5	0	2	6.27	20.35
fig|82301.12.peg.85	1	7.5	10.42	37.83	91.63
fig|82301.12.peg.850	0	3.5	5.27	11	67.5
fig|82301.12.peg.851	0	1	3.05	7.32	38.48
fig|82301.12.peg.852	0	0.5	3.43	14.92	25.42
fig|82301.12.peg.853	0	0	0.26	0.52	7.48
fig|82301.12.peg.854	0.5	8.08	11.9	39.19	71.07
fig|82301.12.peg.855	0.5	0	0.5	2.31	2.93
fig|82301.12.peg.856	0.5	2	4.94	28.59	36.58
fig|82301.12.peg.857	0	0	4.5	21.57	48.23
fig|82301.12.peg.858	1.5	0	3	13.56	38.68
fig|82301.12.peg.859	0	0	0.5	0.36	16.41
fig|82301.12.peg.86	0	0	0	2.03	4
fig|82301.12.peg.860	0	0	0	1	6.38
fig|82301.12.peg.861	1.5	3	5.5	30	58.7
fig|82301.12.peg.862	0	0.12	0.62	1.01	12.98
fig|82301.12.peg.863	0	0	0	2.23	3.18
fig|82301.12.peg.864	0	1.14	0.4	2.31	4.79
fig|82301.12.peg.865	0	0.5	6	26.35	100.19
fig|82301.12.peg.866	0.5	1	8	26.24	39.52
fig|82301.12.peg.867	1	0	4	17.86	21.8
fig|82301.12.peg.868	0	0	0.42	0	1.5
fig|82301.12.peg.869	1.96	13	8	43.71	85.73
fig|82301.12.peg.87	0	0	0.13	0.5	23.27
fig|82301.12.peg.870	0.2	0	0	3.19	10.71
fig|82301.12.peg.871	0	1.5	1.95	11	45.9
fig|82301.12.peg.88	0.21	0	3.75	11.87	24.6
fig|82301.12.peg.89	0	2.5	6	13.77	49.36
fig|82301.12.peg.9	1	12.46	10.5	27.06	95.99
fig|82301.12.peg.90	0	0	2.5	6.74	14.64
fig|82301.12.peg.91	0.5	5.5	4	15.54	50.05
fig|82301.12.peg.92	1.86	2.5	3.5	14.9	41.74
fig|82301.12.peg.93	0.98	0	0.79	3.26	2.79
fig|82301.12.peg.94	0	1.5	5.5	21.75	53.32
fig|82301.12.peg.95	0	4.5	2.66	10.9	43.56
fig|82301.12.peg.96	0	2.5	3.86	12.02	31.6
fig|82301.12.peg.97	0	0	2.64	10.9	22.36
fig|82301.12.peg.98	0	0	2.5	14.95	35.31
fig|82301.12.peg.99	0.5	0	4.25	15.25	23.67
